split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,0,1,28,54.26324065526326,1.9379728805451164
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,1,2,28,54.26324065526326,1.9379728805451164
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,2,3,28,54.26324065526326,1.9379728805451164
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,3,4,28,54.242384910583496,1.937228032520839
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,4,5,28,54.24238491058349,1.9372280325208389
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,5,6,28,54.242384910583496,1.937228032520839
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,6,7,28,51.790484269460045,1.849660152480716
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,7,8,28,51.79048426946004,1.8496601524807157
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,8,9,28,51.790484269460045,1.849660152480716
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,9,10,28,52.86841475963593,1.8881576699869975
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,10,11,28,52.868414759635925,1.8881576699869973
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,11,12,28,52.86841475963593,1.8881576699869975
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,12,13,28,54.471993605295815,1.945428343046279
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,13,14,28,54.471993605295815,1.945428343046279
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,14,15,28,54.471993605295815,1.945428343046279
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,15,16,28,49.64104604721069,1.7728945016860962
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,16,17,28,49.64104604721069,1.7728945016860962
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,17,18,28,49.64104604721069,1.7728945016860962
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,18,19,28,49.662818471590676,1.7736720882710955
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,19,20,28,49.662818471590676,1.7736720882710955
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,20,21,28,49.662818471590676,1.7736720882710955
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,21,22,28,49.90218969186147,1.782221060423624
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,22,23,28,49.90218969186147,1.782221060423624
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,23,24,28,49.90218969186147,1.782221060423624
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,24,25,28,48.99704957008362,1.7498946275029863
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,25,26,28,48.99704957008362,1.7498946275029863
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,26,27,28,48.99704957008362,1.7498946275029863
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,27,28,28,47.65187060832978,1.7018525217260636
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,28,29,28,47.65187060832977,1.7018525217260634
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,29,30,28,47.65187060832977,1.7018525217260634
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,30,31,28,45.29642709096273,1.6177295389629547
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,31,32,28,45.29642709096273,1.6177295389629547
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,32,33,28,45.29642709096272,1.6177295389629545
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,33,34,28,45.10581910610199,1.6109221109322138
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,34,35,28,45.10581910610199,1.6109221109322138
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,35,36,28,45.10581910610199,1.6109221109322138
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,36,37,28,41.3125959833463,1.475449856548082
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,37,38,28,41.3125959833463,1.475449856548082
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,38,39,28,41.312595983346306,1.4754498565480823
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,39,40,28,41.14131486415863,1.469332673719951
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,40,41,28,41.14131486415863,1.469332673719951
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,41,42,28,41.14131486415863,1.469332673719951
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,42,43,28,44.186229795217514,1.5780796355434827
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,43,44,28,44.186229795217514,1.5780796355434827
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,44,45,28,44.186229795217514,1.5780796355434827
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,45,46,28,47.62281624476115,1.7008148658843267
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,46,47,28,47.62281624476115,1.7008148658843267
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,47,48,28,47.62281624476115,1.7008148658843267
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,48,49,28,44.36201384663582,1.5843576373798507
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,49,50,28,44.36201384663582,1.5843576373798507
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,50,51,28,44.36201384663582,1.5843576373798507
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,51,52,28,42.0011642575264,1.5000415806259428
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,52,53,28,42.0011642575264,1.5000415806259428
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,53,54,28,42.0011642575264,1.5000415806259428
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,54,55,28,51.581549882888794,1.8421982101031713
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,55,56,28,51.581549882888794,1.8421982101031713
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,56,57,28,51.581549882888794,1.8421982101031713
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,57,58,28,46.2165591319402,1.650591397569293
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,58,59,28,46.21655913194021,1.6505913975692932
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,59,60,28,46.2165591319402,1.650591397569293
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,60,61,28,46.9464381535848,1.6766585054851715
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,61,62,28,46.94643815358479,1.6766585054851713
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,62,63,28,46.9464381535848,1.6766585054851715
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,63,64,28,43.89230179786682,1.5675822070666723
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,64,65,28,43.89230179786682,1.5675822070666723
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,65,66,28,43.89230179786682,1.5675822070666723
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,66,67,28,45.3692163626353,1.6203291558084036
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,67,68,28,45.3692163626353,1.6203291558084036
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,68,69,28,45.3692163626353,1.6203291558084036
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,69,70,28,43.23072544733683,1.5439544802620297
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,70,71,28,43.23072544733683,1.5439544802620297
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,71,72,28,43.23072544733683,1.5439544802620297
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,72,73,28,47.078503370285034,1.6813751203673226
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,73,74,28,47.078503370285034,1.6813751203673226
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,74,75,28,47.07850337028503,1.6813751203673224
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,75,76,28,42.71665962537129,1.5255949866204033
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,76,77,28,42.71665962537129,1.5255949866204033
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,77,78,28,42.71665962537129,1.5255949866204033
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,78,79,28,42.113085548082985,1.5040387695743924
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,79,80,28,42.11308554808298,1.504038769574392
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,80,81,28,42.113085548082985,1.5040387695743924
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,81,82,28,48.03549567858378,1.7155534170922777
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,82,83,28,48.035495678583786,1.7155534170922782
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,83,84,28,48.03549567858378,1.7155534170922777
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,84,85,28,46.058428843816124,1.6449438872791473
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,85,86,28,46.05842884381613,1.6449438872791475
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,86,87,28,46.058428843816124,1.6449438872791473
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,87,88,28,45.7901924053828,1.635364014477957
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,88,89,28,45.7901924053828,1.635364014477957
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,89,90,28,45.7901924053828,1.635364014477957
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,90,91,28,47.812491973241166,1.7075889990443274
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:Mito,91,92,28,47.812491973241166,1.7075889990443274
