split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,bos_taurus,bos_taurus:18,0,1,33,65.48381201426189,1.9843579398261177
train,windows_nonoverlap,bos_taurus,bos_taurus:18,1,2,33,65.48381201426187,1.9843579398261173
train,windows_nonoverlap,bos_taurus,bos_taurus:18,2,3,33,65.48381201426187,1.9843579398261173
train,windows_nonoverlap,bos_taurus,bos_taurus:18,3,4,33,65.89245080947876,1.9967409336205684
train,windows_nonoverlap,bos_taurus,bos_taurus:18,4,5,33,65.89245080947876,1.9967409336205684
train,windows_nonoverlap,bos_taurus,bos_taurus:18,5,6,33,65.89245080947876,1.9967409336205684
train,windows_nonoverlap,bos_taurus,bos_taurus:18,6,7,33,61.820214192072555,1.8733398240021986
train,windows_nonoverlap,bos_taurus,bos_taurus:18,7,8,33,61.820214192072555,1.8733398240021986
train,windows_nonoverlap,bos_taurus,bos_taurus:18,8,9,33,61.82021419207255,1.8733398240021983
train,windows_nonoverlap,bos_taurus,bos_taurus:18,9,10,33,58.03169822692872,1.7585363099069309
train,windows_nonoverlap,bos_taurus,bos_taurus:18,10,11,33,58.03169822692871,1.7585363099069307
train,windows_nonoverlap,bos_taurus,bos_taurus:18,11,12,33,58.03169822692871,1.7585363099069307
train,windows_nonoverlap,bos_taurus,bos_taurus:18,12,13,33,63.60342744986216,1.9273765893897625
train,windows_nonoverlap,bos_taurus,bos_taurus:18,13,14,33,63.60342744986216,1.9273765893897625
train,windows_nonoverlap,bos_taurus,bos_taurus:18,14,15,33,63.60342744986217,1.9273765893897625
train,windows_nonoverlap,bos_taurus,bos_taurus:18,15,16,33,51.85554534196854,1.5713801618778347
train,windows_nonoverlap,bos_taurus,bos_taurus:18,16,17,33,51.855545341968536,1.5713801618778345
train,windows_nonoverlap,bos_taurus,bos_taurus:18,17,18,33,51.85554534196853,1.5713801618778342
train,windows_nonoverlap,bos_taurus,bos_taurus:18,18,19,33,51.28451553483804,1.5540762283284255
train,windows_nonoverlap,bos_taurus,bos_taurus:18,19,20,33,51.284515534838036,1.5540762283284253
