split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,DaRe,DaRe,0,1,20,37.640221436818436,1.8820110718409218
train,windows_nonoverlap,DaRe,DaRe,1,2,20,37.64022143681844,1.8820110718409222
train,windows_nonoverlap,DaRe,DaRe,2,3,20,37.64022143681844,1.8820110718409222
train,windows_nonoverlap,DaRe,DaRe,3,4,20,36.33120592435201,1.8165602962176006
train,windows_nonoverlap,DaRe,DaRe,4,5,20,36.331205924352005,1.8165602962176002
train,windows_nonoverlap,DaRe,DaRe,5,6,20,36.33120592435201,1.8165602962176006
train,windows_nonoverlap,DaRe,DaRe,6,7,20,37.97258118788401,1.8986290593942006
train,windows_nonoverlap,DaRe,DaRe,7,8,20,37.97258118788402,1.8986290593942008
train,windows_nonoverlap,DaRe,DaRe,8,9,20,37.97258118788401,1.8986290593942006
train,windows_nonoverlap,DaRe,DaRe,9,10,20,36.472727954387665,1.8236363977193832
train,windows_nonoverlap,DaRe,DaRe,10,11,20,36.472727954387665,1.8236363977193832
train,windows_nonoverlap,DaRe,DaRe,11,12,20,36.472727954387665,1.8236363977193832
train,windows_nonoverlap,DaRe,DaRe,12,13,20,36.14250946044922,1.8071254730224608
train,windows_nonoverlap,DaRe,DaRe,13,14,20,36.14250946044922,1.8071254730224608
train,windows_nonoverlap,DaRe,DaRe,14,15,20,36.14250946044922,1.8071254730224608
train,windows_nonoverlap,DaRe,DaRe,15,16,20,34.56624986231327,1.7283124931156635
train,windows_nonoverlap,DaRe,DaRe,16,17,20,34.56624986231327,1.7283124931156635
train,windows_nonoverlap,DaRe,DaRe,17,18,20,34.56624986231327,1.7283124931156635
train,windows_nonoverlap,DaRe,DaRe,18,19,20,40.33267622192701,2.0166338110963506
train,windows_nonoverlap,DaRe,DaRe,19,20,20,40.33267622192701,2.0166338110963506
train,windows_nonoverlap,DaRe,DaRe,20,21,20,40.33267622192701,2.0166338110963506
train,windows_nonoverlap,DaRe,DaRe,21,22,20,32.70536634325981,1.6352683171629905
train,windows_nonoverlap,DaRe,DaRe,22,23,20,32.70536634325981,1.6352683171629905
train,windows_nonoverlap,DaRe,DaRe,23,24,20,32.70536634325981,1.6352683171629905
train,windows_nonoverlap,DaRe,DaRe,24,25,20,35.93547569215298,1.7967737846076488
train,windows_nonoverlap,DaRe,DaRe,25,26,20,35.93547569215298,1.7967737846076488
train,windows_nonoverlap,DaRe,DaRe,26,27,20,35.93547569215298,1.7967737846076488
train,windows_nonoverlap,DaRe,DaRe,27,28,20,31.83145483583212,1.591572741791606
train,windows_nonoverlap,DaRe,DaRe,28,29,20,31.83145483583212,1.591572741791606
train,windows_nonoverlap,DaRe,DaRe,29,30,20,31.83145483583212,1.591572741791606
train,windows_nonoverlap,DaRe,DaRe,30,31,20,33.96310305595398,1.698155152797699
train,windows_nonoverlap,DaRe,DaRe,31,32,20,33.96310305595398,1.698155152797699
train,windows_nonoverlap,DaRe,DaRe,32,33,20,33.96310305595398,1.698155152797699
train,windows_nonoverlap,DaRe,DaRe,33,34,20,31.08020120859146,1.554010060429573
train,windows_nonoverlap,DaRe,DaRe,34,35,20,31.08020120859146,1.554010060429573
train,windows_nonoverlap,DaRe,DaRe,35,36,20,31.08020120859146,1.554010060429573
train,windows_nonoverlap,DaRe,DaRe,36,37,20,33.710413455963135,1.6855206727981566
train,windows_nonoverlap,DaRe,DaRe,37,38,20,33.710413455963135,1.6855206727981566
train,windows_nonoverlap,DaRe,DaRe,38,39,20,33.710413455963135,1.6855206727981566
train,windows_nonoverlap,DaRe,DaRe,39,40,20,32.11544819672903,1.6057724098364514
train,windows_nonoverlap,DaRe,DaRe,40,41,20,32.11544819672903,1.6057724098364514
train,windows_nonoverlap,DaRe,DaRe,41,42,20,32.11544819672903,1.6057724098364514
train,windows_nonoverlap,DaRe,DaRe,42,43,20,31.085998098055523,1.5542999049027761
train,windows_nonoverlap,DaRe,DaRe,43,44,20,31.085998098055523,1.5542999049027761
train,windows_nonoverlap,DaRe,DaRe,44,45,20,31.08599809805552,1.554299904902776
train,windows_nonoverlap,DaRe,DaRe,45,46,20,31.675495530168213,1.5837747765084107
train,windows_nonoverlap,DaRe,DaRe,46,47,20,31.675495530168213,1.5837747765084107
train,windows_nonoverlap,DaRe,DaRe,47,48,20,31.675495530168213,1.5837747765084107
train,windows_nonoverlap,DaRe,DaRe,48,49,20,32.878320733706154,1.6439160366853076
train,windows_nonoverlap,DaRe,DaRe,49,50,20,32.878320733706154,1.6439160366853076
train,windows_nonoverlap,DaRe,DaRe,50,51,20,32.878320733706154,1.6439160366853076
train,windows_nonoverlap,DaRe,DaRe,51,52,20,28.345652602612972,1.4172826301306487
train,windows_nonoverlap,DaRe,DaRe,52,53,20,28.345652602612972,1.4172826301306487
train,windows_nonoverlap,DaRe,DaRe,53,54,20,28.345652602612972,1.4172826301306487
train,windows_nonoverlap,DaRe,DaRe,54,55,20,33.497537175814315,1.6748768587907157
train,windows_nonoverlap,DaRe,DaRe,55,56,20,33.49753717581431,1.6748768587907155
train,windows_nonoverlap,DaRe,DaRe,56,57,20,33.49753717581431,1.6748768587907155
train,windows_nonoverlap,DaRe,DaRe,57,58,20,31.751909683768947,1.5875954841884474
train,windows_nonoverlap,DaRe,DaRe,58,59,20,31.751909683768947,1.5875954841884474
train,windows_nonoverlap,DaRe,DaRe,59,60,20,31.751909683768947,1.5875954841884474
train,windows_nonoverlap,DaRe,DaRe,60,61,20,32.284660309553146,1.6142330154776574
train,windows_nonoverlap,DaRe,DaRe,61,62,20,32.284660309553146,1.6142330154776574
train,windows_nonoverlap,DaRe,DaRe,62,63,20,32.284660309553146,1.6142330154776574
train,windows_nonoverlap,DaRe,DaRe,63,64,20,28.654627700646717,1.4327313850323358
train,windows_nonoverlap,DaRe,DaRe,64,65,20,28.654627700646717,1.4327313850323358
train,windows_nonoverlap,DaRe,DaRe,65,66,20,28.65462770064672,1.432731385032336
train,windows_nonoverlap,DaRe,DaRe,66,67,20,28.16382298866908,1.408191149433454
train,windows_nonoverlap,DaRe,DaRe,67,68,20,28.163822988669075,1.4081911494334538
train,windows_nonoverlap,DaRe,DaRe,68,69,20,28.16382298866908,1.408191149433454
train,windows_nonoverlap,DaRe,DaRe,69,70,20,25.87544051061074,1.293772025530537
train,windows_nonoverlap,DaRe,DaRe,70,71,20,25.87544051061074,1.293772025530537
train,windows_nonoverlap,DaRe,DaRe,71,72,20,25.87544051061074,1.293772025530537
train,windows_nonoverlap,DaRe,DaRe,72,73,20,27.324168778955936,1.3662084389477969
train,windows_nonoverlap,DaRe,DaRe,73,74,20,27.324168778955936,1.3662084389477969
train,windows_nonoverlap,DaRe,DaRe,74,75,20,27.324168778955936,1.3662084389477969
