split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,ScPo,ScPo,0,1,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,ScPo,ScPo,1,2,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,ScPo,ScPo,2,3,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,ScPo,ScPo,3,4,1,2.0207775433858237,2.0207775433858237
train,windows_overlap,ScPo,ScPo,4,5,1,2.0207775433858237,2.0207775433858237
train,windows_overlap,ScPo,ScPo,5,6,1,2.0207775433858237,2.0207775433858237
train,windows_overlap,ScPo,ScPo,6,7,1,2.378096421559652,2.378096421559652
train,windows_overlap,ScPo,ScPo,7,8,1,2.378096421559652,2.378096421559652
train,windows_overlap,ScPo,ScPo,8,9,1,2.378096421559652,2.378096421559652
train,windows_overlap,ScPo,ScPo,9,10,1,2.288745562235514,2.288745562235514
train,windows_overlap,ScPo,ScPo,10,11,1,2.288745562235514,2.288745562235514
train,windows_overlap,ScPo,ScPo,11,12,1,2.288745562235514,2.288745562235514
train,windows_overlap,ScPo,ScPo,12,13,1,2.119067986806234,2.119067986806234
train,windows_overlap,ScPo,ScPo,13,14,1,2.119067986806234,2.119067986806234
train,windows_overlap,ScPo,ScPo,14,15,1,2.119067986806234,2.119067986806234
train,windows_overlap,ScPo,ScPo,15,16,1,1.8528413772583008,1.8528413772583008
train,windows_overlap,ScPo,ScPo,16,17,1,1.8528413772583008,1.8528413772583008
train,windows_overlap,ScPo,ScPo,17,18,1,1.8528413772583008,1.8528413772583008
train,windows_overlap,ScPo,ScPo,18,19,1,1.9237626393636067,1.9237626393636067
train,windows_overlap,ScPo,ScPo,19,20,1,1.9237626393636067,1.9237626393636067
train,windows_overlap,ScPo,ScPo,20,21,1,1.9237626393636067,1.9237626393636067
train,windows_overlap,ScPo,ScPo,21,22,1,2.0589537620544434,2.0589537620544434
train,windows_overlap,ScPo,ScPo,22,23,1,2.0589537620544434,2.0589537620544434
train,windows_overlap,ScPo,ScPo,23,24,1,2.0589537620544434,2.0589537620544434
train,windows_overlap,ScPo,ScPo,24,25,1,2.008748690287272,2.008748690287272
train,windows_overlap,ScPo,ScPo,25,26,1,2.008748690287272,2.008748690287272
train,windows_overlap,ScPo,ScPo,26,27,1,2.008748690287272,2.008748690287272
train,windows_overlap,ScPo,ScPo,27,28,1,1.8333431879679363,1.8333431879679363
train,windows_overlap,ScPo,ScPo,28,29,1,1.8333431879679363,1.8333431879679363
train,windows_overlap,ScPo,ScPo,29,30,1,1.8333431879679363,1.8333431879679363
train,windows_overlap,ScPo,ScPo,30,31,1,2.027007261912028,2.027007261912028
train,windows_overlap,ScPo,ScPo,31,32,1,2.027007261912028,2.027007261912028
train,windows_overlap,ScPo,ScPo,32,33,1,2.027007261912028,2.027007261912028
train,windows_overlap,ScPo,ScPo,33,34,1,1.9616502126057942,1.9616502126057942
train,windows_overlap,ScPo,ScPo,34,35,1,1.9616502126057942,1.9616502126057942
train,windows_overlap,ScPo,ScPo,35,36,1,1.9616502126057942,1.9616502126057942
train,windows_overlap,ScPo,ScPo,36,37,1,2.3990484873453775,2.3990484873453775
train,windows_overlap,ScPo,ScPo,37,38,1,2.3990484873453775,2.3990484873453775
train,windows_overlap,ScPo,ScPo,38,39,1,2.3990484873453775,2.3990484873453775
train,windows_overlap,ScPo,ScPo,39,40,1,2.033594767252604,2.033594767252604
train,windows_overlap,ScPo,ScPo,40,41,1,2.033594767252604,2.033594767252604
train,windows_overlap,ScPo,ScPo,41,42,1,2.033594767252604,2.033594767252604
train,windows_overlap,ScPo,ScPo,42,43,1,1.8702387809753418,1.8702387809753418
train,windows_overlap,ScPo,ScPo,43,44,1,1.8702387809753418,1.8702387809753418
train,windows_overlap,ScPo,ScPo,44,45,1,1.8702387809753418,1.8702387809753418
train,windows_overlap,ScPo,ScPo,45,46,1,3.0921843846639,3.0921843846639
train,windows_overlap,ScPo,ScPo,46,47,1,3.0921843846639,3.0921843846639
train,windows_overlap,ScPo,ScPo,47,48,1,3.0921843846639,3.0921843846639
train,windows_overlap,ScPo,ScPo,48,49,1,1.7422199249267578,1.7422199249267578
train,windows_overlap,ScPo,ScPo,49,50,1,1.7422199249267578,1.7422199249267578
train,windows_overlap,ScPo,ScPo,50,51,1,1.7422199249267578,1.7422199249267578
train,windows_overlap,ScPo,ScPo,51,52,1,1.9034223556518555,1.9034223556518555
train,windows_overlap,ScPo,ScPo,52,53,1,1.9034223556518555,1.9034223556518555
