split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,0,1,33,68.6096510887146,2.0790803360216543
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,1,2,33,68.6096510887146,2.0790803360216543
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,2,3,33,68.6096510887146,2.0790803360216543
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,3,4,33,68.20575761795044,2.066841139937892
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,4,5,33,68.20575761795044,2.066841139937892
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,5,6,33,68.20575761795044,2.066841139937892
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,6,7,33,64.13585313161214,1.9435107009579435
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,7,8,33,64.13585313161214,1.9435107009579435
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,8,9,33,64.13585313161214,1.9435107009579435
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,9,10,33,61.27800369262695,1.8569092028068774
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,10,11,33,61.278003692626946,1.8569092028068772
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,11,12,33,61.278003692626946,1.8569092028068772
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,12,13,33,61.00722805658976,1.84870388050272
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,13,14,33,61.00722805658977,1.8487038805027203
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,14,15,33,61.00722805658976,1.84870388050272
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,15,16,33,64.63063629468283,1.958504130141904
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,16,17,33,64.63063629468282,1.9585041301419035
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,17,18,33,64.63063629468282,1.9585041301419035
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,18,19,33,61.62942552566528,1.8675583492625842
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,19,20,33,61.62942552566529,1.8675583492625845
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,20,21,33,61.62942552566528,1.8675583492625842
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,21,22,33,59.35528699556986,1.798645060471814
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,22,23,33,59.35528699556986,1.798645060471814
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,23,24,33,59.35528699556986,1.798645060471814
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,24,25,33,61.20845065514247,1.8548015350043172
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,25,26,33,61.20845065514247,1.8548015350043172
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,26,27,33,61.20845065514247,1.8548015350043172
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,27,28,33,58.88335320353507,1.7843440364707597
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,28,29,33,58.88335320353508,1.78434403647076
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,29,30,33,58.88335320353508,1.78434403647076
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,30,31,33,62.74838125705719,1.9014660986987026
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,31,32,33,62.74838125705718,1.9014660986987024
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,32,33,33,62.74838125705719,1.9014660986987026
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,33,34,33,64.78211065133414,1.9630942621616405
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,34,35,33,64.78211065133414,1.9630942621616405
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:II,35,36,33,64.78211065133414,1.9630942621616405
