split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,0,1,6,12.715327898661297,2.1192213164435496
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,1,2,6,12.715327898661297,2.1192213164435496
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,2,3,6,12.715327898661295,2.119221316443549
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,3,4,6,11.900994618733725,1.9834991031222875
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,4,5,6,11.900994618733725,1.9834991031222875
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,5,6,6,11.900994618733725,1.9834991031222875
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,6,7,6,11.01876942316691,1.8364615705278184
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,7,8,6,11.01876942316691,1.8364615705278184
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,8,9,6,11.018769423166912,1.8364615705278187
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,9,10,6,14.288767973581951,2.381461328930325
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,10,11,6,14.288767973581951,2.381461328930325
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,11,12,6,14.288767973581951,2.381461328930325
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,12,13,6,11.697827180226643,1.9496378633711071
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,13,14,6,11.697827180226644,1.9496378633711073
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,14,15,6,11.697827180226643,1.9496378633711071
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,15,16,6,12.648324807484945,2.1080541345808244
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,16,17,6,12.648324807484945,2.1080541345808244
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,17,18,6,12.648324807484945,2.1080541345808244
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,18,19,6,12.163106600443523,2.0271844334072537
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,19,20,6,12.163106600443523,2.0271844334072537
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,20,21,6,12.163106600443523,2.0271844334072537
train,windows_nonoverlap,danio_rerio,danio_rerio:MT,21,22,6,11.665371735890705,1.9442286226484509
