split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,EsCo,EsCo,0,1,20,42.64747031529744,2.132373515764872
train,windows_nonoverlap,EsCo,EsCo,1,2,20,42.64747031529744,2.132373515764872
train,windows_nonoverlap,EsCo,EsCo,2,3,20,42.64747031529744,2.132373515764872
train,windows_nonoverlap,EsCo,EsCo,3,4,20,43.62396160761515,2.1811980803807574
train,windows_nonoverlap,EsCo,EsCo,4,5,20,43.62396160761515,2.1811980803807574
train,windows_nonoverlap,EsCo,EsCo,5,6,20,43.62396160761515,2.1811980803807574
train,windows_nonoverlap,EsCo,EsCo,6,7,20,41.82279364267985,2.0911396821339925
train,windows_nonoverlap,EsCo,EsCo,7,8,20,41.822793642679855,2.091139682133993
train,windows_nonoverlap,EsCo,EsCo,8,9,20,41.82279364267985,2.0911396821339925
train,windows_nonoverlap,EsCo,EsCo,9,10,20,41.64815123875936,2.082407561937968
train,windows_nonoverlap,EsCo,EsCo,10,11,20,41.64815123875936,2.082407561937968
train,windows_nonoverlap,EsCo,EsCo,11,12,20,41.64815123875936,2.082407561937968
train,windows_nonoverlap,EsCo,EsCo,12,13,20,43.54070504506429,2.177035252253215
train,windows_nonoverlap,EsCo,EsCo,13,14,20,43.54070504506429,2.177035252253215
train,windows_nonoverlap,EsCo,EsCo,14,15,20,43.540705045064286,2.1770352522532144
train,windows_nonoverlap,EsCo,EsCo,15,16,20,42.049386978149414,2.1024693489074706
train,windows_nonoverlap,EsCo,EsCo,16,17,20,42.049386978149414,2.1024693489074706
train,windows_nonoverlap,EsCo,EsCo,17,18,20,42.049386978149414,2.1024693489074706
train,windows_nonoverlap,EsCo,EsCo,18,19,20,42.938376585642494,2.1469188292821246
train,windows_nonoverlap,EsCo,EsCo,19,20,20,42.938376585642494,2.1469188292821246
train,windows_nonoverlap,EsCo,EsCo,20,21,20,42.938376585642494,2.1469188292821246
train,windows_nonoverlap,EsCo,EsCo,21,22,20,41.29512627919515,2.064756313959758
train,windows_nonoverlap,EsCo,EsCo,22,23,20,41.29512627919515,2.064756313959758
train,windows_nonoverlap,EsCo,EsCo,23,24,20,41.295126279195145,2.0647563139597573
train,windows_nonoverlap,EsCo,EsCo,24,25,20,43.83207988739013,2.1916039943695065
train,windows_nonoverlap,EsCo,EsCo,25,26,20,43.83207988739014,2.191603994369507
