metric,value
compression_compare.arithmetic.coding_mode,model_symbol
compression_compare.arithmetic.effective_uniform_mass,0.003875732421875
compression_compare.arithmetic.frequency_total,32768
compression_compare.arithmetic.merge_size,3
compression_compare.arithmetic.target_uniform_mass,0.01
compression_compare.arithmetic.vocab_size,127
compression_compare.best_val_bpb,1.5748461054032072
compression_compare.checkpoint_step,30000
compression_compare.overlap_stride_patches,1
compression_compare.overlap_stride_tokens,32
config.arithmetic.coding_mode,model_symbol
config.arithmetic.frequency_total,
config.arithmetic.merge_size,1
config.arithmetic.target_uniform_mass,0.01
config.data.clean_cache_dir,
config.data.clean_cache_enabled,True
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/ensembl_raw
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.multi_sequence_mode,separate
config.data.sequence_source_mode,fasta_dir
config.data.test_ratio,0.01
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,3
config.data.train_ratio,0.98
config.data.train_samples_per_epoch,5000000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.01
config.model.attn_dropout,0.0
config.model.eos_id,126
config.model.ff_dropout,0.0
config.model.global_dim,32
config.model.global_heads,16
config.model.global_layers,24
config.model.implementation,megabyte_in_action
config.model.initializer_range,0.02
config.model.input_causal_conv_kernel_size,1
config.model.local_dim,768
config.model.local_heads,12
config.model.local_layers,12
config.model.pad_id,125
config.model.patch_size,32
config.model.pretrained_weight_path,
config.model.seq_length,1024
config.model.variant,dna_gpt0.1b_m
config.model.vocab_size,127
config.output.output_dir,outputs/dna_megabyte_large_20260412_224249
config.output.run_name,dna_megabyte_large
config.output.wandb_enabled,True
config.output.wandb_entity,
config.output.wandb_group,
config.output.wandb_mode,online
config.output.wandb_name,dna_megabyte_large_ensembl_all
config.output.wandb_project,dna-compress
config.train.batch_size,64
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,64
config.train.eval_interval,2500
config.train.grad_clip_norm,1.0
config.train.init_from,scratch
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.1
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,500
config.train.num_workers,4
config.train.persistent_workers,True
config.train.pin_memory,True
config.train.prefetch_factor,2
config.train.seed,42
config.train.weight_decay,0.01
