split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,0,1,33,64.04111735026042,1.9406399197048612
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,1,2,33,64.04111735026042,1.9406399197048612
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,2,3,33,64.04111735026042,1.9406399197048612
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,3,4,33,65.4178139368693,1.9823579980869483
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,4,5,33,65.41781393686931,1.9823579980869488
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,5,6,33,65.41781393686931,1.9823579980869488
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,6,7,33,63.65156602859497,1.9288353341998477
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,7,8,33,63.65156602859497,1.9288353341998477
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,8,9,33,63.65156602859497,1.9288353341998477
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,9,10,33,62.475293795267746,1.8931907210687196
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,10,11,33,62.475293795267746,1.8931907210687196
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,11,12,33,62.47529379526774,1.8931907210687193
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,12,13,33,60.13727076848348,1.8223415384388935
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,13,14,33,60.13727076848348,1.8223415384388935
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,14,15,33,60.13727076848348,1.8223415384388935
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,15,16,33,58.80097802480062,1.7818478189333522
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,16,17,33,58.80097802480062,1.7818478189333522
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,17,18,33,58.80097802480062,1.7818478189333522
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,18,19,33,50.92174857854843,1.5430832902590434
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,19,20,33,50.92174857854843,1.5430832902590434
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,20,21,33,50.92174857854843,1.5430832902590434
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,21,22,33,52.64642472565174,1.5953462038076285
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,22,23,33,52.64642472565175,1.5953462038076287
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,23,24,33,52.64642472565174,1.5953462038076285
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,24,25,33,52.74980327486991,1.5984788871172702
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,25,26,33,52.74980327486992,1.5984788871172704
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,26,27,33,52.74980327486991,1.5984788871172702
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,27,28,33,51.871075421571724,1.5718507703506583
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,28,29,33,51.87107542157173,1.5718507703506586
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,29,30,33,51.87107542157173,1.5718507703506586
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,30,31,33,49.47005256017049,1.499092501823348
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,31,32,33,49.47005256017049,1.499092501823348
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,32,33,33,49.47005256017049,1.499092501823348
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,33,34,33,53.686761820067964,1.6268715703050898
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,34,35,33,53.686761820067964,1.6268715703050898
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,35,36,33,53.686761820067964,1.6268715703050898
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,36,37,33,48.28472049037616,1.463173348193217
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,37,38,33,48.28472049037615,1.4631733481932168
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,38,39,33,48.28472049037615,1.4631733481932168
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,39,40,33,54.23581302538514,1.6435094856177315
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,40,41,33,54.23581302538514,1.6435094856177315
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,41,42,33,54.23581302538514,1.6435094856177315
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,42,43,33,48.86318049579859,1.480702439266624
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,43,44,33,48.86318049579859,1.480702439266624
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,44,45,33,48.86318049579859,1.480702439266624
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,45,46,33,46.25465762118498,1.40165629155106
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,46,47,33,46.25465762118499,1.4016562915510602
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,47,48,33,46.25465762118498,1.40165629155106
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,48,49,33,52.48764578501384,1.5905347207579952
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,49,50,33,52.48764578501384,1.5905347207579952
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,50,51,33,52.48764578501383,1.590534720757995
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,51,52,33,48.830989023049675,1.4797269400924145
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,52,53,33,48.830989023049675,1.4797269400924145
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,53,54,33,48.83098902304967,1.4797269400924142
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,54,55,33,49.59221891065439,1.5027945124440725
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,55,56,33,49.59221891065439,1.5027945124440725
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,56,57,33,49.59221891065439,1.5027945124440725
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,57,58,33,48.71974344551563,1.476355861985322
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,58,59,33,48.71974344551563,1.476355861985322
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,59,60,33,48.71974344551563,1.476355861985322
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,60,61,33,49.70978763202827,1.5063572009705535
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,61,62,33,49.70978763202826,1.5063572009705533
train,windows_nonoverlap,mus_musculus,mus_musculus:nonchromosomal,62,63,33,49.70978763202827,1.5063572009705535
