split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,HaHi,HaHi,0,1,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,HaHi,HaHi,1,2,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,HaHi,HaHi,2,3,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,HaHi,HaHi,3,4,1,2.0053254763285318,2.0053254763285318
train,windows_overlap,HaHi,HaHi,4,5,1,2.0053254763285318,2.0053254763285318
train,windows_overlap,HaHi,HaHi,5,6,1,2.0053254763285318,2.0053254763285318
train,windows_overlap,HaHi,HaHi,6,7,1,1.8826160430908203,1.8826160430908203
train,windows_overlap,HaHi,HaHi,7,8,1,1.8826160430908203,1.8826160430908203
train,windows_overlap,HaHi,HaHi,8,9,1,1.8826160430908203,1.8826160430908203
train,windows_overlap,HaHi,HaHi,9,10,1,2.734992027282715,2.734992027282715
train,windows_overlap,HaHi,HaHi,10,11,1,2.734992027282715,2.734992027282715
train,windows_overlap,HaHi,HaHi,11,12,1,2.734992027282715,2.734992027282715
train,windows_overlap,HaHi,HaHi,12,13,1,2.1356075604756675,2.1356075604756675
train,windows_overlap,HaHi,HaHi,13,14,1,2.1356075604756675,2.1356075604756675
train,windows_overlap,HaHi,HaHi,14,15,1,2.1356075604756675,2.1356075604756675
train,windows_overlap,HaHi,HaHi,15,16,1,2.6697826385498047,2.6697826385498047
train,windows_overlap,HaHi,HaHi,16,17,1,2.6697826385498047,2.6697826385498047
train,windows_overlap,HaHi,HaHi,17,18,1,2.6697826385498047,2.6697826385498047
train,windows_overlap,HaHi,HaHi,18,19,1,2.136714299519857,2.136714299519857
train,windows_overlap,HaHi,HaHi,19,20,1,2.136714299519857,2.136714299519857
train,windows_overlap,HaHi,HaHi,20,21,1,2.136714299519857,2.136714299519857
train,windows_overlap,HaHi,HaHi,21,22,1,2.5640365282694497,2.5640365282694497
train,windows_overlap,HaHi,HaHi,22,23,1,2.5640365282694497,2.5640365282694497
train,windows_overlap,HaHi,HaHi,23,24,1,2.5640365282694497,2.5640365282694497
train,windows_overlap,HaHi,HaHi,24,25,1,2.203336715698242,2.203336715698242
train,windows_overlap,HaHi,HaHi,25,26,1,2.203336715698242,2.203336715698242
train,windows_overlap,HaHi,HaHi,26,27,1,2.203336715698242,2.203336715698242
train,windows_overlap,HaHi,HaHi,27,28,1,2.274402618408203,2.274402618408203
train,windows_overlap,HaHi,HaHi,28,29,1,2.274402618408203,2.274402618408203
train,windows_overlap,HaHi,HaHi,29,30,1,2.274402618408203,2.274402618408203
train,windows_overlap,HaHi,HaHi,30,31,1,1.9398099581400554,1.9398099581400554
train,windows_overlap,HaHi,HaHi,31,32,1,1.9398099581400554,1.9398099581400554
train,windows_overlap,HaHi,HaHi,32,33,1,1.9398099581400554,1.9398099581400554
train,windows_overlap,HaHi,HaHi,33,34,1,2.108684539794922,2.108684539794922
train,windows_overlap,HaHi,HaHi,34,35,1,2.108684539794922,2.108684539794922
train,windows_overlap,HaHi,HaHi,35,36,1,2.108684539794922,2.108684539794922
train,windows_overlap,HaHi,HaHi,36,37,1,2.4283849398295083,2.4283849398295083
train,windows_overlap,HaHi,HaHi,37,38,1,2.4283849398295083,2.4283849398295083
train,windows_overlap,HaHi,HaHi,38,39,1,2.4283849398295083,2.4283849398295083
train,windows_overlap,HaHi,HaHi,39,40,1,2.0544803937276206,2.0544803937276206
