split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,DrMe,DrMe,0,1,20,40.723876794179276,2.0361938397089636
train,windows_nonoverlap,DrMe,DrMe,1,2,20,40.72387679417928,2.036193839708964
train,windows_nonoverlap,DrMe,DrMe,2,3,20,40.723876794179276,2.0361938397089636
train,windows_nonoverlap,DrMe,DrMe,3,4,20,41.0173823038737,2.0508691151936853
train,windows_nonoverlap,DrMe,DrMe,4,5,20,41.017382303873696,2.050869115193685
train,windows_nonoverlap,DrMe,DrMe,5,6,20,41.0173823038737,2.0508691151936853
train,windows_nonoverlap,DrMe,DrMe,6,7,20,37.43136509259542,1.871568254629771
train,windows_nonoverlap,DrMe,DrMe,7,8,20,37.43136509259542,1.871568254629771
train,windows_nonoverlap,DrMe,DrMe,8,9,20,37.43136509259542,1.871568254629771
train,windows_nonoverlap,DrMe,DrMe,9,10,20,37.959879080454506,1.8979939540227253
train,windows_nonoverlap,DrMe,DrMe,10,11,20,37.959879080454506,1.8979939540227253
train,windows_nonoverlap,DrMe,DrMe,11,12,20,37.95987908045451,1.8979939540227257
train,windows_nonoverlap,DrMe,DrMe,12,13,20,40.31145064036051,2.0155725320180258
train,windows_nonoverlap,DrMe,DrMe,13,14,20,40.31145064036051,2.0155725320180258
train,windows_nonoverlap,DrMe,DrMe,14,15,20,40.31145064036051,2.0155725320180258
train,windows_nonoverlap,DrMe,DrMe,15,16,20,38.774673104286194,1.9387336552143097
train,windows_nonoverlap,DrMe,DrMe,16,17,20,38.774673104286194,1.9387336552143097
train,windows_nonoverlap,DrMe,DrMe,17,18,20,38.774673104286194,1.9387336552143097
train,windows_nonoverlap,DrMe,DrMe,18,19,20,39.445708890755974,1.9722854445377986
train,windows_nonoverlap,DrMe,DrMe,19,20,20,39.44570889075597,1.9722854445377984
train,windows_nonoverlap,DrMe,DrMe,20,21,20,39.445708890755974,1.9722854445377986
train,windows_nonoverlap,DrMe,DrMe,21,22,20,38.30635464191437,1.9153177320957184
train,windows_nonoverlap,DrMe,DrMe,22,23,20,38.30635464191437,1.9153177320957184
train,windows_nonoverlap,DrMe,DrMe,23,24,20,38.30635464191437,1.9153177320957184
train,windows_nonoverlap,DrMe,DrMe,24,25,20,40.36118471622467,2.0180592358112337
train,windows_nonoverlap,DrMe,DrMe,25,26,20,40.36118471622467,2.0180592358112337
train,windows_nonoverlap,DrMe,DrMe,26,27,20,40.36118471622467,2.0180592358112337
train,windows_nonoverlap,DrMe,DrMe,27,28,20,42.04817485809326,2.102408742904663
train,windows_nonoverlap,DrMe,DrMe,28,29,20,42.04817485809326,2.102408742904663
train,windows_nonoverlap,DrMe,DrMe,29,30,20,42.04817485809326,2.102408742904663
train,windows_nonoverlap,DrMe,DrMe,30,31,20,37.36871035893758,1.8684355179468788
train,windows_nonoverlap,DrMe,DrMe,31,32,20,37.36871035893758,1.8684355179468788
train,windows_nonoverlap,DrMe,DrMe,32,33,20,37.368710358937584,1.8684355179468792
train,windows_nonoverlap,DrMe,DrMe,33,34,20,42.55386861165365,2.1276934305826822
train,windows_nonoverlap,DrMe,DrMe,34,35,20,42.55386861165365,2.1276934305826822
train,windows_nonoverlap,DrMe,DrMe,35,36,20,42.55386861165365,2.1276934305826822
train,windows_nonoverlap,DrMe,DrMe,36,37,20,39.59633247057597,1.9798166235287986
train,windows_nonoverlap,DrMe,DrMe,37,38,20,39.596332470575966,1.9798166235287984
train,windows_nonoverlap,DrMe,DrMe,38,39,20,39.596332470575966,1.9798166235287984
train,windows_nonoverlap,DrMe,DrMe,39,40,20,39.26921319961548,1.963460659980774
train,windows_nonoverlap,DrMe,DrMe,40,41,20,39.26921319961548,1.963460659980774
train,windows_nonoverlap,DrMe,DrMe,41,42,20,39.26921319961548,1.963460659980774
train,windows_nonoverlap,DrMe,DrMe,42,43,20,38.00513553619385,1.9002567768096923
train,windows_nonoverlap,DrMe,DrMe,43,44,20,38.00513553619385,1.9002567768096923
train,windows_nonoverlap,DrMe,DrMe,44,45,20,38.00513553619385,1.9002567768096923
train,windows_nonoverlap,DrMe,DrMe,45,46,20,39.97748390833537,1.9988741954167686
