split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,OrSa,OrSa,0,1,20,41.076127688090004,2.0538063844045
train,windows_nonoverlap,OrSa,OrSa,1,2,20,41.076127688090004,2.0538063844045
train,windows_nonoverlap,OrSa,OrSa,2,3,20,41.076127688090004,2.0538063844045
train,windows_nonoverlap,OrSa,OrSa,3,4,20,40.02223777770996,2.001111888885498
train,windows_nonoverlap,OrSa,OrSa,4,5,20,40.02223777770996,2.001111888885498
train,windows_nonoverlap,OrSa,OrSa,5,6,20,40.02223777770996,2.001111888885498
train,windows_nonoverlap,OrSa,OrSa,6,7,20,39.69856325785319,1.9849281628926594
train,windows_nonoverlap,OrSa,OrSa,7,8,20,39.69856325785319,1.9849281628926594
train,windows_nonoverlap,OrSa,OrSa,8,9,20,39.69856325785319,1.9849281628926594
train,windows_nonoverlap,OrSa,OrSa,9,10,20,39.65413459142049,1.9827067295710243
train,windows_nonoverlap,OrSa,OrSa,10,11,20,39.654134591420494,1.9827067295710248
train,windows_nonoverlap,OrSa,OrSa,11,12,20,39.654134591420494,1.9827067295710248
train,windows_nonoverlap,OrSa,OrSa,12,13,20,37.29067556063334,1.8645337780316669
train,windows_nonoverlap,OrSa,OrSa,13,14,20,37.29067556063334,1.8645337780316669
train,windows_nonoverlap,OrSa,OrSa,14,15,20,37.29067556063334,1.8645337780316669
train,windows_nonoverlap,OrSa,OrSa,15,16,20,39.337130526701614,1.9668565263350808
train,windows_nonoverlap,OrSa,OrSa,16,17,20,39.33713052670161,1.9668565263350803
train,windows_nonoverlap,OrSa,OrSa,17,18,20,39.337130526701614,1.9668565263350808
train,windows_nonoverlap,OrSa,OrSa,18,19,20,37.597571055094406,1.8798785527547204
train,windows_nonoverlap,OrSa,OrSa,19,20,20,37.5975710550944,1.87987855275472
train,windows_nonoverlap,OrSa,OrSa,20,21,20,37.5975710550944,1.87987855275472
train,windows_nonoverlap,OrSa,OrSa,21,22,20,37.70611995458603,1.8853059977293014
train,windows_nonoverlap,OrSa,OrSa,22,23,20,37.70611995458603,1.8853059977293014
train,windows_nonoverlap,OrSa,OrSa,23,24,20,37.70611995458603,1.8853059977293014
train,windows_nonoverlap,OrSa,OrSa,24,25,20,40.00814481576284,2.000407240788142
train,windows_nonoverlap,OrSa,OrSa,25,26,20,40.00814481576283,2.0004072407881415
train,windows_nonoverlap,OrSa,OrSa,26,27,20,40.00814481576284,2.000407240788142
train,windows_nonoverlap,OrSa,OrSa,27,28,20,37.79463818669319,1.8897319093346596
train,windows_nonoverlap,OrSa,OrSa,28,29,20,37.79463818669319,1.8897319093346596
train,windows_nonoverlap,OrSa,OrSa,29,30,20,37.794638186693184,1.8897319093346592
train,windows_nonoverlap,OrSa,OrSa,30,31,20,37.22631634771824,1.861315817385912
