split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,0,1,33,66.32538414001465,2.0098601254549893
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,1,2,33,66.32538414001465,2.0098601254549893
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,2,3,33,66.32538414001465,2.0098601254549893
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,3,4,33,67.0656450589498,2.03229227451363
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,4,5,33,67.0656450589498,2.03229227451363
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,5,6,33,67.06564505894978,2.0322922745136296
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,6,7,33,65.88824653625488,1.996613531401663
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,7,8,33,65.88824653625488,1.996613531401663
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,8,9,33,65.88824653625488,1.996613531401663
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,9,10,33,68.2665654818217,2.0686838024794456
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,10,11,33,68.2665654818217,2.0686838024794456
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,11,12,33,68.26656548182169,2.068683802479445
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,12,13,33,63.037261724472046,1.9102200522567288
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,13,14,33,63.037261724472046,1.9102200522567288
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,14,15,33,63.037261724472046,1.9102200522567288
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,15,16,33,68.72404177983603,2.082546720601092
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,16,17,33,68.72404177983601,2.0825467206010915
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,17,18,33,68.72404177983603,2.082546720601092
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,18,19,33,66.31335496902466,2.0094956051219595
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,19,20,33,66.31335496902466,2.0094956051219595
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,20,21,33,66.31335496902466,2.0094956051219595
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,21,22,33,67.56135320663452,2.0473137335343794
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,22,23,33,67.56135320663452,2.0473137335343794
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,23,24,33,67.56135320663452,2.0473137335343794
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,24,25,33,70.08688831329346,2.123845100402832
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,25,26,33,70.08688831329346,2.123845100402832
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,26,27,33,70.08688831329346,2.123845100402832
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,27,28,33,66.80502875645956,2.024394810801805
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,28,29,33,66.80502875645955,2.0243948108018044
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,29,30,33,66.80502875645956,2.024394810801805
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,30,31,33,66.79488754272461,2.024087501294685
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,31,32,33,66.79488754272461,2.024087501294685
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,32,33,33,66.79488754272461,2.024087501294685
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,33,34,33,62.571129322052,1.8960948279409697
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,34,35,33,62.571129322052,1.8960948279409697
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,35,36,33,62.571129322052,1.8960948279409697
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,36,37,33,64.85143224398296,1.965194916484332
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,37,38,33,64.85143224398296,1.965194916484332
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,38,39,33,64.85143224398294,1.9651949164843316
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,39,40,33,68.31587362289429,2.070177988572554
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,40,41,33,68.31587362289429,2.070177988572554
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,41,42,33,68.31587362289429,2.070177988572554
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,42,43,33,66.63280216852823,2.0191758232887342
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,43,44,33,66.63280216852824,2.0191758232887347
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,44,45,33,66.63280216852824,2.0191758232887347
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,45,46,33,68.11964519818623,2.0642316726723102
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,46,47,33,68.11964519818625,2.0642316726723107
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Mt,47,48,33,68.11964519818625,2.0642316726723107
