split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,0,1,33,67.76807896296184,2.053578150392783
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,1,2,33,67.76807896296184,2.053578150392783
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,2,3,33,67.76807896296182,2.0535781503927826
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,3,4,33,57.42046843267356,1.7400141949295018
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,4,5,33,57.420468432673566,1.740014194929502
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,5,6,33,57.42046843267356,1.7400141949295018
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,6,7,33,57.20897279472168,1.7336052362036873
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,7,8,33,57.20897279472168,1.7336052362036873
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,8,9,33,57.208972794721674,1.7336052362036871
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,9,10,33,55.62019151815912,1.6854603490351248
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,10,11,33,55.62019151815912,1.6854603490351248
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,11,12,33,55.62019151815912,1.6854603490351248
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,12,13,33,51.33472501765937,1.5555977278078599
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,13,14,33,51.334725017659366,1.5555977278078597
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,14,15,33,51.33472501765936,1.5555977278078594
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,15,16,33,55.305466256725296,1.6759232199007665
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,16,17,33,55.305466256725296,1.6759232199007665
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,17,18,33,55.305466256725296,1.6759232199007665
train,windows_nonoverlap,homo_sapiens,homo_sapiens:5,18,19,33,49.72879419786235,1.5069331575109803
