split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,0,1,33,65.72426144282024,1.9916442861460677
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,1,2,33,65.72426144282022,1.9916442861460673
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,2,3,33,65.72426144282022,1.9916442861460673
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,3,4,33,64.35169998804727,1.9500515147893114
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,4,5,33,64.35169998804729,1.9500515147893118
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,5,6,33,64.35169998804729,1.9500515147893118
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,6,7,33,68.27595218022665,2.0689682478856564
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,7,8,33,68.27595218022665,2.0689682478856564
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,8,9,33,68.27595218022664,2.068968247885656
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,9,10,33,65.37602090835571,1.9810915426774458
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,10,11,33,65.37602090835571,1.9810915426774458
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,11,12,33,65.37602090835571,1.9810915426774458
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,12,13,33,64.98634727795918,1.969283250847248
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,13,14,33,64.98634727795918,1.969283250847248
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,14,15,33,64.98634727795918,1.969283250847248
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,15,16,33,58.53384176890056,1.7737527808757745
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,16,17,33,58.53384176890055,1.7737527808757743
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,17,18,33,58.53384176890056,1.7737527808757745
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,18,19,33,61.759640892346695,1.8715042694650514
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,19,20,33,61.7596408923467,1.8715042694650517
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,20,21,33,61.7596408923467,1.8715042694650517
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,21,22,33,59.74048431714375,1.8103177065801137
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,22,23,33,59.74048431714376,1.810317706580114
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,23,24,33,59.74048431714375,1.8103177065801137
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,24,25,33,59.676805555820465,1.8083880471460747
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,25,26,33,59.676805555820465,1.8083880471460747
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,26,27,33,59.676805555820465,1.8083880471460747
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,27,28,33,60.95013512174289,1.8469737915679663
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,28,29,33,60.95013512174288,1.846973791567966
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,29,30,33,60.95013512174288,1.846973791567966
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,30,31,33,59.99685776233674,1.818086598858689
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,31,32,33,59.99685776233673,1.8180865988586887
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,32,33,33,59.99685776233673,1.8180865988586887
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,33,34,33,60.34934039910634,1.8287678908820102
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,34,35,33,60.349340399106346,1.8287678908820104
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,35,36,33,60.34934039910634,1.8287678908820102
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,36,37,33,58.76534576217334,1.780768053399192
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,37,38,33,58.76534576217334,1.780768053399192
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,38,39,33,58.76534576217333,1.7807680533991919
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,39,40,33,59.371561845143646,1.7991382377316256
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,40,41,33,59.37156184514364,1.7991382377316254
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,41,42,33,59.37156184514363,1.7991382377316252
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,42,43,33,61.40903534491857,1.8608798589369264
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,43,44,33,61.40903534491857,1.8608798589369264
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,44,45,33,61.40903534491857,1.8608798589369264
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,45,46,33,61.947145233551666,1.8771862191985353
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,46,47,33,61.947145233551666,1.8771862191985353
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,47,48,33,61.947145233551666,1.8771862191985353
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,48,49,33,64.16481918096542,1.9443884600292554
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,49,50,33,64.16481918096542,1.9443884600292554
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,50,51,33,64.16481918096542,1.9443884600292554
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,51,52,33,60.83760592341423,1.8435638158610372
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,52,53,33,60.83760592341423,1.8435638158610372
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,53,54,33,60.83760592341423,1.8435638158610372
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,54,55,33,63.46122033397357,1.923067282847684
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,55,56,33,63.46122033397357,1.923067282847684
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,56,57,33,63.46122033397357,1.923067282847684
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,57,58,33,58.69133282701175,1.7785252371821743
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,58,59,33,58.69133282701174,1.778525237182174
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,59,60,33,58.69133282701174,1.778525237182174
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,60,61,33,59.32192716002464,1.7976341563643832
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,61,62,33,59.32192716002464,1.7976341563643832
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,62,63,33,59.32192716002464,1.7976341563643832
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,63,64,33,56.05235701799393,1.6985562732725432
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,64,65,33,56.05235701799393,1.6985562732725432
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,65,66,33,56.05235701799393,1.6985562732725432
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,66,67,33,60.54669990142186,1.8347484818612685
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,67,68,33,60.54669990142186,1.8347484818612685
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,68,69,33,60.54669990142186,1.8347484818612685
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,69,70,33,62.39097790916761,1.8906356942172002
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,70,71,33,62.3909779091676,1.8906356942172
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,71,72,33,62.39097790916761,1.8906356942172002
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,72,73,33,59.394027580817536,1.7998190176005313
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,73,74,33,59.39402758081755,1.7998190176005318
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,74,75,33,59.39402758081754,1.7998190176005315
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,75,76,33,54.04148277640343,1.6376206901940433
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,76,77,33,54.041482776403434,1.6376206901940435
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:IV,77,78,33,54.04148277640343,1.6376206901940433
