split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,0,1,33,67.5276296933492,2.04629180888937
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,1,2,33,67.5276296933492,2.04629180888937
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,2,3,33,67.5276296933492,2.04629180888937
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,3,4,33,66.12138907114665,2.003678456701414
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,4,5,33,66.12138907114665,2.003678456701414
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,5,6,33,66.12138907114665,2.003678456701414
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,6,7,33,67.74688863754272,2.0529360193194766
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,7,8,33,67.74688863754272,2.0529360193194766
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,8,9,33,67.74688863754272,2.0529360193194766
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,9,10,33,60.61837498346964,1.8369204540445345
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,10,11,33,60.61837498346964,1.8369204540445345
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,11,12,33,60.61837498346964,1.8369204540445345
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,12,13,33,49.105399906635284,1.4880424214131904
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,13,14,33,49.105399906635284,1.4880424214131904
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,14,15,33,49.105399906635284,1.4880424214131904
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,15,16,33,45.290462409456566,1.372438254832017
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,16,17,33,45.290462409456566,1.372438254832017
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,17,18,33,45.290462409456566,1.372438254832017
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,18,19,33,49.687602281570435,1.5056849176233464
train,windows_nonoverlap,bos_taurus,bos_taurus:Y,19,20,33,49.687602281570435,1.5056849176233464
