split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,WaMe,WaMe,0,1,20,38.842466831207275,1.9421233415603638
train,windows_nonoverlap,WaMe,WaMe,1,2,20,38.842466831207275,1.9421233415603638
train,windows_nonoverlap,WaMe,WaMe,2,3,20,38.842466831207275,1.9421233415603638
train,windows_nonoverlap,WaMe,WaMe,3,4,20,41.48576513926188,2.074288256963094
train,windows_nonoverlap,WaMe,WaMe,4,5,20,41.485765139261886,2.0742882569630945
train,windows_nonoverlap,WaMe,WaMe,5,6,20,41.48576513926188,2.074288256963094
train,windows_nonoverlap,WaMe,WaMe,6,7,20,42.81628735860189,2.1408143679300946
train,windows_nonoverlap,WaMe,WaMe,7,8,20,42.81628735860189,2.1408143679300946
train,windows_nonoverlap,WaMe,WaMe,8,9,20,42.81628735860189,2.1408143679300946
train,windows_nonoverlap,WaMe,WaMe,9,10,20,41.055769284566246,2.0527884642283123
train,windows_nonoverlap,WaMe,WaMe,10,11,20,41.055769284566246,2.0527884642283123
train,windows_nonoverlap,WaMe,WaMe,11,12,20,41.055769284566246,2.0527884642283123
train,windows_nonoverlap,WaMe,WaMe,12,13,20,37.99756415685018,1.8998782078425092
train,windows_nonoverlap,WaMe,WaMe,13,14,20,37.99756415685018,1.8998782078425092
train,windows_nonoverlap,WaMe,WaMe,14,15,20,37.99756415685018,1.8998782078425092
train,windows_nonoverlap,WaMe,WaMe,15,16,20,44.0158486366272,2.20079243183136
train,windows_nonoverlap,WaMe,WaMe,16,17,20,44.0158486366272,2.20079243183136
train,windows_nonoverlap,WaMe,WaMe,17,18,20,44.0158486366272,2.20079243183136
train,windows_nonoverlap,WaMe,WaMe,18,19,20,41.034037272135414,2.0517018636067705
train,windows_nonoverlap,WaMe,WaMe,19,20,20,41.034037272135414,2.0517018636067705
train,windows_nonoverlap,WaMe,WaMe,20,21,20,41.03403727213542,2.051701863606771
train,windows_nonoverlap,WaMe,WaMe,21,22,20,41.56047439575195,2.0780237197875975
train,windows_nonoverlap,WaMe,WaMe,22,23,20,41.56047439575195,2.0780237197875975
train,windows_nonoverlap,WaMe,WaMe,23,24,20,41.56047439575195,2.0780237197875975
train,windows_nonoverlap,WaMe,WaMe,24,25,20,39.91678182284038,1.995839091142019
train,windows_nonoverlap,WaMe,WaMe,25,26,20,39.91678182284038,1.995839091142019
train,windows_nonoverlap,WaMe,WaMe,26,27,20,39.91678182284038,1.995839091142019
train,windows_nonoverlap,WaMe,WaMe,27,28,20,40.31933466593425,2.0159667332967124
train,windows_nonoverlap,WaMe,WaMe,28,29,20,40.31933466593425,2.0159667332967124
train,windows_nonoverlap,WaMe,WaMe,29,30,20,40.31933466593425,2.0159667332967124
train,windows_nonoverlap,WaMe,WaMe,30,31,20,41.32243506113688,2.066121753056844
train,windows_nonoverlap,WaMe,WaMe,31,32,20,41.322435061136886,2.0661217530568443
train,windows_nonoverlap,WaMe,WaMe,32,33,20,41.32243506113688,2.066121753056844
train,windows_nonoverlap,WaMe,WaMe,33,34,20,36.93565225601196,1.8467826128005982
train,windows_nonoverlap,WaMe,WaMe,34,35,20,36.93565225601196,1.8467826128005982
train,windows_nonoverlap,WaMe,WaMe,35,36,20,36.93565225601196,1.8467826128005982
train,windows_nonoverlap,WaMe,WaMe,36,37,20,38.43871450424194,1.9219357252120972
train,windows_nonoverlap,WaMe,WaMe,37,38,20,38.43871450424194,1.9219357252120972
train,windows_nonoverlap,WaMe,WaMe,38,39,20,38.43871450424194,1.9219357252120972
train,windows_nonoverlap,WaMe,WaMe,39,40,20,42.00768804550171,2.1003844022750853
train,windows_nonoverlap,WaMe,WaMe,40,41,20,42.00768804550171,2.1003844022750853
train,windows_nonoverlap,WaMe,WaMe,41,42,20,42.00768804550171,2.1003844022750853
train,windows_nonoverlap,WaMe,WaMe,42,43,20,39.746241410573326,1.9873120705286662
train,windows_nonoverlap,WaMe,WaMe,43,44,20,39.74624141057332,1.987312070528666
train,windows_nonoverlap,WaMe,WaMe,44,45,20,39.746241410573326,1.9873120705286662
train,windows_nonoverlap,WaMe,WaMe,45,46,20,39.21225690841675,1.9606128454208374
train,windows_nonoverlap,WaMe,WaMe,46,47,20,39.21225690841675,1.9606128454208374
train,windows_nonoverlap,WaMe,WaMe,47,48,20,39.21225690841675,1.9606128454208374
train,windows_nonoverlap,WaMe,WaMe,48,49,20,39.64832337697347,1.9824161688486737
train,windows_nonoverlap,WaMe,WaMe,49,50,20,39.648323376973465,1.9824161688486732
train,windows_nonoverlap,WaMe,WaMe,50,51,20,39.64832337697347,1.9824161688486737
train,windows_nonoverlap,WaMe,WaMe,51,52,20,40.751301765441895,2.037565088272095
train,windows_nonoverlap,WaMe,WaMe,52,53,20,40.751301765441895,2.037565088272095
train,windows_nonoverlap,WaMe,WaMe,53,54,20,40.751301765441895,2.037565088272095
train,windows_nonoverlap,WaMe,WaMe,54,55,20,40.582159201304115,2.0291079600652058
train,windows_nonoverlap,WaMe,WaMe,55,56,20,40.582159201304115,2.0291079600652058
train,windows_nonoverlap,WaMe,WaMe,56,57,20,40.582159201304115,2.0291079600652058
train,windows_nonoverlap,WaMe,WaMe,57,58,20,38.207725524902344,1.9103862762451171
train,windows_nonoverlap,WaMe,WaMe,58,59,20,38.207725524902344,1.9103862762451171
train,windows_nonoverlap,WaMe,WaMe,59,60,20,38.207725524902344,1.9103862762451171
train,windows_nonoverlap,WaMe,WaMe,60,61,20,41.18233195940654,2.059116597970327
train,windows_nonoverlap,WaMe,WaMe,61,62,20,41.18233195940653,2.0591165979703265
train,windows_nonoverlap,WaMe,WaMe,62,63,20,41.18233195940654,2.059116597970327
train,windows_nonoverlap,WaMe,WaMe,63,64,20,39.094024976094566,1.9547012488047284
train,windows_nonoverlap,WaMe,WaMe,64,65,20,39.094024976094566,1.9547012488047284
train,windows_nonoverlap,WaMe,WaMe,65,66,20,39.094024976094566,1.9547012488047284
train,windows_nonoverlap,WaMe,WaMe,66,67,20,38.10761706034342,1.9053808530171712
train,windows_nonoverlap,WaMe,WaMe,67,68,20,38.10761706034343,1.9053808530171714
train,windows_nonoverlap,WaMe,WaMe,68,69,20,38.10761706034342,1.9053808530171712
train,windows_nonoverlap,WaMe,WaMe,69,70,20,39.48258717854817,1.9741293589274087
train,windows_nonoverlap,WaMe,WaMe,70,71,20,39.48258717854818,1.974129358927409
train,windows_nonoverlap,WaMe,WaMe,71,72,20,39.48258717854818,1.974129358927409
train,windows_nonoverlap,WaMe,WaMe,72,73,20,43.014151414235435,2.1507075707117718
train,windows_nonoverlap,WaMe,WaMe,73,74,20,43.014151414235435,2.1507075707117718
train,windows_nonoverlap,WaMe,WaMe,74,75,20,43.01415141423543,2.1507075707117713
train,windows_nonoverlap,WaMe,WaMe,75,76,20,39.293850104014076,1.9646925052007038
train,windows_nonoverlap,WaMe,WaMe,76,77,20,39.29385010401408,1.9646925052007043
train,windows_nonoverlap,WaMe,WaMe,77,78,20,39.29385010401408,1.9646925052007043
train,windows_nonoverlap,WaMe,WaMe,78,79,20,38.53638617197672,1.926819308598836
train,windows_nonoverlap,WaMe,WaMe,79,80,20,38.53638617197672,1.926819308598836
train,windows_nonoverlap,WaMe,WaMe,80,81,20,38.53638617197672,1.926819308598836
train,windows_nonoverlap,WaMe,WaMe,81,82,20,39.597638686498,1.9798819343249001
train,windows_nonoverlap,WaMe,WaMe,82,83,20,39.597638686498,1.9798819343249001
train,windows_nonoverlap,WaMe,WaMe,83,84,20,39.59763868649801,1.9798819343249003
train,windows_nonoverlap,WaMe,WaMe,84,85,20,39.15328121185303,1.9576640605926514
train,windows_nonoverlap,WaMe,WaMe,85,86,20,39.15328121185303,1.9576640605926514
train,windows_nonoverlap,WaMe,WaMe,86,87,20,39.15328121185303,1.9576640605926514
train,windows_nonoverlap,WaMe,WaMe,87,88,20,40.921643892923996,2.0460821946462
train,windows_nonoverlap,WaMe,WaMe,88,89,20,40.921643892923996,2.0460821946462
train,windows_nonoverlap,WaMe,WaMe,89,90,20,40.921643892923996,2.0460821946462
train,windows_nonoverlap,WaMe,WaMe,90,91,20,39.50559504826864,1.975279752413432
train,windows_nonoverlap,WaMe,WaMe,91,92,20,39.50559504826863,1.9752797524134316
train,windows_nonoverlap,WaMe,WaMe,92,93,20,39.50559504826864,1.975279752413432
train,windows_nonoverlap,WaMe,WaMe,93,94,20,39.74865690867106,1.987432845433553
train,windows_nonoverlap,WaMe,WaMe,94,95,20,39.748656908671066,1.9874328454335533
train,windows_nonoverlap,WaMe,WaMe,95,96,20,39.748656908671066,1.9874328454335533
train,windows_nonoverlap,WaMe,WaMe,96,97,20,37.82050840059916,1.8910254200299579
train,windows_nonoverlap,WaMe,WaMe,97,98,20,37.82050840059916,1.8910254200299579
train,windows_nonoverlap,WaMe,WaMe,98,99,20,37.82050840059916,1.8910254200299579
train,windows_nonoverlap,WaMe,WaMe,99,100,20,39.07578372955322,1.953789186477661
train,windows_nonoverlap,WaMe,WaMe,100,101,20,39.07578372955322,1.953789186477661
train,windows_nonoverlap,WaMe,WaMe,101,102,20,39.07578372955322,1.953789186477661
train,windows_nonoverlap,WaMe,WaMe,102,103,20,40.46130212148031,2.0230651060740152
train,windows_nonoverlap,WaMe,WaMe,103,104,20,40.46130212148031,2.0230651060740152
train,windows_nonoverlap,WaMe,WaMe,104,105,20,40.4613021214803,2.0230651060740152
train,windows_nonoverlap,WaMe,WaMe,105,106,20,39.30283753077189,1.9651418765385944
train,windows_nonoverlap,WaMe,WaMe,106,107,20,39.302837530771896,1.9651418765385948
train,windows_nonoverlap,WaMe,WaMe,107,108,20,39.30283753077189,1.9651418765385944
train,windows_nonoverlap,WaMe,WaMe,108,109,20,40.3512609799703,2.017563048998515
train,windows_nonoverlap,WaMe,WaMe,109,110,20,40.3512609799703,2.017563048998515
train,windows_nonoverlap,WaMe,WaMe,110,111,20,40.35126097997029,2.0175630489985146
train,windows_nonoverlap,WaMe,WaMe,111,112,20,40.24386898676554,2.012193449338277
train,windows_nonoverlap,WaMe,WaMe,112,113,20,40.24386898676555,2.0121934493382776
train,windows_nonoverlap,WaMe,WaMe,113,114,20,40.24386898676554,2.012193449338277
train,windows_nonoverlap,WaMe,WaMe,114,115,20,38.456028143564865,1.9228014071782433
train,windows_nonoverlap,WaMe,WaMe,115,116,20,38.45602814356486,1.9228014071782429
train,windows_nonoverlap,WaMe,WaMe,116,117,20,38.45602814356486,1.9228014071782429
train,windows_nonoverlap,WaMe,WaMe,117,118,20,37.76363722483317,1.8881818612416583
train,windows_nonoverlap,WaMe,WaMe,118,119,20,37.763637224833175,1.8881818612416588
train,windows_nonoverlap,WaMe,WaMe,119,120,20,37.763637224833175,1.8881818612416588
train,windows_nonoverlap,WaMe,WaMe,120,121,20,40.74755334854126,2.037377667427063
train,windows_nonoverlap,WaMe,WaMe,121,122,20,40.74755334854126,2.037377667427063
train,windows_nonoverlap,WaMe,WaMe,122,123,20,40.74755334854126,2.037377667427063
train,windows_nonoverlap,WaMe,WaMe,123,124,20,40.53422911961873,2.0267114559809363
train,windows_nonoverlap,WaMe,WaMe,124,125,20,40.534229119618736,2.0267114559809367
train,windows_nonoverlap,WaMe,WaMe,125,126,20,40.53422911961873,2.0267114559809363
train,windows_nonoverlap,WaMe,WaMe,126,127,20,39.12978585561117,1.9564892927805584
train,windows_nonoverlap,WaMe,WaMe,127,128,20,39.12978585561117,1.9564892927805584
train,windows_nonoverlap,WaMe,WaMe,128,129,20,39.12978585561117,1.9564892927805584
train,windows_nonoverlap,WaMe,WaMe,129,130,20,42.21973419189453,2.1109867095947266
train,windows_nonoverlap,WaMe,WaMe,130,131,20,42.21973419189453,2.1109867095947266
train,windows_nonoverlap,WaMe,WaMe,131,132,20,42.21973419189453,2.1109867095947266
train,windows_nonoverlap,WaMe,WaMe,132,133,20,41.3885539372762,2.06942769686381
train,windows_nonoverlap,WaMe,WaMe,133,134,20,41.38855393727621,2.0694276968638103
train,windows_nonoverlap,WaMe,WaMe,134,135,20,41.38855393727621,2.0694276968638103
train,windows_nonoverlap,WaMe,WaMe,135,136,20,36.10896762212118,1.8054483811060589
train,windows_nonoverlap,WaMe,WaMe,136,137,20,36.10896762212117,1.8054483811060584
train,windows_nonoverlap,WaMe,WaMe,137,138,20,36.10896762212117,1.8054483811060584
train,windows_nonoverlap,WaMe,WaMe,138,139,20,40.94693835576375,2.0473469177881873
train,windows_nonoverlap,WaMe,WaMe,139,140,20,40.94693835576375,2.0473469177881873
train,windows_nonoverlap,WaMe,WaMe,140,141,20,40.946938355763756,2.047346917788188
train,windows_nonoverlap,WaMe,WaMe,141,142,20,41.62898699442545,2.0814493497212725
train,windows_nonoverlap,WaMe,WaMe,142,143,20,41.62898699442545,2.0814493497212725
train,windows_nonoverlap,WaMe,WaMe,143,144,20,41.62898699442545,2.0814493497212725
train,windows_nonoverlap,WaMe,WaMe,144,145,20,40.32561286290487,2.0162806431452434
train,windows_nonoverlap,WaMe,WaMe,145,146,20,40.32561286290487,2.0162806431452434
train,windows_nonoverlap,WaMe,WaMe,146,147,20,40.32561286290487,2.0162806431452434
train,windows_nonoverlap,WaMe,WaMe,147,148,20,38.263335069020584,1.9131667534510293
train,windows_nonoverlap,WaMe,WaMe,148,149,20,38.26333506902059,1.9131667534510295
train,windows_nonoverlap,WaMe,WaMe,149,150,20,38.26333506902059,1.9131667534510295
train,windows_nonoverlap,WaMe,WaMe,150,151,20,39.36828406651814,1.968414203325907
train,windows_nonoverlap,WaMe,WaMe,151,152,20,39.36828406651814,1.968414203325907
train,windows_nonoverlap,WaMe,WaMe,152,153,20,39.36828406651815,1.9684142033259076
train,windows_nonoverlap,WaMe,WaMe,153,154,20,39.4608047803243,1.9730402390162152
train,windows_nonoverlap,WaMe,WaMe,154,155,20,39.4608047803243,1.9730402390162152
train,windows_nonoverlap,WaMe,WaMe,155,156,20,39.4608047803243,1.9730402390162152
train,windows_nonoverlap,WaMe,WaMe,156,157,20,39.874912103017174,1.9937456051508586
