split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,0,1,33,68.6096510887146,2.0790803360216543
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,1,2,33,68.6096510887146,2.0790803360216543
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,2,3,33,68.6096510887146,2.0790803360216543
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,3,4,33,63.775154272715255,1.9325804325065228
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,4,5,33,63.77515427271525,1.9325804325065228
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,5,6,33,63.77515427271525,1.9325804325065228
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,6,7,33,70.2271073659261,2.1280941626038214
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,7,8,33,70.2271073659261,2.1280941626038214
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,8,9,33,70.2271073659261,2.1280941626038214
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,9,10,33,66.93872125943501,2.028446098770758
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,10,11,33,66.93872125943503,2.0284460987707584
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,11,12,33,66.93872125943501,2.028446098770758
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,12,13,33,65.33723211288452,1.9799161246328643
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,13,14,33,65.33723211288452,1.9799161246328643
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,14,15,33,65.33723211288452,1.9799161246328643
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,15,16,33,65.92527476946512,1.9977355990747006
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,16,17,33,65.92527476946513,1.997735599074701
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,17,18,33,65.92527476946513,1.997735599074701
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,18,19,33,63.267057021458946,1.9171835461048166
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,19,20,33,63.26705702145894,1.9171835461048163
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,20,21,33,63.26705702145895,1.9171835461048168
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,21,22,33,65.5524466832479,1.9864377782802392
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,22,23,33,65.55244668324788,1.9864377782802387
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,23,24,33,65.5524466832479,1.9864377782802392
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,24,25,33,62.66356873512269,1.898896022276445
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,25,26,33,62.66356873512268,1.8988960222764448
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,26,27,33,62.66356873512268,1.8988960222764448
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,27,28,33,65.59782656033833,1.9878129260708586
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,28,29,33,65.59782656033835,1.987812926070859
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,29,30,33,65.59782656033833,1.9878129260708586
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,30,31,33,63.01400661468505,1.909515351960153
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,31,32,33,63.01400661468506,1.9095153519601533
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,32,33,33,63.01400661468506,1.9095153519601533
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,33,34,33,65.6302836338679,1.9887964737535728
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,34,35,33,65.63028363386789,1.9887964737535724
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,35,36,33,65.6302836338679,1.9887964737535728
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,36,37,33,66.38834778467815,2.0117681146872166
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:X,37,38,33,66.38834778467813,2.011768114687216
