split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,ScPo,ScPo,0,1,20,40.044712702433266,2.0022356351216635
train,windows_nonoverlap,ScPo,ScPo,1,2,20,40.04471270243327,2.0022356351216635
train,windows_nonoverlap,ScPo,ScPo,2,3,20,40.04471270243327,2.0022356351216635
train,windows_nonoverlap,ScPo,ScPo,3,4,20,39.37841828664144,1.968920914332072
train,windows_nonoverlap,ScPo,ScPo,4,5,20,39.378418286641434,1.9689209143320716
train,windows_nonoverlap,ScPo,ScPo,5,6,20,39.37841828664144,1.968920914332072
train,windows_nonoverlap,ScPo,ScPo,6,7,20,41.58231671651205,2.0791158358256023
train,windows_nonoverlap,ScPo,ScPo,7,8,20,41.58231671651205,2.0791158358256023
train,windows_nonoverlap,ScPo,ScPo,8,9,20,41.58231671651205,2.0791158358256023
train,windows_nonoverlap,ScPo,ScPo,9,10,20,38.51603651046753,1.9258018255233764
train,windows_nonoverlap,ScPo,ScPo,10,11,20,38.51603651046753,1.9258018255233764
train,windows_nonoverlap,ScPo,ScPo,11,12,20,38.51603651046753,1.9258018255233764
train,windows_nonoverlap,ScPo,ScPo,12,13,20,38.78951803843181,1.9394759019215904
train,windows_nonoverlap,ScPo,ScPo,13,14,20,38.7895180384318,1.9394759019215901
train,windows_nonoverlap,ScPo,ScPo,14,15,20,38.7895180384318,1.9394759019215901
train,windows_nonoverlap,ScPo,ScPo,15,16,20,40.918108781178795,2.0459054390589397
train,windows_nonoverlap,ScPo,ScPo,16,17,20,40.918108781178795,2.0459054390589397
train,windows_nonoverlap,ScPo,ScPo,17,18,20,40.91810878117879,2.0459054390589393
train,windows_nonoverlap,ScPo,ScPo,18,19,20,36.531331857045494,1.8265665928522747
train,windows_nonoverlap,ScPo,ScPo,19,20,20,36.531331857045494,1.8265665928522747
train,windows_nonoverlap,ScPo,ScPo,20,21,20,36.53133185704549,1.8265665928522743
train,windows_nonoverlap,ScPo,ScPo,21,22,20,37.587706883748375,1.8793853441874186
train,windows_nonoverlap,ScPo,ScPo,22,23,20,37.58770688374837,1.8793853441874184
train,windows_nonoverlap,ScPo,ScPo,23,24,20,37.58770688374837,1.8793853441874184
train,windows_nonoverlap,ScPo,ScPo,24,25,20,39.61366415023804,1.9806832075119019
train,windows_nonoverlap,ScPo,ScPo,25,26,20,39.61366415023804,1.9806832075119019
train,windows_nonoverlap,ScPo,ScPo,26,27,20,39.61366415023804,1.9806832075119019
train,windows_nonoverlap,ScPo,ScPo,27,28,20,38.4594669342041,1.922973346710205
train,windows_nonoverlap,ScPo,ScPo,28,29,20,38.4594669342041,1.922973346710205
train,windows_nonoverlap,ScPo,ScPo,29,30,20,38.4594669342041,1.922973346710205
train,windows_nonoverlap,ScPo,ScPo,30,31,20,39.24037742614746,1.962018871307373
train,windows_nonoverlap,ScPo,ScPo,31,32,20,39.24037742614746,1.962018871307373
train,windows_nonoverlap,ScPo,ScPo,32,33,20,39.24037742614746,1.962018871307373
train,windows_nonoverlap,ScPo,ScPo,33,34,20,39.71768124898274,1.9858840624491372
train,windows_nonoverlap,ScPo,ScPo,34,35,20,39.71768124898276,1.9858840624491378
train,windows_nonoverlap,ScPo,ScPo,35,36,20,39.71768124898275,1.9858840624491374
train,windows_nonoverlap,ScPo,ScPo,36,37,20,38.795312722524,1.9397656361262001
train,windows_nonoverlap,ScPo,ScPo,37,38,20,38.795312722524,1.9397656361262001
train,windows_nonoverlap,ScPo,ScPo,38,39,20,38.795312722524,1.9397656361262001
train,windows_nonoverlap,ScPo,ScPo,39,40,20,40.554073333740234,2.0277036666870116
train,windows_nonoverlap,ScPo,ScPo,40,41,20,40.554073333740234,2.0277036666870116
train,windows_nonoverlap,ScPo,ScPo,41,42,20,40.554073333740234,2.0277036666870116
train,windows_nonoverlap,ScPo,ScPo,42,43,20,39.605103492736816,1.9802551746368409
train,windows_nonoverlap,ScPo,ScPo,43,44,20,39.605103492736816,1.9802551746368409
train,windows_nonoverlap,ScPo,ScPo,44,45,20,39.605103492736816,1.9802551746368409
train,windows_nonoverlap,ScPo,ScPo,45,46,20,40.30346393585205,2.0151731967926025
train,windows_nonoverlap,ScPo,ScPo,46,47,20,40.30346393585205,2.0151731967926025
train,windows_nonoverlap,ScPo,ScPo,47,48,20,40.30346393585205,2.0151731967926025
train,windows_nonoverlap,ScPo,ScPo,48,49,20,39.01564280192058,1.9507821400960288
train,windows_nonoverlap,ScPo,ScPo,49,50,20,39.01564280192058,1.9507821400960288
train,windows_nonoverlap,ScPo,ScPo,50,51,20,39.01564280192058,1.9507821400960288
train,windows_nonoverlap,ScPo,ScPo,51,52,20,38.74880870183309,1.9374404350916545
train,windows_nonoverlap,ScPo,ScPo,52,53,20,38.74880870183309,1.9374404350916545
train,windows_nonoverlap,ScPo,ScPo,53,54,20,38.74880870183309,1.9374404350916545
train,windows_nonoverlap,ScPo,ScPo,54,55,20,39.23029629389445,1.9615148146947223
train,windows_nonoverlap,ScPo,ScPo,55,56,20,39.230296293894455,1.9615148146947228
train,windows_nonoverlap,ScPo,ScPo,56,57,20,39.23029629389445,1.9615148146947223
train,windows_nonoverlap,ScPo,ScPo,57,58,20,40.42296266555786,2.021148133277893
train,windows_nonoverlap,ScPo,ScPo,58,59,20,40.42296266555786,2.021148133277893
train,windows_nonoverlap,ScPo,ScPo,59,60,20,40.42296266555786,2.021148133277893
train,windows_nonoverlap,ScPo,ScPo,60,61,20,38.62833706537882,1.931416853268941
train,windows_nonoverlap,ScPo,ScPo,61,62,20,38.62833706537882,1.931416853268941
train,windows_nonoverlap,ScPo,ScPo,62,63,20,38.62833706537882,1.931416853268941
train,windows_nonoverlap,ScPo,ScPo,63,64,20,40.89523188273112,2.044761594136556
train,windows_nonoverlap,ScPo,ScPo,64,65,20,40.895231882731125,2.0447615941365562
train,windows_nonoverlap,ScPo,ScPo,65,66,20,40.89523188273112,2.044761594136556
train,windows_nonoverlap,ScPo,ScPo,66,67,20,36.83344268798828,1.841672134399414
train,windows_nonoverlap,ScPo,ScPo,67,68,20,36.83344268798828,1.841672134399414
train,windows_nonoverlap,ScPo,ScPo,68,69,20,36.83344268798828,1.841672134399414
train,windows_nonoverlap,ScPo,ScPo,69,70,20,38.71170202891032,1.9355851014455159
train,windows_nonoverlap,ScPo,ScPo,70,71,20,38.71170202891032,1.9355851014455159
train,windows_nonoverlap,ScPo,ScPo,71,72,20,38.71170202891032,1.9355851014455159
train,windows_nonoverlap,ScPo,ScPo,72,73,20,36.29528395334879,1.8147641976674396
train,windows_nonoverlap,ScPo,ScPo,73,74,20,36.29528395334879,1.8147641976674396
train,windows_nonoverlap,ScPo,ScPo,74,75,20,36.29528395334879,1.8147641976674396
train,windows_nonoverlap,ScPo,ScPo,75,76,20,38.96619017918905,1.9483095089594524
train,windows_nonoverlap,ScPo,ScPo,76,77,20,38.96619017918905,1.9483095089594524
train,windows_nonoverlap,ScPo,ScPo,77,78,20,38.96619017918905,1.9483095089594524
train,windows_nonoverlap,ScPo,ScPo,78,79,20,41.204984505971275,2.0602492252985636
train,windows_nonoverlap,ScPo,ScPo,79,80,20,41.204984505971275,2.0602492252985636
train,windows_nonoverlap,ScPo,ScPo,80,81,20,41.204984505971275,2.0602492252985636
train,windows_nonoverlap,ScPo,ScPo,81,82,20,38.333523432413735,1.9166761716206868
train,windows_nonoverlap,ScPo,ScPo,82,83,20,38.333523432413735,1.9166761716206868
train,windows_nonoverlap,ScPo,ScPo,83,84,20,38.333523432413735,1.9166761716206868
train,windows_nonoverlap,ScPo,ScPo,84,85,20,38.050368785858154,1.9025184392929078
train,windows_nonoverlap,ScPo,ScPo,85,86,20,38.050368785858154,1.9025184392929078
train,windows_nonoverlap,ScPo,ScPo,86,87,20,38.050368785858154,1.9025184392929078
train,windows_nonoverlap,ScPo,ScPo,87,88,20,38.44529676437378,1.9222648382186889
train,windows_nonoverlap,ScPo,ScPo,88,89,20,38.44529676437378,1.9222648382186889
train,windows_nonoverlap,ScPo,ScPo,89,90,20,38.44529676437378,1.9222648382186889
train,windows_nonoverlap,ScPo,ScPo,90,91,20,39.14497264226278,1.957248632113139
train,windows_nonoverlap,ScPo,ScPo,91,92,20,39.14497264226277,1.9572486321131386
train,windows_nonoverlap,ScPo,ScPo,92,93,20,39.14497264226277,1.9572486321131386
train,windows_nonoverlap,ScPo,ScPo,93,94,20,38.66799449920654,1.9333997249603272
train,windows_nonoverlap,ScPo,ScPo,94,95,20,38.66799449920654,1.9333997249603272
train,windows_nonoverlap,ScPo,ScPo,95,96,20,38.66799449920654,1.9333997249603272
train,windows_nonoverlap,ScPo,ScPo,96,97,20,38.933403650919594,1.9466701825459798
train,windows_nonoverlap,ScPo,ScPo,97,98,20,38.933403650919594,1.9466701825459798
train,windows_nonoverlap,ScPo,ScPo,98,99,20,38.933403650919594,1.9466701825459798
train,windows_nonoverlap,ScPo,ScPo,99,100,20,39.99853849411011,1.9999269247055054
train,windows_nonoverlap,ScPo,ScPo,100,101,20,39.99853849411011,1.9999269247055054
train,windows_nonoverlap,ScPo,ScPo,101,102,20,39.99853849411011,1.9999269247055054
train,windows_nonoverlap,ScPo,ScPo,102,103,20,39.239703814188644,1.9619851907094321
train,windows_nonoverlap,ScPo,ScPo,103,104,20,39.239703814188644,1.9619851907094321
train,windows_nonoverlap,ScPo,ScPo,104,105,20,39.239703814188644,1.9619851907094321
train,windows_nonoverlap,ScPo,ScPo,105,106,20,38.335709253946945,1.9167854626973473
train,windows_nonoverlap,ScPo,ScPo,106,107,20,38.33570925394694,1.9167854626973468
train,windows_nonoverlap,ScPo,ScPo,107,108,20,38.33570925394694,1.9167854626973468
train,windows_nonoverlap,ScPo,ScPo,108,109,20,39.65049735705058,1.9825248678525291
train,windows_nonoverlap,ScPo,ScPo,109,110,20,39.650497357050575,1.9825248678525287
train,windows_nonoverlap,ScPo,ScPo,110,111,20,39.65049735705058,1.9825248678525291
train,windows_nonoverlap,ScPo,ScPo,111,112,20,36.560176372528076,1.8280088186264039
train,windows_nonoverlap,ScPo,ScPo,112,113,20,36.560176372528076,1.8280088186264039
train,windows_nonoverlap,ScPo,ScPo,113,114,20,36.56017637252807,1.8280088186264034
train,windows_nonoverlap,ScPo,ScPo,114,115,20,38.26180076599121,1.9130900382995606
train,windows_nonoverlap,ScPo,ScPo,115,116,20,38.26180076599121,1.9130900382995606
train,windows_nonoverlap,ScPo,ScPo,116,117,20,38.26180076599121,1.9130900382995606
train,windows_nonoverlap,ScPo,ScPo,117,118,20,40.161743323008224,2.0080871661504114
train,windows_nonoverlap,ScPo,ScPo,118,119,20,40.161743323008224,2.0080871661504114
train,windows_nonoverlap,ScPo,ScPo,119,120,20,40.161743323008224,2.0080871661504114
train,windows_nonoverlap,ScPo,ScPo,120,121,20,38.90161005655924,1.945080502827962
train,windows_nonoverlap,ScPo,ScPo,121,122,20,38.90161005655924,1.945080502827962
train,windows_nonoverlap,ScPo,ScPo,122,123,20,38.90161005655924,1.945080502827962
train,windows_nonoverlap,ScPo,ScPo,123,124,20,37.21382395426433,1.8606911977132163
train,windows_nonoverlap,ScPo,ScPo,124,125,20,37.21382395426433,1.8606911977132163
train,windows_nonoverlap,ScPo,ScPo,125,126,20,37.21382395426433,1.8606911977132163
train,windows_nonoverlap,ScPo,ScPo,126,127,20,40.21561829249064,2.010780914624532
train,windows_nonoverlap,ScPo,ScPo,127,128,20,40.215618292490646,2.010780914624532
train,windows_nonoverlap,ScPo,ScPo,128,129,20,40.21561829249064,2.010780914624532
train,windows_nonoverlap,ScPo,ScPo,129,130,20,39.07628504435222,1.953814252217611
train,windows_nonoverlap,ScPo,ScPo,130,131,20,39.07628504435221,1.9538142522176105
train,windows_nonoverlap,ScPo,ScPo,131,132,20,39.07628504435221,1.9538142522176105
train,windows_nonoverlap,ScPo,ScPo,132,133,20,39.550963083903,1.97754815419515
train,windows_nonoverlap,ScPo,ScPo,133,134,20,39.550963083903,1.97754815419515
train,windows_nonoverlap,ScPo,ScPo,134,135,20,39.550963083903,1.97754815419515
train,windows_nonoverlap,ScPo,ScPo,135,136,20,39.16800928115845,1.9584004640579225
train,windows_nonoverlap,ScPo,ScPo,136,137,20,39.16800928115845,1.9584004640579225
train,windows_nonoverlap,ScPo,ScPo,137,138,20,39.16800928115845,1.9584004640579225
train,windows_nonoverlap,ScPo,ScPo,138,139,20,38.79858732223511,1.9399293661117554
train,windows_nonoverlap,ScPo,ScPo,139,140,20,38.79858732223511,1.9399293661117554
train,windows_nonoverlap,ScPo,ScPo,140,141,20,38.79858732223511,1.9399293661117554
train,windows_nonoverlap,ScPo,ScPo,141,142,20,41.45240235328674,2.072620117664337
train,windows_nonoverlap,ScPo,ScPo,142,143,20,41.45240235328674,2.072620117664337
train,windows_nonoverlap,ScPo,ScPo,143,144,20,41.45240235328674,2.072620117664337
train,windows_nonoverlap,ScPo,ScPo,144,145,20,39.26145950953166,1.963072975476583
train,windows_nonoverlap,ScPo,ScPo,145,146,20,39.261459509531655,1.9630729754765828
train,windows_nonoverlap,ScPo,ScPo,146,147,20,39.261459509531655,1.9630729754765828
train,windows_nonoverlap,ScPo,ScPo,147,148,20,38.74872366587321,1.9374361832936604
train,windows_nonoverlap,ScPo,ScPo,148,149,20,38.74872366587321,1.9374361832936604
train,windows_nonoverlap,ScPo,ScPo,149,150,20,38.748723665873214,1.9374361832936606
train,windows_nonoverlap,ScPo,ScPo,150,151,20,38.28212197621664,1.9141060988108318
train,windows_nonoverlap,ScPo,ScPo,151,152,20,38.28212197621664,1.9141060988108318
train,windows_nonoverlap,ScPo,ScPo,152,153,20,38.28212197621663,1.9141060988108314
train,windows_nonoverlap,ScPo,ScPo,153,154,20,41.67856375376383,2.0839281876881914
train,windows_nonoverlap,ScPo,ScPo,154,155,20,41.67856375376383,2.0839281876881914
train,windows_nonoverlap,ScPo,ScPo,155,156,20,41.67856375376384,2.083928187688192
train,windows_nonoverlap,ScPo,ScPo,156,157,20,37.648370027542114,1.8824185013771058
train,windows_nonoverlap,ScPo,ScPo,157,158,20,37.648370027542114,1.8824185013771058
train,windows_nonoverlap,ScPo,ScPo,158,159,20,37.648370027542114,1.8824185013771058
train,windows_nonoverlap,ScPo,ScPo,159,160,20,38.77308988571167,1.9386544942855835
train,windows_nonoverlap,ScPo,ScPo,160,161,20,38.77308988571167,1.9386544942855835
train,windows_nonoverlap,ScPo,ScPo,161,162,20,38.77308988571167,1.9386544942855835
train,windows_nonoverlap,ScPo,ScPo,162,163,20,37.40035676956177,1.8700178384780883
