split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,danio_rerio,danio_rerio:18,0,1,33,65.84448591868082,1.995287452081237
train,windows_nonoverlap,danio_rerio,danio_rerio:18,1,2,33,65.84448591868083,1.9952874520812374
train,windows_nonoverlap,danio_rerio,danio_rerio:18,2,3,33,65.84448591868082,1.995287452081237
train,windows_nonoverlap,danio_rerio,danio_rerio:18,3,4,33,63.371939341227225,1.9203617982190069
train,windows_nonoverlap,danio_rerio,danio_rerio:18,4,5,33,63.37193934122721,1.9203617982190064
train,windows_nonoverlap,danio_rerio,danio_rerio:18,5,6,33,63.37193934122722,1.9203617982190067
train,windows_nonoverlap,danio_rerio,danio_rerio:18,6,7,33,62.34247144063313,1.889165801231307
train,windows_nonoverlap,danio_rerio,danio_rerio:18,7,8,33,62.34247144063313,1.889165801231307
train,windows_nonoverlap,danio_rerio,danio_rerio:18,8,9,33,62.34247144063313,1.889165801231307
train,windows_nonoverlap,danio_rerio,danio_rerio:18,9,10,33,62.302463372548424,1.8879534355317704
train,windows_nonoverlap,danio_rerio,danio_rerio:18,10,11,33,62.30246337254842,1.8879534355317702
train,windows_nonoverlap,danio_rerio,danio_rerio:18,11,12,33,62.302463372548424,1.8879534355317704
train,windows_nonoverlap,danio_rerio,danio_rerio:18,12,13,33,61.23258058230083,1.8555327449182069
train,windows_nonoverlap,danio_rerio,danio_rerio:18,13,14,33,61.23258058230083,1.8555327449182069
train,windows_nonoverlap,danio_rerio,danio_rerio:18,14,15,33,61.23258058230082,1.8555327449182066
train,windows_nonoverlap,danio_rerio,danio_rerio:18,15,16,33,58.69269806146622,1.7785666079232187
train,windows_nonoverlap,danio_rerio,danio_rerio:18,16,17,33,58.69269806146622,1.7785666079232187
train,windows_nonoverlap,danio_rerio,danio_rerio:18,17,18,33,58.69269806146622,1.7785666079232187
train,windows_nonoverlap,danio_rerio,danio_rerio:18,18,19,33,56.05337316791216,1.698587065694308
train,windows_nonoverlap,danio_rerio,danio_rerio:18,19,20,33,56.05337316791216,1.698587065694308
train,windows_nonoverlap,danio_rerio,danio_rerio:18,20,21,33,56.05337316791216,1.698587065694308
train,windows_nonoverlap,danio_rerio,danio_rerio:18,21,22,33,56.10864775379499,1.7002620531453028
train,windows_nonoverlap,danio_rerio,danio_rerio:18,22,23,33,56.10864775379498,1.7002620531453025
train,windows_nonoverlap,danio_rerio,danio_rerio:18,23,24,33,56.10864775379498,1.7002620531453025
train,windows_nonoverlap,danio_rerio,danio_rerio:18,24,25,33,55.84006932377815,1.692123312841762
train,windows_nonoverlap,danio_rerio,danio_rerio:18,25,26,33,55.84006932377815,1.692123312841762
train,windows_nonoverlap,danio_rerio,danio_rerio:18,26,27,33,55.84006932377815,1.692123312841762
train,windows_nonoverlap,danio_rerio,danio_rerio:18,27,28,33,59.66514967878659,1.8080348387511087
train,windows_nonoverlap,danio_rerio,danio_rerio:18,28,29,33,59.66514967878659,1.8080348387511087
train,windows_nonoverlap,danio_rerio,danio_rerio:18,29,30,33,59.6651496787866,1.808034838751109
train,windows_nonoverlap,danio_rerio,danio_rerio:18,30,31,33,58.265593419472374,1.7656240430143144
train,windows_nonoverlap,danio_rerio,danio_rerio:18,31,32,33,58.26559341947238,1.7656240430143146
train,windows_nonoverlap,danio_rerio,danio_rerio:18,32,33,33,58.265593419472374,1.7656240430143144
train,windows_nonoverlap,danio_rerio,danio_rerio:18,33,34,33,58.56901613871257,1.774818670870078
train,windows_nonoverlap,danio_rerio,danio_rerio:18,34,35,33,58.56901613871256,1.7748186708700777
train,windows_nonoverlap,danio_rerio,danio_rerio:18,35,36,33,58.56901613871257,1.774818670870078
train,windows_nonoverlap,danio_rerio,danio_rerio:18,36,37,33,53.478870491186775,1.620571833066266
train,windows_nonoverlap,danio_rerio,danio_rerio:18,37,38,33,53.478870491186775,1.620571833066266
train,windows_nonoverlap,danio_rerio,danio_rerio:18,38,39,33,53.478870491186775,1.620571833066266
train,windows_nonoverlap,danio_rerio,danio_rerio:18,39,40,33,50.094631254673004,1.5180191289294849
train,windows_nonoverlap,danio_rerio,danio_rerio:18,40,41,33,50.094631254673004,1.5180191289294849
train,windows_nonoverlap,danio_rerio,danio_rerio:18,41,42,33,50.094631254673004,1.5180191289294849
train,windows_nonoverlap,danio_rerio,danio_rerio:18,42,43,33,53.784091740846634,1.6298209618438373
train,windows_nonoverlap,danio_rerio,danio_rerio:18,43,44,33,53.784091740846634,1.6298209618438373
train,windows_nonoverlap,danio_rerio,danio_rerio:18,44,45,33,53.784091740846634,1.6298209618438373
train,windows_nonoverlap,danio_rerio,danio_rerio:18,45,46,33,53.42345502972603,1.6188925766583644
train,windows_nonoverlap,danio_rerio,danio_rerio:18,46,47,33,53.42345502972603,1.6188925766583644
train,windows_nonoverlap,danio_rerio,danio_rerio:18,47,48,33,53.42345502972603,1.6188925766583644
train,windows_nonoverlap,danio_rerio,danio_rerio:18,48,49,33,52.745501155654594,1.598348519868321
train,windows_nonoverlap,danio_rerio,danio_rerio:18,49,50,33,52.745501155654594,1.598348519868321
train,windows_nonoverlap,danio_rerio,danio_rerio:18,50,51,33,52.745501155654594,1.598348519868321
train,windows_nonoverlap,danio_rerio,danio_rerio:18,51,52,33,54.45413387815157,1.6501252690348962
train,windows_nonoverlap,danio_rerio,danio_rerio:18,52,53,33,54.45413387815158,1.6501252690348964
train,windows_nonoverlap,danio_rerio,danio_rerio:18,53,54,33,54.45413387815158,1.6501252690348964
train,windows_nonoverlap,danio_rerio,danio_rerio:18,54,55,33,58.505551586548485,1.7728955026226814
train,windows_nonoverlap,danio_rerio,danio_rerio:18,55,56,33,58.50555158654849,1.7728955026226816
train,windows_nonoverlap,danio_rerio,danio_rerio:18,56,57,33,58.50555158654849,1.7728955026226816
train,windows_nonoverlap,danio_rerio,danio_rerio:18,57,58,33,54.95323304831982,1.6652494863127216
train,windows_nonoverlap,danio_rerio,danio_rerio:18,58,59,33,54.95323304831982,1.6652494863127216
train,windows_nonoverlap,danio_rerio,danio_rerio:18,59,60,33,54.95323304831982,1.6652494863127216
train,windows_nonoverlap,danio_rerio,danio_rerio:18,60,61,33,57.38513048489888,1.7389433480272387
train,windows_nonoverlap,danio_rerio,danio_rerio:18,61,62,33,57.38513048489889,1.738943348027239
train,windows_nonoverlap,danio_rerio,danio_rerio:18,62,63,33,57.38513048489889,1.738943348027239
train,windows_nonoverlap,danio_rerio,danio_rerio:18,63,64,33,53.84902538855871,1.6317886481381427
train,windows_nonoverlap,danio_rerio,danio_rerio:18,64,65,33,53.8490253885587,1.6317886481381425
train,windows_nonoverlap,danio_rerio,danio_rerio:18,65,66,33,53.8490253885587,1.6317886481381425
train,windows_nonoverlap,danio_rerio,danio_rerio:18,66,67,33,49.38659080862999,1.4965633578372723
train,windows_nonoverlap,danio_rerio,danio_rerio:18,67,68,33,49.38659080862999,1.4965633578372723
train,windows_nonoverlap,danio_rerio,danio_rerio:18,68,69,33,49.38659080862999,1.4965633578372723
train,windows_nonoverlap,danio_rerio,danio_rerio:18,69,70,33,55.09778696298599,1.6696299079692725
train,windows_nonoverlap,danio_rerio,danio_rerio:18,70,71,33,55.09778696298599,1.6696299079692725
train,windows_nonoverlap,danio_rerio,danio_rerio:18,71,72,33,55.097786962986,1.6696299079692727
train,windows_nonoverlap,danio_rerio,danio_rerio:18,72,73,33,52.536075850327805,1.592002298494782
train,windows_nonoverlap,danio_rerio,danio_rerio:18,73,74,33,52.53607585032781,1.5920022984947821
train,windows_nonoverlap,danio_rerio,danio_rerio:18,74,75,33,52.53607585032781,1.5920022984947821
train,windows_nonoverlap,danio_rerio,danio_rerio:18,75,76,33,51.42923374970754,1.5584616287790165
train,windows_nonoverlap,danio_rerio,danio_rerio:18,76,77,33,51.429233749707535,1.5584616287790163
train,windows_nonoverlap,danio_rerio,danio_rerio:18,77,78,33,51.42923374970754,1.5584616287790165
train,windows_nonoverlap,danio_rerio,danio_rerio:18,78,79,33,49.56992670893669,1.5021189911798998
train,windows_nonoverlap,danio_rerio,danio_rerio:18,79,80,33,49.56992670893669,1.5021189911798998
train,windows_nonoverlap,danio_rerio,danio_rerio:18,80,81,33,49.56992670893669,1.5021189911798998
train,windows_nonoverlap,danio_rerio,danio_rerio:18,81,82,33,52.726039136449494,1.5977587617105906
train,windows_nonoverlap,danio_rerio,danio_rerio:18,82,83,33,52.726039136449494,1.5977587617105906
train,windows_nonoverlap,danio_rerio,danio_rerio:18,83,84,33,52.7260391364495,1.5977587617105908
train,windows_nonoverlap,danio_rerio,danio_rerio:18,84,85,33,57.596669003367424,1.7453536061626491
train,windows_nonoverlap,danio_rerio,danio_rerio:18,85,86,33,57.596669003367424,1.7453536061626491
