split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,0,1,33,64.16134214401245,1.9442830952731045
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,1,2,33,64.16134214401245,1.9442830952731045
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,2,3,33,64.16134214401245,1.9442830952731045
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,3,4,33,67.84220250447592,2.0558243183174523
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,4,5,33,67.84220250447592,2.0558243183174523
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,5,6,33,67.84220250447592,2.0558243183174523
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,6,7,33,66.58836642901102,2.017829285727607
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,7,8,33,66.58836642901102,2.017829285727607
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,8,9,33,66.58836642901103,2.0178292857276072
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,9,10,33,65.14938982327779,1.9742239340387209
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,10,11,33,65.1493898232778,1.9742239340387213
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,11,12,33,65.1493898232778,1.9742239340387213
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,12,13,33,67.43736553192139,2.043556531270345
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,13,14,33,67.43736553192139,2.043556531270345
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,14,15,33,67.43736553192139,2.043556531270345
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,15,16,33,65.45710849761963,1.9835487423521099
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,16,17,33,65.45710849761963,1.9835487423521099
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,17,18,33,65.45710849761963,1.9835487423521099
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,18,19,33,63.83564758300781,1.934413563121449
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,19,20,33,63.83564758300781,1.934413563121449
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,20,21,33,63.83564758300781,1.934413563121449
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,21,22,33,69.93141635258992,2.119133828866361
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,22,23,33,69.93141635258992,2.119133828866361
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,23,24,33,69.93141635258992,2.119133828866361
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,24,25,33,63.580942471822105,1.9266952264188517
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,25,26,33,63.5809424718221,1.9266952264188515
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,26,27,33,63.58094247182211,1.926695226418852
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,27,28,33,61.920968532562256,1.87639298583522
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,28,29,33,61.92096853256225,1.8763929858352197
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,29,30,33,61.920968532562256,1.87639298583522
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,30,31,33,73.2932562828064,2.2210077661456484
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,31,32,33,73.2932562828064,2.2210077661456484
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,32,33,33,73.2932562828064,2.2210077661456484
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,33,34,33,66.58688163757324,2.017784292047674
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,34,35,33,66.58688163757324,2.017784292047674
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,35,36,33,66.58688163757324,2.017784292047674
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,36,37,33,66.40385293960571,2.01223796786684
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,37,38,33,66.40385293960571,2.01223796786684
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,38,39,33,66.40385293960571,2.01223796786684
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,39,40,33,68.3384280204773,2.0708614551659785
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,40,41,33,68.3384280204773,2.0708614551659785
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,41,42,33,68.3384280204773,2.0708614551659785
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,42,43,33,61.91943041483561,1.8763463762071397
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,43,44,33,61.91943041483561,1.8763463762071397
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,44,45,33,61.91943041483561,1.8763463762071397
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,45,46,33,63.32861685752869,1.9190489956826875
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,46,47,33,63.32861685752869,1.9190489956826875
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,47,48,33,63.32861685752869,1.9190489956826875
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,48,49,33,66.07310446103413,2.002215286698004
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,49,50,33,66.07310446103415,2.0022152866980045
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,50,51,33,66.07310446103413,2.002215286698004
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,51,52,33,61.10765059789021,1.851746987814855
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,52,53,33,61.10765059789021,1.851746987814855
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,53,54,33,61.10765059789022,1.8517469878148551
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,54,55,33,63.76311071713765,1.9322154762768984
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,55,56,33,63.76311071713766,1.9322154762768986
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,56,57,33,63.76311071713766,1.9322154762768986
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,57,58,33,63.707336743672684,1.9305253558688693
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,58,59,33,63.7073367436727,1.9305253558688698
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,59,60,33,63.707336743672684,1.9305253558688693
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,60,61,33,61.92419950167338,1.8764908939901024
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,61,62,33,61.92419950167338,1.8764908939901024
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,62,63,33,61.924199501673385,1.8764908939901026
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,63,64,33,63.41347360610962,1.921620412306352
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,64,65,33,63.41347360610962,1.921620412306352
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,65,66,33,63.41347360610962,1.921620412306352
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,66,67,33,62.23927577336629,1.8860386597989784
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,67,68,33,62.23927577336629,1.8860386597989784
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,68,69,33,62.23927577336629,1.8860386597989784
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,69,70,33,63.67070309321086,1.929415245248814
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,70,71,33,63.670703093210854,1.9294152452488138
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,71,72,33,63.67070309321086,1.929415245248814
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,72,73,33,66.70297431945801,2.021302252104788
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,73,74,33,66.70297431945801,2.021302252104788
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,74,75,33,66.70297431945801,2.021302252104788
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,75,76,33,65.63640562693278,1.988981988694933
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,76,77,33,65.63640562693278,1.988981988694933
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,77,78,33,65.63640562693278,1.988981988694933
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,78,79,33,62.89239819844563,1.9058302484377465
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,79,80,33,62.89239819844563,1.9058302484377465
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,80,81,33,62.89239819844563,1.9058302484377465
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,81,82,33,60.92239570617676,1.8461332032174775
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,82,83,33,60.92239570617676,1.8461332032174775
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,83,84,33,60.92239570617676,1.8461332032174775
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,84,85,33,67.09140173594156,2.033072779877017
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:Pt,85,86,33,67.09140173594157,2.0330727798770174
