split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,0,1,33,68.12875254948933,2.0645076530148283
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,1,2,33,68.12875254948933,2.0645076530148283
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,2,3,33,68.12875254948933,2.0645076530148283
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,3,4,33,64.23493880603928,1.9465132971527055
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,4,5,33,64.23493880603928,1.9465132971527055
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,5,6,33,64.23493880603928,1.9465132971527055
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,6,7,33,64.85670261157308,1.9653546245931237
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,7,8,33,64.85670261157308,1.9653546245931237
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,8,9,33,64.85670261157308,1.9653546245931237
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,9,10,33,63.96609988403603,1.938366663152607
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,10,11,33,63.96609988403603,1.938366663152607
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,11,12,33,63.96609988403603,1.938366663152607
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,12,13,33,66.4974070651612,2.0150729413685213
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,13,14,33,66.4974070651612,2.0150729413685213
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,14,15,33,66.4974070651612,2.0150729413685213
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,15,16,33,65.71827555750497,1.9914628956819687
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,16,17,33,65.71827555750497,1.9914628956819687
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,17,18,33,65.71827555750497,1.9914628956819687
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,18,19,33,63.932026957627386,1.937334150231133
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,19,20,33,63.932026957627386,1.937334150231133
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,20,21,33,63.932026957627386,1.937334150231133
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,21,22,33,64.97861848614411,1.96904904503467
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,22,23,33,64.97861848614411,1.96904904503467
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,23,24,33,64.97861848614411,1.96904904503467
train,windows_nonoverlap,arabidopsis_thaliana,arabidopsis_thaliana:2,24,25,33,62.99039564861838,1.908799868139951
