split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,0,1,33,69.81189695994058,2.1155120290891087
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,1,2,33,69.8118969599406,2.115512029089109
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,2,3,33,69.8118969599406,2.115512029089109
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,3,4,33,63.59628343582153,1.927160104115804
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,4,5,33,63.59628343582153,1.927160104115804
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,5,6,33,63.59628343582153,1.927160104115804
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,6,7,33,68.02865314483643,2.061474337722316
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,7,8,33,68.02865314483643,2.061474337722316
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,8,9,33,68.02865314483643,2.061474337722316
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,9,10,33,67.00321070353189,2.030400324349451
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,10,11,33,67.0032107035319,2.0304003243494515
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,11,12,33,67.0032107035319,2.0304003243494515
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,12,13,33,69.88319953282675,2.117672713115962
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,13,14,33,69.88319953282675,2.117672713115962
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,14,15,33,69.88319953282674,2.1176727131159616
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,15,16,33,70.06472301483154,2.1231734246918648
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,16,17,33,70.06472301483154,2.1231734246918648
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,17,18,33,70.06472301483154,2.1231734246918648
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,18,19,33,66.36863207817078,2.011170669035478
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,19,20,33,66.36863207817078,2.011170669035478
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,20,21,33,66.36863207817078,2.011170669035478
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,21,22,33,64.56430943806967,1.9564942253960507
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,22,23,33,64.56430943806966,1.9564942253960502
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,23,24,33,64.56430943806966,1.9564942253960502
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,24,25,33,66.57027387619019,2.0172810265512178
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,25,26,33,66.57027387619019,2.0172810265512178
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,26,27,33,66.57027387619019,2.0172810265512178
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,27,28,33,63.34573193391164,1.9195676343609587
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,28,29,33,63.34573193391164,1.9195676343609587
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,29,30,33,63.34573193391164,1.9195676343609587
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,30,31,33,63.93987019856772,1.9375718241990219
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,31,32,33,63.939870198567704,1.9375718241990214
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,32,33,33,63.93987019856772,1.9375718241990219
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,33,34,33,67.17455101013184,2.03559245485248
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,34,35,33,67.17455101013184,2.03559245485248
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,35,36,33,67.17455101013184,2.03559245485248
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,36,37,33,64.49906619389851,1.954517157390864
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,37,38,33,64.49906619389851,1.954517157390864
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,38,39,33,64.49906619389851,1.954517157390864
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,39,40,33,64.3965417544047,1.9514103561940817
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,40,41,33,64.39654175440471,1.951410356194082
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XIV,41,42,33,64.3965417544047,1.9514103561940817
