split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,OrSa,OrSa,0,1,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,OrSa,OrSa,1,2,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,OrSa,OrSa,2,3,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,OrSa,OrSa,3,4,1,1.915816307067871,1.915816307067871
train,windows_overlap,OrSa,OrSa,4,5,1,1.915816307067871,1.915816307067871
train,windows_overlap,OrSa,OrSa,5,6,1,1.915816307067871,1.915816307067871
train,windows_overlap,OrSa,OrSa,6,7,1,1.941030502319336,1.941030502319336
train,windows_overlap,OrSa,OrSa,7,8,1,1.941030502319336,1.941030502319336
train,windows_overlap,OrSa,OrSa,8,9,1,1.941030502319336,1.941030502319336
train,windows_overlap,OrSa,OrSa,9,10,1,1.8058098157246907,1.8058098157246907
train,windows_overlap,OrSa,OrSa,10,11,1,1.8058098157246907,1.8058098157246907
train,windows_overlap,OrSa,OrSa,11,12,1,1.8058098157246907,1.8058098157246907
train,windows_overlap,OrSa,OrSa,12,13,1,1.4188140233357747,1.4188140233357747
train,windows_overlap,OrSa,OrSa,13,14,1,1.4188140233357747,1.4188140233357747
train,windows_overlap,OrSa,OrSa,14,15,1,1.4188140233357747,1.4188140233357747
train,windows_overlap,OrSa,OrSa,15,16,1,0.7910662492116293,0.7910662492116293
train,windows_overlap,OrSa,OrSa,16,17,1,0.7910662492116293,0.7910662492116293
train,windows_overlap,OrSa,OrSa,17,18,1,0.7910662492116293,0.7910662492116293
train,windows_overlap,OrSa,OrSa,18,19,1,1.083336353302002,1.083336353302002
train,windows_overlap,OrSa,OrSa,19,20,1,1.083336353302002,1.083336353302002
train,windows_overlap,OrSa,OrSa,20,21,1,1.083336353302002,1.083336353302002
train,windows_overlap,OrSa,OrSa,21,22,1,0.48726320266723633,0.48726320266723633
train,windows_overlap,OrSa,OrSa,22,23,1,0.48726320266723633,0.48726320266723633
train,windows_overlap,OrSa,OrSa,23,24,1,0.48726320266723633,0.48726320266723633
train,windows_overlap,OrSa,OrSa,24,25,1,0.3455621401468913,0.3455621401468913
train,windows_overlap,OrSa,OrSa,25,26,1,0.3455621401468913,0.3455621401468913
train,windows_overlap,OrSa,OrSa,26,27,1,0.3455621401468913,0.3455621401468913
train,windows_overlap,OrSa,OrSa,27,28,1,0.260608971118927,0.260608971118927
train,windows_overlap,OrSa,OrSa,28,29,1,0.260608971118927,0.260608971118927
train,windows_overlap,OrSa,OrSa,29,30,1,0.260608971118927,0.260608971118927
train,windows_overlap,OrSa,OrSa,30,31,1,0.17422829071680704,0.17422829071680704
train,windows_overlap,OrSa,OrSa,31,32,1,0.17422829071680704,0.17422829071680704
train,windows_overlap,OrSa,OrSa,32,33,1,0.17422829071680704,0.17422829071680704
train,windows_overlap,OrSa,OrSa,33,34,1,0.3700590928395589,0.3700590928395589
train,windows_overlap,OrSa,OrSa,34,35,1,0.3700590928395589,0.3700590928395589
train,windows_overlap,OrSa,OrSa,35,36,1,0.3700590928395589,0.3700590928395589
train,windows_overlap,OrSa,OrSa,36,37,1,0.22213772932688394,0.22213772932688394
train,windows_overlap,OrSa,OrSa,37,38,1,0.22213772932688394,0.22213772932688394
train,windows_overlap,OrSa,OrSa,38,39,1,0.22213772932688394,0.22213772932688394
train,windows_overlap,OrSa,OrSa,39,40,1,0.308917502562205,0.308917502562205
train,windows_overlap,OrSa,OrSa,40,41,1,0.308917502562205,0.308917502562205
train,windows_overlap,OrSa,OrSa,41,42,1,0.308917502562205,0.308917502562205
train,windows_overlap,OrSa,OrSa,42,43,1,0.26099111636479694,0.26099111636479694
train,windows_overlap,OrSa,OrSa,43,44,1,0.26099111636479694,0.26099111636479694
train,windows_overlap,OrSa,OrSa,44,45,1,0.26099111636479694,0.26099111636479694
