split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,HePy,HePy,0,1,20,40.7154541015625,2.035772705078125
train,windows_nonoverlap,HePy,HePy,1,2,20,40.7154541015625,2.035772705078125
train,windows_nonoverlap,HePy,HePy,2,3,20,40.7154541015625,2.035772705078125
train,windows_nonoverlap,HePy,HePy,3,4,20,39.97168095906575,1.9985840479532875
train,windows_nonoverlap,HePy,HePy,4,5,20,39.97168095906576,1.998584047953288
train,windows_nonoverlap,HePy,HePy,5,6,20,39.97168095906575,1.9985840479532875
train,windows_nonoverlap,HePy,HePy,6,7,20,39.70804007848104,1.985402003924052
train,windows_nonoverlap,HePy,HePy,7,8,20,39.70804007848104,1.985402003924052
train,windows_nonoverlap,HePy,HePy,8,9,20,39.70804007848104,1.985402003924052
train,windows_nonoverlap,HePy,HePy,9,10,20,44.81833346684774,2.240916673342387
train,windows_nonoverlap,HePy,HePy,10,11,20,44.81833346684774,2.240916673342387
train,windows_nonoverlap,HePy,HePy,11,12,20,44.81833346684774,2.240916673342387
train,windows_nonoverlap,HePy,HePy,12,13,20,37.53858502705892,1.876929251352946
train,windows_nonoverlap,HePy,HePy,13,14,20,37.53858502705892,1.876929251352946
train,windows_nonoverlap,HePy,HePy,14,15,20,37.53858502705892,1.876929251352946
train,windows_nonoverlap,HePy,HePy,15,16,20,39.78978840510051,1.9894894202550255
train,windows_nonoverlap,HePy,HePy,16,17,20,39.78978840510051,1.9894894202550255
train,windows_nonoverlap,HePy,HePy,17,18,20,39.7897884051005,1.989489420255025
train,windows_nonoverlap,HePy,HePy,18,19,20,35.935575803120926,1.7967787901560464
train,windows_nonoverlap,HePy,HePy,19,20,20,35.93557580312093,1.7967787901560466
train,windows_nonoverlap,HePy,HePy,20,21,20,35.935575803120926,1.7967787901560464
train,windows_nonoverlap,HePy,HePy,21,22,20,41.42715533574422,2.071357766787211
train,windows_nonoverlap,HePy,HePy,22,23,20,41.427155335744224,2.0713577667872114
train,windows_nonoverlap,HePy,HePy,23,24,20,41.42715533574422,2.071357766787211
train,windows_nonoverlap,HePy,HePy,24,25,20,38.49000231424968,1.924500115712484
train,windows_nonoverlap,HePy,HePy,25,26,20,38.49000231424968,1.924500115712484
train,windows_nonoverlap,HePy,HePy,26,27,20,38.49000231424968,1.924500115712484
train,windows_nonoverlap,HePy,HePy,27,28,20,38.09968900680542,1.904984450340271
train,windows_nonoverlap,HePy,HePy,28,29,20,38.09968900680542,1.904984450340271
train,windows_nonoverlap,HePy,HePy,29,30,20,38.09968900680542,1.904984450340271
train,windows_nonoverlap,HePy,HePy,30,31,20,38.556797663370766,1.9278398831685384
train,windows_nonoverlap,HePy,HePy,31,32,20,38.556797663370766,1.9278398831685384
train,windows_nonoverlap,HePy,HePy,32,33,20,38.556797663370766,1.9278398831685384
train,windows_nonoverlap,HePy,HePy,33,34,20,39.860991557439164,1.9930495778719581
train,windows_nonoverlap,HePy,HePy,34,35,20,39.860991557439164,1.9930495778719581
train,windows_nonoverlap,HePy,HePy,35,36,20,39.860991557439164,1.9930495778719581
train,windows_nonoverlap,HePy,HePy,36,37,20,40.65795954068502,2.032897977034251
train,windows_nonoverlap,HePy,HePy,37,38,20,40.65795954068502,2.032897977034251
train,windows_nonoverlap,HePy,HePy,38,39,20,40.65795954068502,2.032897977034251
train,windows_nonoverlap,HePy,HePy,39,40,20,40.258211851119995,2.0129105925559996
train,windows_nonoverlap,HePy,HePy,40,41,20,40.258211851119995,2.0129105925559996
train,windows_nonoverlap,HePy,HePy,41,42,20,40.258211851119995,2.0129105925559996
train,windows_nonoverlap,HePy,HePy,42,43,20,39.67826294898987,1.9839131474494933
train,windows_nonoverlap,HePy,HePy,43,44,20,39.67826294898987,1.9839131474494933
train,windows_nonoverlap,HePy,HePy,44,45,20,39.67826294898987,1.9839131474494933
train,windows_nonoverlap,HePy,HePy,45,46,20,38.33122189839681,1.9165610949198406
train,windows_nonoverlap,HePy,HePy,46,47,20,38.33122189839681,1.9165610949198406
train,windows_nonoverlap,HePy,HePy,47,48,20,38.331221898396805,1.9165610949198402
train,windows_nonoverlap,HePy,HePy,48,49,20,39.0023759206136,1.95011879603068
train,windows_nonoverlap,HePy,HePy,49,50,20,39.0023759206136,1.95011879603068
train,windows_nonoverlap,HePy,HePy,50,51,20,39.0023759206136,1.95011879603068
train,windows_nonoverlap,HePy,HePy,51,52,20,38.83513148625691,1.9417565743128455
train,windows_nonoverlap,HePy,HePy,52,53,20,38.83513148625692,1.941756574312846
train,windows_nonoverlap,HePy,HePy,53,54,20,38.83513148625692,1.941756574312846
train,windows_nonoverlap,HePy,HePy,54,55,20,38.98257956902186,1.949128978451093
train,windows_nonoverlap,HePy,HePy,55,56,20,38.98257956902186,1.949128978451093
train,windows_nonoverlap,HePy,HePy,56,57,20,38.98257956902186,1.949128978451093
train,windows_nonoverlap,HePy,HePy,57,58,20,36.17147469520569,1.8085737347602844
train,windows_nonoverlap,HePy,HePy,58,59,20,36.17147469520569,1.8085737347602844
train,windows_nonoverlap,HePy,HePy,59,60,20,36.17147469520569,1.8085737347602844
train,windows_nonoverlap,HePy,HePy,60,61,20,38.507922887802124,1.9253961443901062
train,windows_nonoverlap,HePy,HePy,61,62,20,38.507922887802124,1.9253961443901062
train,windows_nonoverlap,HePy,HePy,62,63,20,38.507922887802124,1.9253961443901062
train,windows_nonoverlap,HePy,HePy,63,64,20,38.20032024383545,1.9100160121917724
train,windows_nonoverlap,HePy,HePy,64,65,20,38.20032024383545,1.9100160121917724
train,windows_nonoverlap,HePy,HePy,65,66,20,38.20032024383545,1.9100160121917724
train,windows_nonoverlap,HePy,HePy,66,67,20,37.71521965662638,1.885760982831319
train,windows_nonoverlap,HePy,HePy,67,68,20,37.71521965662639,1.8857609828313193
train,windows_nonoverlap,HePy,HePy,68,69,20,37.71521965662639,1.8857609828313193
train,windows_nonoverlap,HePy,HePy,69,70,20,40.7935209274292,2.03967604637146
