split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,0,1,33,65.48381249109903,1.9843579542757281
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,1,2,33,65.48381249109903,1.9843579542757281
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,2,3,33,65.48381249109903,1.9843579542757281
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,3,4,33,62.73914707847871,1.9011862751054154
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,4,5,33,62.73914707847871,1.9011862751054154
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,5,6,33,62.73914707847871,1.9011862751054154
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,6,7,33,58.364709070776975,1.7686275475993023
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,7,8,33,58.364709070776975,1.7686275475993023
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,8,9,33,58.364709070776975,1.7686275475993023
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,9,10,33,61.77322082901568,1.8719157826974449
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,10,11,33,61.77322082901567,1.8719157826974446
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,11,12,33,61.77322082901567,1.8719157826974446
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,12,13,33,63.37685025995597,1.9205106139380597
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,13,14,33,63.37685025995598,1.9205106139380599
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,14,15,33,63.37685025995597,1.9205106139380597
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,15,16,33,61.161809942219406,1.8533881800672547
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,16,17,33,61.161809942219406,1.8533881800672547
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,17,18,33,61.161809942219406,1.8533881800672547
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,18,19,33,64.31495462885746,1.9489380190562868
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,19,20,33,64.31495462885748,1.9489380190562873
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,20,21,33,64.31495462885748,1.9489380190562873
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,21,22,33,59.65588772975995,1.8077541736290892
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,22,23,33,59.655887729759954,1.8077541736290894
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,23,24,33,59.65588772975995,1.8077541736290892
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,24,25,33,63.784742799083084,1.9328709939116087
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,25,26,33,63.78474279908308,1.9328709939116084
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,26,27,33,63.78474279908308,1.9328709939116084
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,27,28,33,57.67595879896543,1.7477563272413768
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,28,29,33,57.67595879896543,1.7477563272413768
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,29,30,33,57.675958798965446,1.7477563272413772
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,30,31,33,62.601005940135416,1.8970001800041034
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,31,32,33,62.60100594013541,1.8970001800041032
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,32,33,33,62.601005940135416,1.8970001800041034
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,33,34,33,60.738851425897636,1.8405712553302314
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,34,35,33,60.738851425897636,1.8405712553302314
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,35,36,33,60.738851425897636,1.8405712553302314
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,36,37,33,60.766392655651245,1.8414058380500378
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,37,38,33,60.766392655651245,1.8414058380500378
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,38,39,33,60.76639265565124,1.8414058380500375
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,39,40,33,57.569904872274485,1.7445425718871057
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,40,41,33,57.56990487227449,1.7445425718871057
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,41,42,33,57.56990487227449,1.7445425718871057
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,42,43,33,63.28176407364663,1.917629214352928
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,43,44,33,63.28176407364663,1.917629214352928
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,44,45,33,63.28176407364663,1.917629214352928
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,45,46,33,59.64056974580551,1.8072899922971366
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,46,47,33,59.64056974580551,1.8072899922971366
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,47,48,33,59.64056974580551,1.8072899922971366
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,48,49,33,60.37113281538283,1.829428267132813
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,49,50,33,60.371132815382836,1.8294282671328133
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,50,51,33,60.37113281538282,1.8294282671328128
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,51,52,33,58.283364265322845,1.7661625534946317
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,52,53,33,58.283364265322845,1.7661625534946317
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,53,54,33,58.28336426532284,1.7661625534946315
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,54,55,33,61.201515134695605,1.8545913677180486
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,55,56,33,61.201515134695605,1.8545913677180486
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,56,57,33,61.20151513469561,1.8545913677180488
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,57,58,33,61.491645009363616,1.8633831821019278
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,58,59,33,61.49164500936361,1.8633831821019275
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,59,60,33,61.491645009363616,1.8633831821019278
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,60,61,33,61.584362712533526,1.866192809470713
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,61,62,33,61.584362712533526,1.866192809470713
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,62,63,33,61.58436271253352,1.8661928094707128
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,63,64,33,59.847444909139696,1.8135589366405969
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,64,65,33,59.847444909139696,1.8135589366405969
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:Y,65,66,33,59.84744490913969,1.8135589366405966
