split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,WaMe,WaMe,0,1,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,WaMe,WaMe,1,2,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,WaMe,WaMe,2,3,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,WaMe,WaMe,3,4,1,1.9579849243164062,1.9579849243164062
train,windows_overlap,WaMe,WaMe,4,5,1,1.9579849243164062,1.9579849243164062
train,windows_overlap,WaMe,WaMe,5,6,1,1.9579849243164062,1.9579849243164062
train,windows_overlap,WaMe,WaMe,6,7,1,3.0182504653930664,3.0182504653930664
train,windows_overlap,WaMe,WaMe,7,8,1,3.0182504653930664,3.0182504653930664
train,windows_overlap,WaMe,WaMe,8,9,1,3.0182504653930664,3.0182504653930664
train,windows_overlap,WaMe,WaMe,9,10,1,1.7699635823567708,1.7699635823567708
train,windows_overlap,WaMe,WaMe,10,11,1,1.7699635823567708,1.7699635823567708
train,windows_overlap,WaMe,WaMe,11,12,1,1.7699635823567708,1.7699635823567708
train,windows_overlap,WaMe,WaMe,12,13,1,1.359206994374593,1.359206994374593
train,windows_overlap,WaMe,WaMe,13,14,1,1.359206994374593,1.359206994374593
train,windows_overlap,WaMe,WaMe,14,15,1,1.359206994374593,1.359206994374593
train,windows_overlap,WaMe,WaMe,15,16,1,1.8324755032857258,1.8324755032857258
train,windows_overlap,WaMe,WaMe,16,17,1,1.8324755032857258,1.8324755032857258
train,windows_overlap,WaMe,WaMe,17,18,1,1.8324755032857258,1.8324755032857258
train,windows_overlap,WaMe,WaMe,18,19,1,2.0091611544291177,2.0091611544291177
train,windows_overlap,WaMe,WaMe,19,20,1,2.0091611544291177,2.0091611544291177
train,windows_overlap,WaMe,WaMe,20,21,1,2.0091611544291177,2.0091611544291177
train,windows_overlap,WaMe,WaMe,21,22,1,2.1156023343404136,2.1156023343404136
train,windows_overlap,WaMe,WaMe,22,23,1,2.1156023343404136,2.1156023343404136
train,windows_overlap,WaMe,WaMe,23,24,1,2.1156023343404136,2.1156023343404136
train,windows_overlap,WaMe,WaMe,24,25,1,2.021168073018392,2.021168073018392
train,windows_overlap,WaMe,WaMe,25,26,1,2.021168073018392,2.021168073018392
train,windows_overlap,WaMe,WaMe,26,27,1,2.021168073018392,2.021168073018392
train,windows_overlap,WaMe,WaMe,27,28,1,1.8168349266052246,1.8168349266052246
train,windows_overlap,WaMe,WaMe,28,29,1,1.8168349266052246,1.8168349266052246
train,windows_overlap,WaMe,WaMe,29,30,1,1.8168349266052246,1.8168349266052246
train,windows_overlap,WaMe,WaMe,30,31,1,2.8523969650268555,2.8523969650268555
train,windows_overlap,WaMe,WaMe,31,32,1,2.8523969650268555,2.8523969650268555
train,windows_overlap,WaMe,WaMe,32,33,1,2.8523969650268555,2.8523969650268555
train,windows_overlap,WaMe,WaMe,33,34,1,2.2191861470540366,2.2191861470540366
train,windows_overlap,WaMe,WaMe,34,35,1,2.2191861470540366,2.2191861470540366
train,windows_overlap,WaMe,WaMe,35,36,1,2.2191861470540366,2.2191861470540366
train,windows_overlap,WaMe,WaMe,36,37,1,2.0091182390848794,2.0091182390848794
