split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,bos_taurus,bos_taurus:X,0,1,33,63.43999481201172,1.9224240852124763
train,windows_nonoverlap,bos_taurus,bos_taurus:X,1,2,33,63.43999481201171,1.922424085212476
train,windows_nonoverlap,bos_taurus,bos_taurus:X,2,3,33,63.43999481201171,1.922424085212476
train,windows_nonoverlap,bos_taurus,bos_taurus:X,3,4,33,61.264662742614746,1.8565049315943862
train,windows_nonoverlap,bos_taurus,bos_taurus:X,4,5,33,61.264662742614746,1.8565049315943862
train,windows_nonoverlap,bos_taurus,bos_taurus:X,5,6,33,61.264662742614746,1.8565049315943862
train,windows_nonoverlap,bos_taurus,bos_taurus:X,6,7,33,63.233504931131996,1.916166816094909
train,windows_nonoverlap,bos_taurus,bos_taurus:X,7,8,33,63.233504931131996,1.916166816094909
train,windows_nonoverlap,bos_taurus,bos_taurus:X,8,9,33,63.233504931132,1.9161668160949092
train,windows_nonoverlap,bos_taurus,bos_taurus:X,9,10,33,58.312061627705894,1.7670321705365422
train,windows_nonoverlap,bos_taurus,bos_taurus:X,10,11,33,58.31206162770589,1.767032170536542
train,windows_nonoverlap,bos_taurus,bos_taurus:X,11,12,33,58.31206162770589,1.767032170536542
train,windows_nonoverlap,bos_taurus,bos_taurus:X,12,13,33,52.8237498998642,1.6007196939352788
train,windows_nonoverlap,bos_taurus,bos_taurus:X,13,14,33,52.8237498998642,1.6007196939352788
train,windows_nonoverlap,bos_taurus,bos_taurus:X,14,15,33,52.8237498998642,1.6007196939352788
train,windows_nonoverlap,bos_taurus,bos_taurus:X,15,16,33,49.475859344005585,1.4992684649698662
train,windows_nonoverlap,bos_taurus,bos_taurus:X,16,17,33,49.475859344005585,1.4992684649698662
train,windows_nonoverlap,bos_taurus,bos_taurus:X,17,18,33,49.475859344005585,1.4992684649698662
train,windows_nonoverlap,bos_taurus,bos_taurus:X,18,19,33,48.09592665235201,1.4574523227985459
train,windows_nonoverlap,bos_taurus,bos_taurus:X,19,20,33,48.09592665235201,1.4574523227985459
train,windows_nonoverlap,bos_taurus,bos_taurus:X,20,21,33,48.09592665235202,1.457452322798546
train,windows_nonoverlap,bos_taurus,bos_taurus:X,21,22,33,42.31153540561596,1.28216773956412
train,windows_nonoverlap,bos_taurus,bos_taurus:X,22,23,33,42.31153540561596,1.28216773956412
train,windows_nonoverlap,bos_taurus,bos_taurus:X,23,24,33,42.31153540561596,1.28216773956412
train,windows_nonoverlap,bos_taurus,bos_taurus:X,24,25,33,45.25678232560555,1.3714176462304712
train,windows_nonoverlap,bos_taurus,bos_taurus:X,25,26,33,45.256782325605556,1.3714176462304715
train,windows_nonoverlap,bos_taurus,bos_taurus:X,26,27,33,45.25678232560555,1.3714176462304712
train,windows_nonoverlap,bos_taurus,bos_taurus:X,27,28,33,42.63551625609398,1.291985341093757
train,windows_nonoverlap,bos_taurus,bos_taurus:X,28,29,33,42.63551625609398,1.291985341093757
train,windows_nonoverlap,bos_taurus,bos_taurus:X,29,30,33,42.63551625609398,1.291985341093757
train,windows_nonoverlap,bos_taurus,bos_taurus:X,30,31,33,52.4085894053181,1.5881390728884273
train,windows_nonoverlap,bos_taurus,bos_taurus:X,31,32,33,52.4085894053181,1.5881390728884273
train,windows_nonoverlap,bos_taurus,bos_taurus:X,32,33,33,52.4085894053181,1.5881390728884273
train,windows_nonoverlap,bos_taurus,bos_taurus:X,33,34,33,48.54536603639524,1.4710716980725829
train,windows_nonoverlap,bos_taurus,bos_taurus:X,34,35,33,48.54536603639523,1.4710716980725826
train,windows_nonoverlap,bos_taurus,bos_taurus:X,35,36,33,48.54536603639523,1.4710716980725826
train,windows_nonoverlap,bos_taurus,bos_taurus:X,36,37,33,42.983678529659905,1.302535713019997
