split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,DaRe,DaRe,0,1,20,38.31938489278157,1.9159692446390786
train,windows_nonoverlap,DaRe,DaRe,1,2,20,38.31938489278157,1.9159692446390786
train,windows_nonoverlap,DaRe,DaRe,2,3,20,38.31938489278157,1.9159692446390786
train,windows_nonoverlap,DaRe,DaRe,3,4,20,35.98880195617676,1.7994400978088378
train,windows_nonoverlap,DaRe,DaRe,4,5,20,35.98880195617676,1.7994400978088378
train,windows_nonoverlap,DaRe,DaRe,5,6,20,35.98880195617676,1.7994400978088378
train,windows_nonoverlap,DaRe,DaRe,6,7,20,38.3733803431193,1.918669017155965
train,windows_nonoverlap,DaRe,DaRe,7,8,20,38.37338034311931,1.9186690171559655
train,windows_nonoverlap,DaRe,DaRe,8,9,20,38.3733803431193,1.918669017155965
train,windows_nonoverlap,DaRe,DaRe,9,10,20,36.33072034517924,1.816536017258962
train,windows_nonoverlap,DaRe,DaRe,10,11,20,36.33072034517924,1.816536017258962
train,windows_nonoverlap,DaRe,DaRe,11,12,20,36.33072034517924,1.816536017258962
train,windows_nonoverlap,DaRe,DaRe,12,13,20,35.202878162264824,1.7601439081132413
train,windows_nonoverlap,DaRe,DaRe,13,14,20,35.202878162264824,1.7601439081132413
train,windows_nonoverlap,DaRe,DaRe,14,15,20,35.202878162264824,1.7601439081132413
train,windows_nonoverlap,DaRe,DaRe,15,16,20,33.50756459931532,1.6753782299657662
train,windows_nonoverlap,DaRe,DaRe,16,17,20,33.50756459931533,1.6753782299657665
train,windows_nonoverlap,DaRe,DaRe,17,18,20,33.50756459931532,1.6753782299657662
train,windows_nonoverlap,DaRe,DaRe,18,19,20,38.688277731339134,1.9344138865669567
train,windows_nonoverlap,DaRe,DaRe,19,20,20,38.68827773133914,1.9344138865669571
train,windows_nonoverlap,DaRe,DaRe,20,21,20,38.68827773133914,1.9344138865669571
train,windows_nonoverlap,DaRe,DaRe,21,22,20,33.58031778782606,1.679015889391303
train,windows_nonoverlap,DaRe,DaRe,22,23,20,33.58031778782606,1.679015889391303
train,windows_nonoverlap,DaRe,DaRe,23,24,20,33.58031778782606,1.679015889391303
train,windows_nonoverlap,DaRe,DaRe,24,25,20,40.91499258081119,2.0457496290405595
train,windows_nonoverlap,DaRe,DaRe,25,26,20,40.91499258081118,2.045749629040559
train,windows_nonoverlap,DaRe,DaRe,26,27,20,40.91499258081118,2.045749629040559
train,windows_nonoverlap,DaRe,DaRe,27,28,20,33.2786933829387,1.663934669146935
train,windows_nonoverlap,DaRe,DaRe,28,29,20,33.278693382938705,1.6639346691469352
train,windows_nonoverlap,DaRe,DaRe,29,30,20,33.278693382938705,1.6639346691469352
train,windows_nonoverlap,DaRe,DaRe,30,31,20,38.00000921885172,1.9000004609425862
train,windows_nonoverlap,DaRe,DaRe,31,32,20,38.00000921885173,1.9000004609425865
train,windows_nonoverlap,DaRe,DaRe,32,33,20,38.00000921885172,1.9000004609425862
train,windows_nonoverlap,DaRe,DaRe,33,34,20,31.809403310219448,1.5904701655109723
train,windows_nonoverlap,DaRe,DaRe,34,35,20,31.809403310219448,1.5904701655109723
train,windows_nonoverlap,DaRe,DaRe,35,36,20,31.809403310219448,1.5904701655109723
train,windows_nonoverlap,DaRe,DaRe,36,37,20,32.91278831164042,1.6456394155820209
train,windows_nonoverlap,DaRe,DaRe,37,38,20,32.91278831164042,1.6456394155820209
train,windows_nonoverlap,DaRe,DaRe,38,39,20,32.91278831164042,1.6456394155820209
train,windows_nonoverlap,DaRe,DaRe,39,40,20,35.57642487684886,1.7788212438424431
train,windows_nonoverlap,DaRe,DaRe,40,41,20,35.576424876848854,1.7788212438424427
train,windows_nonoverlap,DaRe,DaRe,41,42,20,35.576424876848854,1.7788212438424427
train,windows_nonoverlap,DaRe,DaRe,42,43,20,31.141626069943108,1.5570813034971553
train,windows_nonoverlap,DaRe,DaRe,43,44,20,31.141626069943108,1.5570813034971553
train,windows_nonoverlap,DaRe,DaRe,44,45,20,31.14162606994311,1.5570813034971556
train,windows_nonoverlap,DaRe,DaRe,45,46,20,28.51021541158358,1.425510770579179
train,windows_nonoverlap,DaRe,DaRe,46,47,20,28.51021541158358,1.425510770579179
train,windows_nonoverlap,DaRe,DaRe,47,48,20,28.510215411583584,1.4255107705791792
train,windows_nonoverlap,DaRe,DaRe,48,49,20,33.226853708426155,1.6613426854213078
train,windows_nonoverlap,DaRe,DaRe,49,50,20,33.226853708426155,1.6613426854213078
train,windows_nonoverlap,DaRe,DaRe,50,51,20,33.226853708426155,1.6613426854213078
train,windows_nonoverlap,DaRe,DaRe,51,52,20,29.319397245844204,1.4659698622922102
train,windows_nonoverlap,DaRe,DaRe,52,53,20,29.319397245844208,1.4659698622922104
train,windows_nonoverlap,DaRe,DaRe,53,54,20,29.319397245844208,1.4659698622922104
train,windows_nonoverlap,DaRe,DaRe,54,55,20,34.795603742202125,1.7397801871101062
train,windows_nonoverlap,DaRe,DaRe,55,56,20,34.795603742202125,1.7397801871101062
train,windows_nonoverlap,DaRe,DaRe,56,57,20,34.795603742202125,1.7397801871101062
train,windows_nonoverlap,DaRe,DaRe,57,58,20,29.69830494125684,1.484915247062842
train,windows_nonoverlap,DaRe,DaRe,58,59,20,29.69830494125684,1.484915247062842
train,windows_nonoverlap,DaRe,DaRe,59,60,20,29.698304941256843,1.4849152470628422
train,windows_nonoverlap,DaRe,DaRe,60,61,20,31.203391139705975,1.5601695569852987
train,windows_nonoverlap,DaRe,DaRe,61,62,20,31.203391139705978,1.560169556985299
train,windows_nonoverlap,DaRe,DaRe,62,63,20,31.203391139705975,1.5601695569852987
train,windows_nonoverlap,DaRe,DaRe,63,64,20,29.09266044696172,1.454633022348086
train,windows_nonoverlap,DaRe,DaRe,64,65,20,29.092660446961723,1.4546330223480861
train,windows_nonoverlap,DaRe,DaRe,65,66,20,29.092660446961723,1.4546330223480861
train,windows_nonoverlap,DaRe,DaRe,66,67,20,29.486530194679897,1.4743265097339948
train,windows_nonoverlap,DaRe,DaRe,67,68,20,29.486530194679897,1.4743265097339948
train,windows_nonoverlap,DaRe,DaRe,68,69,20,29.486530194679894,1.4743265097339946
train,windows_nonoverlap,DaRe,DaRe,69,70,20,25.97078812122345,1.2985394060611726
train,windows_nonoverlap,DaRe,DaRe,70,71,20,25.97078812122345,1.2985394060611726
train,windows_nonoverlap,DaRe,DaRe,71,72,20,25.97078812122345,1.2985394060611726
train,windows_nonoverlap,DaRe,DaRe,72,73,20,29.667081577082477,1.483354078854124
train,windows_nonoverlap,DaRe,DaRe,73,74,20,29.667081577082474,1.4833540788541237
train,windows_nonoverlap,DaRe,DaRe,74,75,20,29.667081577082474,1.4833540788541237
train,windows_nonoverlap,DaRe,DaRe,75,76,20,24.90105167031288,1.245052583515644
