split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,0,1,33,65.60403728485107,1.988001129843972
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,1,2,33,65.60403728485107,1.988001129843972
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,2,3,33,65.60403728485106,1.9880011298439715
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,3,4,33,67.5165319442749,2.045955513462876
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,4,5,33,67.5165319442749,2.045955513462876
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,5,6,33,67.5165319442749,2.045955513462876
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,6,7,33,64.63821156819661,1.9587336838847458
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,7,8,33,64.63821156819661,1.9587336838847458
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,8,9,33,64.63821156819661,1.9587336838847458
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,9,10,33,64.64565483729044,1.9589592374936495
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,10,11,33,64.64565483729045,1.95895923749365
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,11,12,33,64.64565483729044,1.9589592374936495
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,12,13,33,65.93979946772258,1.9981757414461387
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,13,14,33,65.93979946772258,1.9981757414461387
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,14,15,33,65.93979946772258,1.9981757414461387
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,15,16,33,66.81808972358704,2.0247905976844556
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,16,17,33,66.81808972358704,2.0247905976844556
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,17,18,33,66.81808972358704,2.0247905976844556
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,18,19,33,64.79526217778525,1.9634927932662196
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,19,20,33,64.79526217778525,1.9634927932662196
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,20,21,33,64.79526217778523,1.9634927932662192
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,21,22,33,63.739516337712615,1.9315004950822006
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,22,23,33,63.73951633771261,1.9315004950822003
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,23,24,33,63.7395163377126,1.9315004950822001
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,24,25,33,66.92564709981282,2.02804991211554
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,25,26,33,66.92564709981282,2.02804991211554
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,26,27,33,66.92564709981282,2.02804991211554
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,27,28,33,63.465836147467286,1.923207155983857
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,28,29,33,63.4658361474673,1.9232071559838575
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,29,30,33,63.46583614746729,1.9232071559838573
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,30,31,33,62.890925685564675,1.905785626835293
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,31,32,33,62.89092568556468,1.9057856268352933
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,32,33,33,62.89092568556467,1.9057856268352928
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,33,34,33,69.33668025334677,2.10111152282869
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,34,35,33,69.33668025334677,2.10111152282869
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,35,36,33,69.33668025334676,2.1011115228286896
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,36,37,33,60.89510013659795,1.8453060647453923
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,37,38,33,60.895100136597954,1.8453060647453925
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,38,39,33,60.89510013659795,1.8453060647453923
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,39,40,33,65.4957086245219,1.9847184431673301
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,40,41,33,65.4957086245219,1.9847184431673301
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,41,42,33,65.49570862452188,1.9847184431673297
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,42,43,33,65.62363529205322,1.9885950088500977
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:X,43,44,33,65.62363529205322,1.9885950088500977
