split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,0,1,33,65.24336306254068,1.9770716079557782
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,1,2,33,65.2433630625407,1.9770716079557786
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,2,3,33,65.24336306254068,1.9770716079557782
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,3,4,33,68.73077630996704,2.0827507972717285
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,4,5,33,68.73077630996704,2.0827507972717285
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,5,6,33,68.73077630996704,2.0827507972717285
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,6,7,33,66.16900523503621,2.005121370758673
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,7,8,33,66.16900523503621,2.005121370758673
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,8,9,33,66.16900523503621,2.005121370758673
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,9,10,33,66.56669386227927,2.01717254128119
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,10,11,33,66.56669386227925,2.0171725412811896
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,11,12,33,66.56669386227925,2.0171725412811896
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,12,13,33,71.25664329528809,2.159292221069336
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,13,14,33,71.25664329528809,2.159292221069336
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,14,15,33,71.25664329528809,2.159292221069336
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,15,16,33,64.9380870660146,1.9678208201822607
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,16,17,33,64.9380870660146,1.9678208201822607
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,17,18,33,64.93808706601462,1.9678208201822611
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,18,19,33,67.7400630315145,2.0527291827731666
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,19,20,33,67.74006303151448,2.052729182773166
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,20,21,33,67.74006303151448,2.052729182773166
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,21,22,33,64.00849612553914,1.9396513977436103
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,22,23,33,64.00849612553914,1.9396513977436103
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,23,24,33,64.00849612553914,1.9396513977436103
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XVI,24,25,33,65.09807030359904,1.9726687970787589
