split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,0,1,33,66.92650683720906,2.028075964763911
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,1,2,33,66.92650683720906,2.028075964763911
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,2,3,33,66.92650683720906,2.028075964763911
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,3,4,33,65.05430746078491,1.9713426503268154
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,4,5,33,65.05430746078491,1.9713426503268154
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,5,6,33,65.05430746078491,1.9713426503268154
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,6,7,33,66.87231381734212,2.02643375204067
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,7,8,33,66.87231381734212,2.02643375204067
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,8,9,33,66.87231381734212,2.02643375204067
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,9,10,33,67.41019074122111,2.042733052764276
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,10,11,33,67.4101907412211,2.0427330527642757
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,11,12,33,67.4101907412211,2.0427330527642757
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,12,13,33,64.45578320821126,1.9532055517639775
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,13,14,33,64.45578320821127,1.953205551763978
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,14,15,33,64.45578320821126,1.9532055517639775
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,15,16,33,63.35222919782003,1.9197645211460614
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,16,17,33,63.35222919782002,1.9197645211460612
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,17,18,33,63.35222919782003,1.9197645211460614
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:IV,18,19,33,65.1195330619812,1.9733191836964001
