split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,ScPo,ScPo,0,1,20,41.68567355473836,2.084283677736918
train,windows_nonoverlap,ScPo,ScPo,1,2,20,41.68567355473836,2.084283677736918
train,windows_nonoverlap,ScPo,ScPo,2,3,20,41.685673554738365,2.0842836777369182
train,windows_nonoverlap,ScPo,ScPo,3,4,20,40.02174949645996,2.001087474822998
train,windows_nonoverlap,ScPo,ScPo,4,5,20,40.02174949645996,2.001087474822998
train,windows_nonoverlap,ScPo,ScPo,5,6,20,40.02174949645996,2.001087474822998
train,windows_nonoverlap,ScPo,ScPo,6,7,20,42.742604414621994,2.1371302207310996
train,windows_nonoverlap,ScPo,ScPo,7,8,20,42.742604414621994,2.1371302207310996
train,windows_nonoverlap,ScPo,ScPo,8,9,20,42.74260441462199,2.137130220731099
train,windows_nonoverlap,ScPo,ScPo,9,10,20,38.88965320587158,1.9444826602935792
train,windows_nonoverlap,ScPo,ScPo,10,11,20,38.88965320587158,1.9444826602935792
train,windows_nonoverlap,ScPo,ScPo,11,12,20,38.88965320587158,1.9444826602935792
train,windows_nonoverlap,ScPo,ScPo,12,13,20,40.019141515096024,2.000957075754801
train,windows_nonoverlap,ScPo,ScPo,13,14,20,40.019141515096024,2.000957075754801
train,windows_nonoverlap,ScPo,ScPo,14,15,20,40.01914151509603,2.0009570757548016
train,windows_nonoverlap,ScPo,ScPo,15,16,20,39.889137744903564,1.9944568872451782
train,windows_nonoverlap,ScPo,ScPo,16,17,20,39.889137744903564,1.9944568872451782
train,windows_nonoverlap,ScPo,ScPo,17,18,20,39.889137744903564,1.9944568872451782
train,windows_nonoverlap,ScPo,ScPo,18,19,20,37.96282076835632,1.8981410384178161
train,windows_nonoverlap,ScPo,ScPo,19,20,20,37.96282076835632,1.8981410384178161
train,windows_nonoverlap,ScPo,ScPo,20,21,20,37.96282076835632,1.8981410384178161
train,windows_nonoverlap,ScPo,ScPo,21,22,20,38.20705238978068,1.910352619489034
train,windows_nonoverlap,ScPo,ScPo,22,23,20,38.20705238978068,1.910352619489034
train,windows_nonoverlap,ScPo,ScPo,23,24,20,38.207052389780685,1.9103526194890343
train,windows_nonoverlap,ScPo,ScPo,24,25,20,41.08755222956339,2.0543776114781696
train,windows_nonoverlap,ScPo,ScPo,25,26,20,41.08755222956339,2.0543776114781696
train,windows_nonoverlap,ScPo,ScPo,26,27,20,41.08755222956339,2.0543776114781696
train,windows_nonoverlap,ScPo,ScPo,27,28,20,39.50941562652588,1.975470781326294
train,windows_nonoverlap,ScPo,ScPo,28,29,20,39.50941562652588,1.975470781326294
train,windows_nonoverlap,ScPo,ScPo,29,30,20,39.50941562652588,1.975470781326294
train,windows_nonoverlap,ScPo,ScPo,30,31,20,39.65695317586263,1.9828476587931316
train,windows_nonoverlap,ScPo,ScPo,31,32,20,39.656953175862625,1.9828476587931312
train,windows_nonoverlap,ScPo,ScPo,32,33,20,39.65695317586263,1.9828476587931316
train,windows_nonoverlap,ScPo,ScPo,33,34,20,39.833109855651855,1.9916554927825927
train,windows_nonoverlap,ScPo,ScPo,34,35,20,39.833109855651855,1.9916554927825927
train,windows_nonoverlap,ScPo,ScPo,35,36,20,39.833109855651855,1.9916554927825927
train,windows_nonoverlap,ScPo,ScPo,36,37,20,38.703090031941734,1.9351545015970868
train,windows_nonoverlap,ScPo,ScPo,37,38,20,38.703090031941734,1.9351545015970868
train,windows_nonoverlap,ScPo,ScPo,38,39,20,38.703090031941734,1.9351545015970868
train,windows_nonoverlap,ScPo,ScPo,39,40,20,41.78314002354939,2.08915700117747
train,windows_nonoverlap,ScPo,ScPo,40,41,20,41.7831400235494,2.08915700117747
train,windows_nonoverlap,ScPo,ScPo,41,42,20,41.78314002354939,2.08915700117747
train,windows_nonoverlap,ScPo,ScPo,42,43,20,41.984481970469155,2.099224098523458
train,windows_nonoverlap,ScPo,ScPo,43,44,20,41.984481970469155,2.099224098523458
train,windows_nonoverlap,ScPo,ScPo,44,45,20,41.984481970469155,2.099224098523458
train,windows_nonoverlap,ScPo,ScPo,45,46,20,41.132832527160645,2.056641626358032
train,windows_nonoverlap,ScPo,ScPo,46,47,20,41.132832527160645,2.056641626358032
train,windows_nonoverlap,ScPo,ScPo,47,48,20,41.132832527160645,2.056641626358032
train,windows_nonoverlap,ScPo,ScPo,48,49,20,40.58659871419271,2.0293299357096357
train,windows_nonoverlap,ScPo,ScPo,49,50,20,40.58659871419271,2.0293299357096357
train,windows_nonoverlap,ScPo,ScPo,50,51,20,40.58659871419271,2.0293299357096357
train,windows_nonoverlap,ScPo,ScPo,51,52,20,39.651299158732094,1.9825649579366047
train,windows_nonoverlap,ScPo,ScPo,52,53,20,39.651299158732094,1.9825649579366047
train,windows_nonoverlap,ScPo,ScPo,53,54,20,39.651299158732094,1.9825649579366047
train,windows_nonoverlap,ScPo,ScPo,54,55,20,38.72871541976929,1.9364357709884643
train,windows_nonoverlap,ScPo,ScPo,55,56,20,38.72871541976929,1.9364357709884643
train,windows_nonoverlap,ScPo,ScPo,56,57,20,38.72871541976929,1.9364357709884643
train,windows_nonoverlap,ScPo,ScPo,57,58,20,41.32541513442993,2.0662707567214964
train,windows_nonoverlap,ScPo,ScPo,58,59,20,41.32541513442993,2.0662707567214964
train,windows_nonoverlap,ScPo,ScPo,59,60,20,41.32541513442993,2.0662707567214964
train,windows_nonoverlap,ScPo,ScPo,60,61,20,38.62103811899821,1.9310519059499103
train,windows_nonoverlap,ScPo,ScPo,61,62,20,38.62103811899821,1.9310519059499103
train,windows_nonoverlap,ScPo,ScPo,62,63,20,38.621038118998214,1.9310519059499107
train,windows_nonoverlap,ScPo,ScPo,63,64,20,42.06485764185587,2.1032428820927938
train,windows_nonoverlap,ScPo,ScPo,64,65,20,42.06485764185587,2.1032428820927938
train,windows_nonoverlap,ScPo,ScPo,65,66,20,42.06485764185587,2.1032428820927938
train,windows_nonoverlap,ScPo,ScPo,66,67,20,37.77128299077352,1.888564149538676
train,windows_nonoverlap,ScPo,ScPo,67,68,20,37.77128299077352,1.888564149538676
train,windows_nonoverlap,ScPo,ScPo,68,69,20,37.77128299077352,1.888564149538676
train,windows_nonoverlap,ScPo,ScPo,69,70,20,40.10869526863098,2.0054347634315492
train,windows_nonoverlap,ScPo,ScPo,70,71,20,40.10869526863098,2.0054347634315492
train,windows_nonoverlap,ScPo,ScPo,71,72,20,40.10869526863098,2.0054347634315492
train,windows_nonoverlap,ScPo,ScPo,72,73,20,37.946177164713546,1.8973088582356774
train,windows_nonoverlap,ScPo,ScPo,73,74,20,37.946177164713546,1.8973088582356774
train,windows_nonoverlap,ScPo,ScPo,74,75,20,37.94617716471354,1.897308858235677
train,windows_nonoverlap,ScPo,ScPo,75,76,20,41.42690404256185,2.0713452021280925
train,windows_nonoverlap,ScPo,ScPo,76,77,20,41.426904042561844,2.071345202128092
train,windows_nonoverlap,ScPo,ScPo,77,78,20,41.426904042561844,2.071345202128092
train,windows_nonoverlap,ScPo,ScPo,78,79,20,41.617851893107094,2.0808925946553547
train,windows_nonoverlap,ScPo,ScPo,79,80,20,41.617851893107094,2.0808925946553547
train,windows_nonoverlap,ScPo,ScPo,80,81,20,41.617851893107094,2.0808925946553547
train,windows_nonoverlap,ScPo,ScPo,81,82,20,38.1329091389974,1.9066454569498699
