split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,DaRe,DaRe,0,1,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,DaRe,DaRe,1,2,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,DaRe,DaRe,2,3,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,DaRe,DaRe,3,4,1,1.3492525418599446,1.3492525418599446
train,windows_overlap,DaRe,DaRe,4,5,1,1.3492525418599446,1.3492525418599446
train,windows_overlap,DaRe,DaRe,5,6,1,1.3492525418599446,1.3492525418599446
train,windows_overlap,DaRe,DaRe,6,7,1,0.4018564224243164,0.4018564224243164
train,windows_overlap,DaRe,DaRe,7,8,1,0.4018564224243164,0.4018564224243164
train,windows_overlap,DaRe,DaRe,8,9,1,0.4018564224243164,0.4018564224243164
train,windows_overlap,DaRe,DaRe,9,10,1,0.10551174481709798,0.10551174481709798
train,windows_overlap,DaRe,DaRe,10,11,1,0.10551174481709798,0.10551174481709798
train,windows_overlap,DaRe,DaRe,11,12,1,0.10551174481709798,0.10551174481709798
train,windows_overlap,DaRe,DaRe,12,13,1,0.07852753500143687,0.07852753500143687
train,windows_overlap,DaRe,DaRe,13,14,1,0.07852753500143687,0.07852753500143687
train,windows_overlap,DaRe,DaRe,14,15,1,0.07852753500143687,0.07852753500143687
train,windows_overlap,DaRe,DaRe,15,16,1,0.047744885087013245,0.047744885087013245
train,windows_overlap,DaRe,DaRe,16,17,1,0.047744885087013245,0.047744885087013245
train,windows_overlap,DaRe,DaRe,17,18,1,0.047744885087013245,0.047744885087013245
train,windows_overlap,DaRe,DaRe,18,19,1,0.056859105825424194,0.056859105825424194
train,windows_overlap,DaRe,DaRe,19,20,1,0.056859105825424194,0.056859105825424194
train,windows_overlap,DaRe,DaRe,20,21,1,0.056859105825424194,0.056859105825424194
train,windows_overlap,DaRe,DaRe,21,22,1,0.033553255101044975,0.033553255101044975
train,windows_overlap,DaRe,DaRe,22,23,1,0.033553255101044975,0.033553255101044975
train,windows_overlap,DaRe,DaRe,23,24,1,0.033553255101044975,0.033553255101044975
train,windows_overlap,DaRe,DaRe,24,25,1,0.046264698108037315,0.046264698108037315
train,windows_overlap,DaRe,DaRe,25,26,1,0.046264698108037315,0.046264698108037315
train,windows_overlap,DaRe,DaRe,26,27,1,0.046264698108037315,0.046264698108037315
train,windows_overlap,DaRe,DaRe,27,28,1,0.0317945530017217,0.0317945530017217
