split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,0,1,33,65.96471071243286,1.9989306276494807
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,1,2,33,65.96471071243286,1.9989306276494807
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,2,3,33,65.96471071243286,1.9989306276494807
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,3,4,33,66.03821778297424,2.001158114635583
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,4,5,33,66.03821778297424,2.001158114635583
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,5,6,33,66.03821778297424,2.001158114635583
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,6,7,33,68.02267821629842,2.06129327928177
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,7,8,33,68.02267821629843,2.0612932792817706
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,8,9,33,68.02267821629842,2.06129327928177
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,9,10,33,64.53890069325765,1.9557242634320497
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,10,11,33,64.53890069325766,1.9557242634320502
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,11,12,33,64.53890069325765,1.9557242634320497
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,12,13,33,65.688006401062,1.9905456485170303
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,13,14,33,65.68800640106201,1.9905456485170308
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,14,15,33,65.68800640106201,1.9905456485170308
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,15,16,33,64.67153247197469,1.9597434082416572
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,16,17,33,64.67153247197469,1.9597434082416572
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,17,18,33,64.67153247197469,1.9597434082416572
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,18,19,33,63.461305141448975,1.9230698527711811
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,19,20,33,63.46130514144898,1.9230698527711814
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,20,21,33,63.46130514144898,1.9230698527711814
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,21,22,33,66.97945054372151,2.0296803195067126
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,22,23,33,66.97945054372151,2.0296803195067126
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:II,23,24,33,66.97945054372151,2.0296803195067126
