split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,AeCa,AeCa,0,1,20,40.88628435134888,2.044314217567444
train,windows_nonoverlap,AeCa,AeCa,1,2,20,40.88628435134888,2.044314217567444
train,windows_nonoverlap,AeCa,AeCa,2,3,20,40.88628435134888,2.044314217567444
train,windows_nonoverlap,AeCa,AeCa,3,4,20,40.64050483703613,2.0320252418518066
train,windows_nonoverlap,AeCa,AeCa,4,5,20,40.64050483703613,2.0320252418518066
train,windows_nonoverlap,AeCa,AeCa,5,6,20,40.64050483703613,2.0320252418518066
train,windows_nonoverlap,AeCa,AeCa,6,7,20,40.978747844696045,2.0489373922348024
train,windows_nonoverlap,AeCa,AeCa,7,8,20,40.978747844696045,2.0489373922348024
train,windows_nonoverlap,AeCa,AeCa,8,9,20,40.978747844696045,2.0489373922348024
train,windows_nonoverlap,AeCa,AeCa,9,10,20,41.19958972930908,2.059979486465454
train,windows_nonoverlap,AeCa,AeCa,10,11,20,41.199589729309075,2.059979486465454
train,windows_nonoverlap,AeCa,AeCa,11,12,20,41.19958972930908,2.059979486465454
train,windows_nonoverlap,AeCa,AeCa,12,13,20,42.52437607447306,2.126218803723653
train,windows_nonoverlap,AeCa,AeCa,13,14,20,42.52437607447307,2.1262188037236536
train,windows_nonoverlap,AeCa,AeCa,14,15,20,42.52437607447306,2.126218803723653
train,windows_nonoverlap,AeCa,AeCa,15,16,20,42.261935234069824,2.113096761703491
train,windows_nonoverlap,AeCa,AeCa,16,17,20,42.261935234069824,2.113096761703491
train,windows_nonoverlap,AeCa,AeCa,17,18,20,42.261935234069824,2.113096761703491
train,windows_nonoverlap,AeCa,AeCa,18,19,20,41.58312145868937,2.0791560729344685
train,windows_nonoverlap,AeCa,AeCa,19,20,20,41.58312145868937,2.0791560729344685
train,windows_nonoverlap,AeCa,AeCa,20,21,20,41.58312145868938,2.079156072934469
train,windows_nonoverlap,AeCa,AeCa,21,22,20,42.473122119903564,2.1236561059951784
train,windows_nonoverlap,AeCa,AeCa,22,23,20,42.473122119903564,2.1236561059951784
train,windows_nonoverlap,AeCa,AeCa,23,24,20,42.473122119903564,2.1236561059951784
train,windows_nonoverlap,AeCa,AeCa,24,25,20,41.265154997507736,2.063257749875387
train,windows_nonoverlap,AeCa,AeCa,25,26,20,41.26515499750773,2.0632577498753863
train,windows_nonoverlap,AeCa,AeCa,26,27,20,41.265154997507736,2.063257749875387
train,windows_nonoverlap,AeCa,AeCa,27,28,20,42.782325426737465,2.1391162713368734
train,windows_nonoverlap,AeCa,AeCa,28,29,20,42.782325426737465,2.1391162713368734
train,windows_nonoverlap,AeCa,AeCa,29,30,20,42.782325426737465,2.1391162713368734
train,windows_nonoverlap,AeCa,AeCa,30,31,20,39.17767318089803,1.9588836590449017
train,windows_nonoverlap,AeCa,AeCa,31,32,20,39.17767318089803,1.9588836590449017
train,windows_nonoverlap,AeCa,AeCa,32,33,20,39.177673180898026,1.9588836590449012
train,windows_nonoverlap,AeCa,AeCa,33,34,20,39.901370207468666,1.9950685103734334
train,windows_nonoverlap,AeCa,AeCa,34,35,20,39.901370207468666,1.9950685103734334
train,windows_nonoverlap,AeCa,AeCa,35,36,20,39.901370207468666,1.9950685103734334
train,windows_nonoverlap,AeCa,AeCa,36,37,20,39.56569004058838,1.9782845020294189
train,windows_nonoverlap,AeCa,AeCa,37,38,20,39.56569004058838,1.9782845020294189
train,windows_nonoverlap,AeCa,AeCa,38,39,20,39.56569004058838,1.9782845020294189
train,windows_nonoverlap,AeCa,AeCa,39,40,20,38.71924304962158,1.935962152481079
train,windows_nonoverlap,AeCa,AeCa,40,41,20,38.71924304962158,1.935962152481079
train,windows_nonoverlap,AeCa,AeCa,41,42,20,38.71924304962158,1.935962152481079
train,windows_nonoverlap,AeCa,AeCa,42,43,20,38.321138540903725,1.9160569270451862
train,windows_nonoverlap,AeCa,AeCa,43,44,20,38.32113854090373,1.9160569270451866
train,windows_nonoverlap,AeCa,AeCa,44,45,20,38.321138540903725,1.9160569270451862
train,windows_nonoverlap,AeCa,AeCa,45,46,20,41.37875461578369,2.0689377307891847
train,windows_nonoverlap,AeCa,AeCa,46,47,20,41.37875461578369,2.0689377307891847
train,windows_nonoverlap,AeCa,AeCa,47,48,20,41.37875461578369,2.0689377307891847
train,windows_nonoverlap,AeCa,AeCa,48,49,20,42.23113298416138,2.111556649208069
train,windows_nonoverlap,AeCa,AeCa,49,50,20,42.23113298416138,2.111556649208069
train,windows_nonoverlap,AeCa,AeCa,50,51,20,42.23113298416138,2.111556649208069
train,windows_nonoverlap,AeCa,AeCa,51,52,20,37.63293170928955,1.8816465854644775
train,windows_nonoverlap,AeCa,AeCa,52,53,20,37.63293170928955,1.8816465854644775
train,windows_nonoverlap,AeCa,AeCa,53,54,20,37.63293170928955,1.8816465854644775
train,windows_nonoverlap,AeCa,AeCa,54,55,20,38.55607954661051,1.9278039773305256
train,windows_nonoverlap,AeCa,AeCa,55,56,20,38.55607954661051,1.9278039773305256
train,windows_nonoverlap,AeCa,AeCa,56,57,20,38.55607954661051,1.9278039773305256
train,windows_nonoverlap,AeCa,AeCa,57,58,20,41.3532559076945,2.067662795384725
train,windows_nonoverlap,AeCa,AeCa,58,59,20,41.353255907694496,2.0676627953847246
