split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,EnIn,EnIn,0,1,20,39.63343302408854,1.981671651204427
train,windows_nonoverlap,EnIn,EnIn,1,2,20,39.63343302408854,1.981671651204427
train,windows_nonoverlap,EnIn,EnIn,2,3,20,39.63343302408854,1.981671651204427
train,windows_nonoverlap,EnIn,EnIn,3,4,20,37.25790087381999,1.8628950436909997
train,windows_nonoverlap,EnIn,EnIn,4,5,20,37.257900873819985,1.8628950436909992
train,windows_nonoverlap,EnIn,EnIn,5,6,20,37.257900873819985,1.8628950436909992
train,windows_nonoverlap,EnIn,EnIn,6,7,20,43.270989418029785,2.163549470901489
train,windows_nonoverlap,EnIn,EnIn,7,8,20,43.270989418029785,2.163549470901489
train,windows_nonoverlap,EnIn,EnIn,8,9,20,43.270989418029785,2.163549470901489
train,windows_nonoverlap,EnIn,EnIn,9,10,20,39.641630808512375,1.9820815404256187
train,windows_nonoverlap,EnIn,EnIn,10,11,20,39.64163080851237,1.9820815404256185
train,windows_nonoverlap,EnIn,EnIn,11,12,20,39.64163080851237,1.9820815404256185
train,windows_nonoverlap,EnIn,EnIn,12,13,20,40.72620646158854,2.036310323079427
train,windows_nonoverlap,EnIn,EnIn,13,14,20,40.72620646158854,2.036310323079427
train,windows_nonoverlap,EnIn,EnIn,14,15,20,40.72620646158854,2.036310323079427
train,windows_nonoverlap,EnIn,EnIn,15,16,20,40.20420821507771,2.010210410753886
train,windows_nonoverlap,EnIn,EnIn,16,17,20,40.20420821507771,2.010210410753886
train,windows_nonoverlap,EnIn,EnIn,17,18,20,40.20420821507772,2.010210410753886
train,windows_nonoverlap,EnIn,EnIn,18,19,20,39.66411050160726,1.983205525080363
train,windows_nonoverlap,EnIn,EnIn,19,20,20,39.66411050160726,1.983205525080363
train,windows_nonoverlap,EnIn,EnIn,20,21,20,39.664110501607254,1.9832055250803626
train,windows_nonoverlap,EnIn,EnIn,21,22,20,40.59485181172688,2.029742590586344
