split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,0,1,33,65.60403680801392,1.988001115394361
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,1,2,33,65.60403680801392,1.988001115394361
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,2,3,33,65.60403680801392,1.988001115394361
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,3,4,33,66.40774536132812,2.012355920040246
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,4,5,33,66.40774536132812,2.012355920040246
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,5,6,33,66.40774536132812,2.012355920040246
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,6,7,33,65.1238260269165,1.9734492735429243
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,7,8,33,65.1238260269165,1.9734492735429243
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,8,9,33,65.1238260269165,1.9734492735429243
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,9,10,33,61.61738061904907,1.8671933520923962
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,10,11,33,61.61738061904907,1.8671933520923962
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,11,12,33,61.61738061904907,1.8671933520923962
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,12,13,33,69.33695109685263,2.1011197302076554
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,13,14,33,69.33695109685263,2.1011197302076554
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,14,15,33,69.33695109685262,2.101119730207655
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,15,16,33,61.889282544453934,1.875432804377392
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,16,17,33,61.889282544453934,1.875432804377392
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,17,18,33,61.889282544453934,1.875432804377392
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:I,18,19,33,63.40033394098282,1.921222240635843
