split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,AgPh,AgPh,0,1,15,31.827812989552815,2.121854199303521
train,windows_nonoverlap,AgPh,AgPh,1,2,15,31.82781298955281,2.1218541993035207
train,windows_nonoverlap,AgPh,AgPh,2,3,15,31.827812989552815,2.121854199303521
train,windows_nonoverlap,AgPh,AgPh,3,4,15,31.301891962687172,2.0867927975124783
train,windows_nonoverlap,AgPh,AgPh,4,5,15,31.301891962687172,2.0867927975124783
train,windows_nonoverlap,AgPh,AgPh,5,6,15,31.301891962687176,2.0867927975124783
train,windows_nonoverlap,AgPh,AgPh,6,7,15,30.48140319188436,2.032093546125624
train,windows_nonoverlap,AgPh,AgPh,7,8,15,30.48140319188436,2.032093546125624
train,windows_nonoverlap,AgPh,AgPh,8,9,15,30.48140319188436,2.032093546125624
train,windows_nonoverlap,AgPh,AgPh,9,10,15,29.74067974090576,1.9827119827270507
train,windows_nonoverlap,AgPh,AgPh,10,11,15,29.74067974090576,1.9827119827270507
train,windows_nonoverlap,AgPh,AgPh,11,12,15,29.74067974090576,1.9827119827270507
train,windows_nonoverlap,AgPh,AgPh,12,13,15,32.88183466593425,2.1921223110622834
train,windows_nonoverlap,AgPh,AgPh,13,14,15,32.88183466593424,2.192122311062283
train,windows_nonoverlap,AgPh,AgPh,14,15,15,32.88183466593424,2.192122311062283
train,windows_nonoverlap,AgPh,AgPh,15,16,15,32.5612359046936,2.170749060312907
train,windows_nonoverlap,AgPh,AgPh,16,17,15,32.5612359046936,2.170749060312907
train,windows_nonoverlap,AgPh,AgPh,17,18,15,32.5612359046936,2.170749060312907
train,windows_nonoverlap,AgPh,AgPh,18,19,15,29.22549112637838,1.948366075091892
train,windows_nonoverlap,AgPh,AgPh,19,20,15,29.225491126378376,1.9483660750918916
train,windows_nonoverlap,AgPh,AgPh,20,21,15,29.22549112637838,1.948366075091892
train,windows_nonoverlap,AgPh,AgPh,21,22,15,29.716533501942955,1.9811022334628636
train,windows_nonoverlap,AgPh,AgPh,22,23,15,29.71653350194295,1.9811022334628634
train,windows_nonoverlap,AgPh,AgPh,23,24,15,29.716533501942955,1.9811022334628636
train,windows_nonoverlap,AgPh,AgPh,24,25,15,32.59130986531576,2.1727539910210507
train,windows_nonoverlap,AgPh,AgPh,25,26,15,32.59130986531576,2.1727539910210507
train,windows_nonoverlap,AgPh,AgPh,26,27,15,32.59130986531575,2.17275399102105
train,windows_nonoverlap,AgPh,AgPh,27,28,15,30.715277989705402,2.0476851993136935
train,windows_nonoverlap,AgPh,AgPh,28,29,15,30.715277989705402,2.0476851993136935
train,windows_nonoverlap,AgPh,AgPh,29,30,15,30.715277989705406,2.0476851993136935
train,windows_nonoverlap,AgPh,AgPh,30,31,15,31.756038506825767,2.1170692337883845
train,windows_nonoverlap,AgPh,AgPh,31,32,15,31.756038506825767,2.1170692337883845
train,windows_nonoverlap,AgPh,AgPh,32,33,15,31.756038506825767,2.1170692337883845
train,windows_nonoverlap,AgPh,AgPh,33,34,15,30.921632448832195,2.06144216325548
train,windows_nonoverlap,AgPh,AgPh,34,35,15,30.92163244883219,2.0614421632554794
train,windows_nonoverlap,AgPh,AgPh,35,36,15,30.921632448832195,2.06144216325548
train,windows_nonoverlap,AgPh,AgPh,36,37,15,30.13057581583659,2.008705054389106
train,windows_nonoverlap,AgPh,AgPh,37,38,15,30.130575815836593,2.008705054389106
train,windows_nonoverlap,AgPh,AgPh,38,39,15,30.13057581583659,2.008705054389106
train,windows_nonoverlap,AgPh,AgPh,39,40,15,30.494653065999348,2.0329768710666234
train,windows_nonoverlap,AgPh,AgPh,40,41,15,30.494653065999348,2.0329768710666234
train,windows_nonoverlap,AgPh,AgPh,41,42,15,30.494653065999348,2.0329768710666234
train,windows_nonoverlap,AgPh,AgPh,42,43,15,31.300915559132896,2.086727703942193
train,windows_nonoverlap,AgPh,AgPh,43,44,15,31.300915559132893,2.0867277039421928
train,windows_nonoverlap,AgPh,AgPh,44,45,15,31.300915559132896,2.086727703942193
train,windows_nonoverlap,AgPh,AgPh,45,46,15,30.755223433176678,2.050348228878445
train,windows_nonoverlap,AgPh,AgPh,46,47,15,30.755223433176678,2.050348228878445
train,windows_nonoverlap,AgPh,AgPh,47,48,15,30.755223433176678,2.050348228878445
train,windows_nonoverlap,AgPh,AgPh,48,49,15,30.41750685373942,2.0278337902492947
train,windows_nonoverlap,AgPh,AgPh,49,50,15,30.417506853739418,2.0278337902492947
train,windows_nonoverlap,AgPh,AgPh,50,51,15,30.417506853739418,2.0278337902492947
train,windows_nonoverlap,AgPh,AgPh,51,52,15,29.37462568283081,1.9583083788553874
train,windows_nonoverlap,AgPh,AgPh,52,53,15,29.37462568283081,1.9583083788553874
train,windows_nonoverlap,AgPh,AgPh,53,54,15,29.37462568283081,1.9583083788553874
train,windows_nonoverlap,AgPh,AgPh,54,55,15,29.91276423136393,1.9941842820909286
train,windows_nonoverlap,AgPh,AgPh,55,56,15,29.912764231363933,1.9941842820909288
train,windows_nonoverlap,AgPh,AgPh,56,57,15,29.912764231363933,1.9941842820909288
train,windows_nonoverlap,AgPh,AgPh,57,58,15,28.860311667124428,1.9240207778082952
train,windows_nonoverlap,AgPh,AgPh,58,59,15,28.860311667124428,1.9240207778082952
train,windows_nonoverlap,AgPh,AgPh,59,60,15,28.860311667124428,1.9240207778082952
train,windows_nonoverlap,AgPh,AgPh,60,61,15,30.006430784861244,2.0004287189907495
train,windows_nonoverlap,AgPh,AgPh,61,62,15,30.006430784861248,2.00042871899075
train,windows_nonoverlap,AgPh,AgPh,62,63,15,30.006430784861244,2.0004287189907495
train,windows_nonoverlap,AgPh,AgPh,63,64,15,28.830231348673504,1.9220154232449003
train,windows_nonoverlap,AgPh,AgPh,64,65,15,28.830231348673504,1.9220154232449003
train,windows_nonoverlap,AgPh,AgPh,65,66,15,28.8302313486735,1.9220154232449
train,windows_nonoverlap,AgPh,AgPh,66,67,15,28.98457352320353,1.932304901546902
train,windows_nonoverlap,AgPh,AgPh,67,68,15,28.984573523203533,1.9323049015469023
train,windows_nonoverlap,AgPh,AgPh,68,69,15,28.984573523203533,1.9323049015469023
train,windows_nonoverlap,AgPh,AgPh,69,70,15,29.773532708485924,1.9849021805657283
train,windows_nonoverlap,AgPh,AgPh,70,71,15,29.77353270848592,1.984902180565728
train,windows_nonoverlap,AgPh,AgPh,71,72,15,29.773532708485924,1.9849021805657283
train,windows_nonoverlap,AgPh,AgPh,72,73,15,31.446395079294838,2.096426338619656
train,windows_nonoverlap,AgPh,AgPh,73,74,15,31.44639507929484,2.096426338619656
train,windows_nonoverlap,AgPh,AgPh,74,75,15,31.446395079294838,2.096426338619656
train,windows_nonoverlap,AgPh,AgPh,75,76,15,28.564924081166584,1.9043282720777723
train,windows_nonoverlap,AgPh,AgPh,76,77,15,28.564924081166584,1.9043282720777723
train,windows_nonoverlap,AgPh,AgPh,77,78,15,28.564924081166584,1.9043282720777723
train,windows_nonoverlap,AgPh,AgPh,78,79,15,30.91047525405884,2.0606983502705893
train,windows_nonoverlap,AgPh,AgPh,79,80,15,30.910475254058838,2.0606983502705893
train,windows_nonoverlap,AgPh,AgPh,80,81,15,30.910475254058838,2.0606983502705893
train,windows_nonoverlap,AgPh,AgPh,81,82,14,27.962151209513348,1.997296514965239
train,windows_nonoverlap,AgPh,AgPh,82,83,14,27.962151209513344,1.9972965149652389
train,windows_nonoverlap,AgPh,AgPh,83,84,14,27.962151209513344,1.9972965149652389
train,windows_nonoverlap,AgPh,AgPh,84,85,14,28.066972414652504,2.0047837439037504
train,windows_nonoverlap,AgPh,AgPh,85,86,14,28.066972414652504,2.0047837439037504
train,windows_nonoverlap,AgPh,AgPh,86,87,14,28.066972414652504,2.0047837439037504
train,windows_nonoverlap,AgPh,AgPh,87,88,14,27.39116859436035,1.9565120424543108
train,windows_nonoverlap,AgPh,AgPh,88,89,14,27.39116859436035,1.9565120424543108
train,windows_nonoverlap,AgPh,AgPh,89,90,14,27.39116859436035,1.9565120424543108
train,windows_nonoverlap,AgPh,AgPh,90,91,14,28.485994656880695,2.0347139040629068
train,windows_nonoverlap,AgPh,AgPh,91,92,14,28.485994656880695,2.0347139040629068
train,windows_nonoverlap,AgPh,AgPh,92,93,14,28.4859946568807,2.034713904062907
train,windows_nonoverlap,AgPh,AgPh,93,94,14,27.263567606608074,1.947397686186291
train,windows_nonoverlap,AgPh,AgPh,94,95,14,27.26356760660807,1.9473976861862907
train,windows_nonoverlap,AgPh,AgPh,95,96,14,27.26356760660807,1.9473976861862907
train,windows_nonoverlap,AgPh,AgPh,96,97,14,27.724700133005776,1.9803357237861268
train,windows_nonoverlap,AgPh,AgPh,97,98,14,27.72470013300578,1.980335723786127
train,windows_nonoverlap,AgPh,AgPh,98,99,14,27.72470013300578,1.980335723786127
train,windows_nonoverlap,AgPh,AgPh,99,100,14,26.191877365112305,1.8708483832223075
train,windows_nonoverlap,AgPh,AgPh,100,101,14,26.191877365112305,1.8708483832223075
train,windows_nonoverlap,AgPh,AgPh,101,102,14,26.19187736511231,1.8708483832223077
train,windows_nonoverlap,AgPh,AgPh,102,103,14,28.623018582661945,2.044501327332996
train,windows_nonoverlap,AgPh,AgPh,103,104,14,28.623018582661945,2.044501327332996
train,windows_nonoverlap,AgPh,AgPh,104,105,14,28.623018582661945,2.044501327332996
train,windows_nonoverlap,AgPh,AgPh,105,106,14,27.633409818013508,1.973814987000965
train,windows_nonoverlap,AgPh,AgPh,106,107,14,27.633409818013508,1.973814987000965
train,windows_nonoverlap,AgPh,AgPh,107,108,14,27.63340981801351,1.9738149870009651
train,windows_nonoverlap,AgPh,AgPh,108,109,14,27.818857828776043,1.987061273484003
train,windows_nonoverlap,AgPh,AgPh,109,110,14,27.81885782877604,1.9870612734840027
train,windows_nonoverlap,AgPh,AgPh,110,111,14,27.818857828776043,1.987061273484003
train,windows_nonoverlap,AgPh,AgPh,111,112,14,27.912480036417644,1.9937485740298317
train,windows_nonoverlap,AgPh,AgPh,112,113,14,27.91248003641764,1.9937485740298315
train,windows_nonoverlap,AgPh,AgPh,113,114,14,27.91248003641764,1.9937485740298315
train,windows_nonoverlap,AgPh,AgPh,114,115,14,27.198125521341957,1.9427232515244255
train,windows_nonoverlap,AgPh,AgPh,115,116,14,27.19812552134196,1.9427232515244257
train,windows_nonoverlap,AgPh,AgPh,116,117,14,27.19812552134196,1.9427232515244257
train,windows_nonoverlap,AgPh,AgPh,117,118,14,26.49937836329142,1.8928127402351014
train,windows_nonoverlap,AgPh,AgPh,118,119,14,26.49937836329142,1.8928127402351014
train,windows_nonoverlap,AgPh,AgPh,119,120,14,26.499378363291424,1.8928127402351016
train,windows_nonoverlap,AgPh,AgPh,120,121,14,28.0603084564209,2.004307746887207
train,windows_nonoverlap,AgPh,AgPh,121,122,14,28.0603084564209,2.004307746887207
train,windows_nonoverlap,AgPh,AgPh,122,123,14,28.0603084564209,2.004307746887207
train,windows_nonoverlap,AgPh,AgPh,123,124,14,26.317169189453125,1.8797977992466517
train,windows_nonoverlap,AgPh,AgPh,124,125,14,26.317169189453125,1.8797977992466517
train,windows_nonoverlap,AgPh,AgPh,125,126,14,26.317169189453125,1.8797977992466517
train,windows_nonoverlap,AgPh,AgPh,126,127,14,26.476327498753868,1.8911662499109905
train,windows_nonoverlap,AgPh,AgPh,127,128,14,26.476327498753864,1.8911662499109902
train,windows_nonoverlap,AgPh,AgPh,128,129,14,26.476327498753864,1.8911662499109902
train,windows_nonoverlap,AgPh,AgPh,129,130,14,29.482279300689697,2.105877092906407
train,windows_nonoverlap,AgPh,AgPh,130,131,14,29.482279300689697,2.105877092906407
train,windows_nonoverlap,AgPh,AgPh,131,132,14,29.482279300689694,2.1058770929064066
train,windows_nonoverlap,AgPh,AgPh,132,133,14,28.757610479990642,2.054115034285046
train,windows_nonoverlap,AgPh,AgPh,133,134,14,28.757610479990642,2.054115034285046
train,windows_nonoverlap,AgPh,AgPh,134,135,14,28.757610479990642,2.054115034285046
train,windows_nonoverlap,AgPh,AgPh,135,136,14,28.08597675959269,2.0061411971137635
train,windows_nonoverlap,AgPh,AgPh,136,137,14,28.08597675959269,2.0061411971137635
train,windows_nonoverlap,AgPh,AgPh,137,138,14,28.08597675959269,2.0061411971137635
train,windows_nonoverlap,AgPh,AgPh,138,139,14,27.082619031270344,1.9344727879478818
train,windows_nonoverlap,AgPh,AgPh,139,140,14,27.082619031270344,1.9344727879478818
train,windows_nonoverlap,AgPh,AgPh,140,141,14,27.082619031270344,1.9344727879478818
train,windows_nonoverlap,AgPh,AgPh,141,142,14,28.754690011342365,2.0539064293815974
train,windows_nonoverlap,AgPh,AgPh,142,143,14,28.754690011342365,2.0539064293815974
train,windows_nonoverlap,AgPh,AgPh,143,144,14,28.754690011342365,2.0539064293815974
train,windows_nonoverlap,AgPh,AgPh,144,145,14,27.560455481211342,1.9686039629436674
train,windows_nonoverlap,AgPh,AgPh,145,146,14,27.560455481211342,1.9686039629436674
