split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,ScPo,ScPo,0,1,20,40.59522978464762,2.029761489232381
train,windows_nonoverlap,ScPo,ScPo,1,2,20,40.59522978464762,2.029761489232381
train,windows_nonoverlap,ScPo,ScPo,2,3,20,40.59522978464762,2.029761489232381
train,windows_nonoverlap,ScPo,ScPo,3,4,20,40.459417025248214,2.0229708512624107
train,windows_nonoverlap,ScPo,ScPo,4,5,20,40.45941702524821,2.0229708512624103
train,windows_nonoverlap,ScPo,ScPo,5,6,20,40.45941702524821,2.0229708512624103
train,windows_nonoverlap,ScPo,ScPo,6,7,20,42.72335879007976,2.136167939503988
train,windows_nonoverlap,ScPo,ScPo,7,8,20,42.72335879007975,2.1361679395039874
train,windows_nonoverlap,ScPo,ScPo,8,9,20,42.72335879007976,2.136167939503988
train,windows_nonoverlap,ScPo,ScPo,9,10,20,39.82080554962158,1.9910402774810791
train,windows_nonoverlap,ScPo,ScPo,10,11,20,39.82080554962158,1.9910402774810791
train,windows_nonoverlap,ScPo,ScPo,11,12,20,39.82080554962158,1.9910402774810791
train,windows_nonoverlap,ScPo,ScPo,12,13,20,39.147916316986084,1.957395815849304
train,windows_nonoverlap,ScPo,ScPo,13,14,20,39.147916316986084,1.957395815849304
train,windows_nonoverlap,ScPo,ScPo,14,15,20,39.147916316986084,1.957395815849304
train,windows_nonoverlap,ScPo,ScPo,15,16,20,40.744300842285156,2.0372150421142576
train,windows_nonoverlap,ScPo,ScPo,16,17,20,40.744300842285156,2.0372150421142576
train,windows_nonoverlap,ScPo,ScPo,17,18,20,40.744300842285156,2.0372150421142576
train,windows_nonoverlap,ScPo,ScPo,18,19,20,37.2271024386088,1.86135512193044
train,windows_nonoverlap,ScPo,ScPo,19,20,20,37.2271024386088,1.86135512193044
train,windows_nonoverlap,ScPo,ScPo,20,21,20,37.2271024386088,1.86135512193044
train,windows_nonoverlap,ScPo,ScPo,21,22,20,37.91216246287028,1.8956081231435138
train,windows_nonoverlap,ScPo,ScPo,22,23,20,37.91216246287028,1.8956081231435138
train,windows_nonoverlap,ScPo,ScPo,23,24,20,37.912162462870285,1.8956081231435142
train,windows_nonoverlap,ScPo,ScPo,24,25,20,40.82522662480672,2.041261331240336
train,windows_nonoverlap,ScPo,ScPo,25,26,20,40.82522662480672,2.041261331240336
train,windows_nonoverlap,ScPo,ScPo,26,27,20,40.825226624806724,2.041261331240336
train,windows_nonoverlap,ScPo,ScPo,27,28,20,39.112005074818924,1.9556002537409463
train,windows_nonoverlap,ScPo,ScPo,28,29,20,39.11200507481893,1.9556002537409465
train,windows_nonoverlap,ScPo,ScPo,29,30,20,39.11200507481893,1.9556002537409465
train,windows_nonoverlap,ScPo,ScPo,30,31,20,38.975777784983315,1.9487888892491658
train,windows_nonoverlap,ScPo,ScPo,31,32,20,38.97577778498331,1.9487888892491654
train,windows_nonoverlap,ScPo,ScPo,32,33,20,38.975777784983315,1.9487888892491658
train,windows_nonoverlap,ScPo,ScPo,33,34,20,39.667016665140785,1.9833508332570393
train,windows_nonoverlap,ScPo,ScPo,34,35,20,39.66701666514079,1.9833508332570395
train,windows_nonoverlap,ScPo,ScPo,35,36,20,39.667016665140785,1.9833508332570393
train,windows_nonoverlap,ScPo,ScPo,36,37,20,38.39983161290486,1.919991580645243
train,windows_nonoverlap,ScPo,ScPo,37,38,20,38.39983161290487,1.9199915806452434
train,windows_nonoverlap,ScPo,ScPo,38,39,20,38.39983161290487,1.9199915806452434
train,windows_nonoverlap,ScPo,ScPo,39,40,20,41.10946496327718,2.0554732481638593
train,windows_nonoverlap,ScPo,ScPo,40,41,20,41.10946496327718,2.0554732481638593
train,windows_nonoverlap,ScPo,ScPo,41,42,20,41.109464963277176,2.055473248163859
train,windows_nonoverlap,ScPo,ScPo,42,43,20,39.966599464416504,1.9983299732208253
train,windows_nonoverlap,ScPo,ScPo,43,44,20,39.966599464416504,1.9983299732208253
train,windows_nonoverlap,ScPo,ScPo,44,45,20,39.966599464416504,1.9983299732208253
