split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,BuEb,BuEb,0,1,4,8.648751258850098,2.1621878147125244
train,windows_nonoverlap,BuEb,BuEb,1,2,4,8.648751258850098,2.1621878147125244
train,windows_nonoverlap,BuEb,BuEb,2,3,4,8.648751258850098,2.1621878147125244
train,windows_nonoverlap,BuEb,BuEb,3,4,4,7.209503332773844,1.802375833193461
train,windows_nonoverlap,BuEb,BuEb,4,5,4,7.209503332773844,1.802375833193461
train,windows_nonoverlap,BuEb,BuEb,5,6,4,7.209503332773844,1.802375833193461
train,windows_nonoverlap,BuEb,BuEb,6,7,4,8.150350411732992,2.037587602933248
train,windows_nonoverlap,BuEb,BuEb,7,8,4,8.150350411732992,2.037587602933248
train,windows_nonoverlap,BuEb,BuEb,8,9,4,8.150350411732992,2.037587602933248
train,windows_nonoverlap,BuEb,BuEb,9,10,4,7.178746541341146,1.7946866353352866
train,windows_nonoverlap,BuEb,BuEb,10,11,4,7.178746541341146,1.7946866353352866
train,windows_nonoverlap,BuEb,BuEb,11,12,4,7.178746541341146,1.7946866353352866
train,windows_nonoverlap,BuEb,BuEb,12,13,4,7.742134253184001,1.9355335632960002
train,windows_nonoverlap,BuEb,BuEb,13,14,4,7.742134253184001,1.9355335632960002
train,windows_nonoverlap,BuEb,BuEb,14,15,4,7.742134253184001,1.9355335632960002
train,windows_nonoverlap,BuEb,BuEb,15,16,4,6.977320909500122,1.7443302273750305
train,windows_nonoverlap,BuEb,BuEb,16,17,4,6.977320909500122,1.7443302273750305
train,windows_nonoverlap,BuEb,BuEb,17,18,4,6.977320909500122,1.7443302273750305
train,windows_nonoverlap,BuEb,BuEb,18,19,4,7.9632720947265625,1.9908180236816406
train,windows_nonoverlap,BuEb,BuEb,19,20,4,7.9632720947265625,1.9908180236816406
train,windows_nonoverlap,BuEb,BuEb,20,21,4,7.963272094726563,1.9908180236816408
train,windows_nonoverlap,BuEb,BuEb,21,22,4,7.60327688852946,1.900819222132365
train,windows_nonoverlap,BuEb,BuEb,22,23,4,7.60327688852946,1.900819222132365
train,windows_nonoverlap,BuEb,BuEb,23,24,4,7.60327688852946,1.900819222132365
train,windows_nonoverlap,BuEb,BuEb,24,25,4,7.887667655944824,1.971916913986206
train,windows_nonoverlap,BuEb,BuEb,25,26,4,7.887667655944824,1.971916913986206
train,windows_nonoverlap,BuEb,BuEb,26,27,4,7.887667655944824,1.971916913986206
train,windows_nonoverlap,BuEb,BuEb,27,28,4,8.316476027170818,2.0791190067927046
train,windows_nonoverlap,BuEb,BuEb,28,29,4,8.316476027170818,2.0791190067927046
train,windows_nonoverlap,BuEb,BuEb,29,30,4,8.316476027170818,2.0791190067927046
train,windows_nonoverlap,BuEb,BuEb,30,31,4,8.29604403177897,2.0740110079447427
train,windows_nonoverlap,BuEb,BuEb,31,32,4,8.29604403177897,2.0740110079447427
train,windows_nonoverlap,BuEb,BuEb,32,33,4,8.29604403177897,2.0740110079447427
train,windows_nonoverlap,BuEb,BuEb,33,34,4,7.419711430867513,1.8549278577168782
train,windows_nonoverlap,BuEb,BuEb,34,35,4,7.419711430867513,1.8549278577168782
train,windows_nonoverlap,BuEb,BuEb,35,36,4,7.419711430867513,1.8549278577168782
train,windows_nonoverlap,BuEb,BuEb,36,37,4,8.534916083017986,2.1337290207544966
train,windows_nonoverlap,BuEb,BuEb,37,38,4,8.534916083017986,2.1337290207544966
train,windows_nonoverlap,BuEb,BuEb,38,39,4,8.534916083017986,2.1337290207544966
