split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,0,1,33,63.920893033345536,1.9369967585862284
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,1,2,33,63.92089303334554,1.9369967585862287
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,2,3,33,63.920893033345536,1.9369967585862284
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,3,4,33,61.964757124582924,1.8777199128661493
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,4,5,33,61.96475712458293,1.8777199128661495
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,5,6,33,61.96475712458293,1.8777199128661495
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,6,7,33,62.8797648747762,1.9054474204477636
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,7,8,33,62.87976487477621,1.9054474204477638
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,8,9,33,62.87976487477621,1.9054474204477638
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,9,10,33,62.549757480621345,1.895447196382465
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,10,11,33,62.54975748062134,1.8954471963824648
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,11,12,33,62.54975748062134,1.8954471963824648
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,12,13,33,57.683028876781464,1.7479705720236807
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,13,14,33,57.683028876781464,1.7479705720236807
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,14,15,33,57.683028876781464,1.7479705720236807
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,15,16,33,49.10170809427897,1.487930548311484
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,16,17,33,49.10170809427897,1.487930548311484
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,17,18,33,49.10170809427897,1.487930548311484
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,18,19,33,44.66455052793026,1.3534712281190988
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,19,20,33,44.66455052793025,1.3534712281190986
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,20,21,33,44.66455052793026,1.3534712281190988
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,21,22,33,41.23386757324139,1.2495111385830724
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,22,23,33,41.23386757324139,1.2495111385830724
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,23,24,33,41.23386757324139,1.2495111385830724
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,24,25,33,42.84493104120096,1.2983312436727563
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,25,26,33,42.84493104120096,1.2983312436727563
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,26,27,33,42.84493104120096,1.2983312436727563
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,27,28,33,40.94573479394118,1.2407798422406418
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,28,29,33,40.945734793941185,1.240779842240642
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,29,30,33,40.945734793941185,1.240779842240642
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,30,31,33,40.66429337859154,1.2322513145027738
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,31,32,33,40.66429337859154,1.2322513145027738
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,32,33,33,40.66429337859154,1.2322513145027738
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,33,34,33,44.69057034452756,1.354259707409926
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,34,35,33,44.69057034452756,1.354259707409926
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,35,36,33,44.690570344527565,1.3542597074099263
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,36,37,33,41.493034145484366,1.2573646710752837
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,37,38,33,41.493034145484366,1.2573646710752837
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,38,39,33,41.493034145484366,1.2573646710752837
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,39,40,33,46.1076640561223,1.3972019410946153
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,40,41,33,46.1076640561223,1.3972019410946153
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,41,42,33,46.1076640561223,1.3972019410946153
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,42,43,33,43.92755322903395,1.3311379766373923
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,43,44,33,43.92755322903395,1.3311379766373923
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,44,45,33,43.92755322903395,1.3311379766373923
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,45,46,33,43.739162005484104,1.3254291516813366
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,46,47,33,43.739162005484104,1.3254291516813366
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,47,48,33,43.739162005484104,1.3254291516813366
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,48,49,33,43.15856099625429,1.3078351817046754
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,49,50,33,43.15856099625428,1.3078351817046752
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,50,51,33,43.15856099625428,1.3078351817046752
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,51,52,33,44.805923476815224,1.3577552568731885
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,52,53,33,44.805923476815224,1.3577552568731885
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,53,54,33,44.805923476815224,1.3577552568731885
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,54,55,33,45.80807744463285,1.388123558928268
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,55,56,33,45.80807744463285,1.388123558928268
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,56,57,33,45.80807744463285,1.388123558928268
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,57,58,33,47.81433844814698,1.4489193469135448
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,58,59,33,47.814338448146984,1.448919346913545
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,59,60,33,47.81433844814698,1.4489193469135448
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,60,61,33,44.99960740158955,1.363624466714835
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,61,62,33,44.99960740158955,1.363624466714835
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,62,63,33,44.99960740158956,1.3636244667148352
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,63,64,33,46.13114193578561,1.3979133919935032
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,64,65,33,46.131141935785614,1.3979133919935034
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,65,66,33,46.131141935785614,1.3979133919935034
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,66,67,33,44.01755301157633,1.3338652427750404
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,67,68,33,44.01755301157633,1.3338652427750404
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,68,69,33,44.01755301157633,1.3338652427750404
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,69,70,33,51.00604549050331,1.545637742136464
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,70,71,33,51.00604549050331,1.545637742136464
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,71,72,33,51.00604549050331,1.545637742136464
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,72,73,33,51.708270701269306,1.5669172939778577
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,73,74,33,51.708270701269306,1.5669172939778577
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,74,75,33,51.70827070126931,1.566917293977858
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,75,76,33,43.81599607070287,1.3277574566879657
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,76,77,33,43.81599607070287,1.3277574566879657
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,77,78,33,43.815996070702866,1.3277574566879657
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,78,79,33,45.025805761416756,1.3644183564065684
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,79,80,33,45.02580576141675,1.3644183564065682
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,80,81,33,45.025805761416756,1.3644183564065684
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,81,82,33,50.670189432799816,1.5354602858424187
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,82,83,33,50.670189432799816,1.5354602858424187
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,83,84,33,50.670189432799816,1.5354602858424187
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,84,85,33,38.356054949263736,1.1623046954322345
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,85,86,33,38.35605494926373,1.1623046954322342
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,86,87,33,38.35605494926373,1.1623046954322342
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,87,88,33,42.810425122578934,1.2972856097751193
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,88,89,33,42.81042512257894,1.2972856097751195
train,windows_nonoverlap,bos_taurus,bos_taurus:nonchromosomal,89,90,33,42.810425122578934,1.2972856097751193
