split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,GaGa,GaGa,0,1,20,39.0829161008199,1.954145805040995
train,windows_nonoverlap,GaGa,GaGa,1,2,20,39.0829161008199,1.954145805040995
train,windows_nonoverlap,GaGa,GaGa,2,3,20,39.08291610081991,1.9541458050409954
train,windows_nonoverlap,GaGa,GaGa,3,4,20,39.08348528544108,1.9541742642720539
train,windows_nonoverlap,GaGa,GaGa,4,5,20,39.08348528544108,1.9541742642720539
train,windows_nonoverlap,GaGa,GaGa,5,6,20,39.08348528544108,1.9541742642720539
train,windows_nonoverlap,GaGa,GaGa,6,7,20,40.77875598271688,2.038937799135844
train,windows_nonoverlap,GaGa,GaGa,7,8,20,40.77875598271687,2.0389377991358435
train,windows_nonoverlap,GaGa,GaGa,8,9,20,40.77875598271687,2.0389377991358435
train,windows_nonoverlap,GaGa,GaGa,9,10,20,37.04339710871378,1.8521698554356891
train,windows_nonoverlap,GaGa,GaGa,10,11,20,37.04339710871378,1.8521698554356891
train,windows_nonoverlap,GaGa,GaGa,11,12,20,37.04339710871378,1.8521698554356891
train,windows_nonoverlap,GaGa,GaGa,12,13,20,39.585035165150956,1.9792517582575477
train,windows_nonoverlap,GaGa,GaGa,13,14,20,39.58503516515096,1.9792517582575482
train,windows_nonoverlap,GaGa,GaGa,14,15,20,39.58503516515096,1.9792517582575482
train,windows_nonoverlap,GaGa,GaGa,15,16,20,39.459797064463295,1.9729898532231647
train,windows_nonoverlap,GaGa,GaGa,16,17,20,39.459797064463295,1.9729898532231647
train,windows_nonoverlap,GaGa,GaGa,17,18,20,39.459797064463295,1.9729898532231647
train,windows_nonoverlap,GaGa,GaGa,18,19,20,39.81414143244425,1.9907070716222126
train,windows_nonoverlap,GaGa,GaGa,19,20,20,39.81414143244425,1.9907070716222126
train,windows_nonoverlap,GaGa,GaGa,20,21,20,39.81414143244426,1.990707071622213
train,windows_nonoverlap,GaGa,GaGa,21,22,20,36.9601674079895,1.8480083703994752
train,windows_nonoverlap,GaGa,GaGa,22,23,20,36.9601674079895,1.8480083703994752
train,windows_nonoverlap,GaGa,GaGa,23,24,20,36.9601674079895,1.8480083703994752
train,windows_nonoverlap,GaGa,GaGa,24,25,20,38.38619224230448,1.919309612115224
train,windows_nonoverlap,GaGa,GaGa,25,26,20,38.38619224230448,1.919309612115224
train,windows_nonoverlap,GaGa,GaGa,26,27,20,38.38619224230448,1.919309612115224
train,windows_nonoverlap,GaGa,GaGa,27,28,20,38.04126063982646,1.902063031991323
train,windows_nonoverlap,GaGa,GaGa,28,29,20,38.04126063982646,1.902063031991323
train,windows_nonoverlap,GaGa,GaGa,29,30,20,38.041260639826454,1.9020630319913228
train,windows_nonoverlap,GaGa,GaGa,30,31,20,36.86457979679108,1.8432289898395537
train,windows_nonoverlap,GaGa,GaGa,31,32,20,36.86457979679108,1.8432289898395537
train,windows_nonoverlap,GaGa,GaGa,32,33,20,36.86457979679108,1.8432289898395537
train,windows_nonoverlap,GaGa,GaGa,33,34,20,34.97563914457957,1.7487819572289784
train,windows_nonoverlap,GaGa,GaGa,34,35,20,34.97563914457957,1.7487819572289784
train,windows_nonoverlap,GaGa,GaGa,35,36,20,34.97563914457957,1.7487819572289784
train,windows_nonoverlap,GaGa,GaGa,36,37,20,36.203287839889526,1.8101643919944763
train,windows_nonoverlap,GaGa,GaGa,37,38,20,36.203287839889526,1.8101643919944763
train,windows_nonoverlap,GaGa,GaGa,38,39,20,36.203287839889526,1.8101643919944763
train,windows_nonoverlap,GaGa,GaGa,39,40,20,36.541682720184326,1.8270841360092163
train,windows_nonoverlap,GaGa,GaGa,40,41,20,36.541682720184326,1.8270841360092163
train,windows_nonoverlap,GaGa,GaGa,41,42,20,36.541682720184326,1.8270841360092163
train,windows_nonoverlap,GaGa,GaGa,42,43,20,36.605975891153015,1.8302987945576508
train,windows_nonoverlap,GaGa,GaGa,43,44,20,36.605975891153015,1.8302987945576508
train,windows_nonoverlap,GaGa,GaGa,44,45,20,36.605975891153015,1.8302987945576508
train,windows_nonoverlap,GaGa,GaGa,45,46,20,35.30648658672969,1.7653243293364844
train,windows_nonoverlap,GaGa,GaGa,46,47,20,35.30648658672969,1.7653243293364844
train,windows_nonoverlap,GaGa,GaGa,47,48,20,35.30648658672969,1.7653243293364844
train,windows_nonoverlap,GaGa,GaGa,48,49,20,34.56269978980223,1.7281349894901115
train,windows_nonoverlap,GaGa,GaGa,49,50,20,34.56269978980223,1.7281349894901115
train,windows_nonoverlap,GaGa,GaGa,50,51,20,34.56269978980223,1.7281349894901115
train,windows_nonoverlap,GaGa,GaGa,51,52,20,35.961563189824425,1.7980781594912212
train,windows_nonoverlap,GaGa,GaGa,52,53,20,35.961563189824425,1.7980781594912212
train,windows_nonoverlap,GaGa,GaGa,53,54,20,35.96156318982442,1.798078159491221
train,windows_nonoverlap,GaGa,GaGa,54,55,20,39.32988714178403,1.9664943570892013
train,windows_nonoverlap,GaGa,GaGa,55,56,20,39.32988714178403,1.9664943570892013
train,windows_nonoverlap,GaGa,GaGa,56,57,20,39.32988714178403,1.9664943570892013
train,windows_nonoverlap,GaGa,GaGa,57,58,20,38.124022483825684,1.9062011241912842
train,windows_nonoverlap,GaGa,GaGa,58,59,20,38.124022483825684,1.9062011241912842
train,windows_nonoverlap,GaGa,GaGa,59,60,20,38.124022483825684,1.9062011241912842
train,windows_nonoverlap,GaGa,GaGa,60,61,20,36.960795879364014,1.8480397939682007
train,windows_nonoverlap,GaGa,GaGa,61,62,20,36.960795879364014,1.8480397939682007
train,windows_nonoverlap,GaGa,GaGa,62,63,20,36.960795879364014,1.8480397939682007
train,windows_nonoverlap,GaGa,GaGa,63,64,20,34.935433238744736,1.7467716619372369
train,windows_nonoverlap,GaGa,GaGa,64,65,20,34.935433238744736,1.7467716619372369
train,windows_nonoverlap,GaGa,GaGa,65,66,20,34.935433238744736,1.7467716619372369
train,windows_nonoverlap,GaGa,GaGa,66,67,20,37.31618682543437,1.8658093412717185
train,windows_nonoverlap,GaGa,GaGa,67,68,20,37.31618682543437,1.8658093412717185
train,windows_nonoverlap,GaGa,GaGa,68,69,20,37.31618682543437,1.8658093412717185
train,windows_nonoverlap,GaGa,GaGa,69,70,20,37.67998035748799,1.8839990178743995
train,windows_nonoverlap,GaGa,GaGa,70,71,20,37.679980357488,1.8839990178744
train,windows_nonoverlap,GaGa,GaGa,71,72,20,37.67998035748799,1.8839990178743995
train,windows_nonoverlap,GaGa,GaGa,72,73,20,34.51391811172167,1.7256959055860837
train,windows_nonoverlap,GaGa,GaGa,73,74,20,34.51391811172167,1.7256959055860837
train,windows_nonoverlap,GaGa,GaGa,74,75,20,34.51391811172167,1.7256959055860837
