split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,HoSa,HoSa,0,1,20,39.28118165334066,1.964059082667033
train,windows_nonoverlap,HoSa,HoSa,1,2,20,39.28118165334065,1.9640590826670326
train,windows_nonoverlap,HoSa,HoSa,2,3,20,39.28118165334065,1.9640590826670326
train,windows_nonoverlap,HoSa,HoSa,3,4,20,40.50263563791911,2.0251317818959556
train,windows_nonoverlap,HoSa,HoSa,4,5,20,40.50263563791911,2.0251317818959556
train,windows_nonoverlap,HoSa,HoSa,5,6,20,40.502635637919106,2.025131781895955
train,windows_nonoverlap,HoSa,HoSa,6,7,20,38.72377999623616,1.936188999811808
train,windows_nonoverlap,HoSa,HoSa,7,8,20,38.72377999623616,1.936188999811808
train,windows_nonoverlap,HoSa,HoSa,8,9,20,38.72377999623616,1.936188999811808
train,windows_nonoverlap,HoSa,HoSa,9,10,20,34.5840056737264,1.72920028368632
train,windows_nonoverlap,HoSa,HoSa,10,11,20,34.5840056737264,1.72920028368632
train,windows_nonoverlap,HoSa,HoSa,11,12,20,34.584005673726395,1.7292002836863198
train,windows_nonoverlap,HoSa,HoSa,12,13,20,33.637067914009094,1.6818533957004547
train,windows_nonoverlap,HoSa,HoSa,13,14,20,33.637067914009094,1.6818533957004547
train,windows_nonoverlap,HoSa,HoSa,14,15,20,33.637067914009094,1.6818533957004547
train,windows_nonoverlap,HoSa,HoSa,15,16,20,32.402689357598625,1.6201344678799312
train,windows_nonoverlap,HoSa,HoSa,16,17,20,32.402689357598625,1.6201344678799312
train,windows_nonoverlap,HoSa,HoSa,17,18,20,32.402689357598625,1.6201344678799312
train,windows_nonoverlap,HoSa,HoSa,18,19,20,31.14060095945994,1.5570300479729968
train,windows_nonoverlap,HoSa,HoSa,19,20,20,31.140600959459942,1.557030047972997
train,windows_nonoverlap,HoSa,HoSa,20,21,20,31.14060095945994,1.5570300479729968
train,windows_nonoverlap,HoSa,HoSa,21,22,20,32.51919832825661,1.6259599164128304
train,windows_nonoverlap,HoSa,HoSa,22,23,20,32.51919832825661,1.6259599164128304
train,windows_nonoverlap,HoSa,HoSa,23,24,20,32.51919832825661,1.6259599164128304
train,windows_nonoverlap,HoSa,HoSa,24,25,20,26.382632307708263,1.3191316153854131
train,windows_nonoverlap,HoSa,HoSa,25,26,20,26.382632307708263,1.3191316153854131
train,windows_nonoverlap,HoSa,HoSa,26,27,20,26.382632307708263,1.3191316153854131
train,windows_nonoverlap,HoSa,HoSa,27,28,20,26.56580613553524,1.328290306776762
train,windows_nonoverlap,HoSa,HoSa,28,29,20,26.56580613553524,1.328290306776762
train,windows_nonoverlap,HoSa,HoSa,29,30,20,26.56580613553524,1.328290306776762
train,windows_nonoverlap,HoSa,HoSa,30,31,20,27.839811568458874,1.3919905784229436
train,windows_nonoverlap,HoSa,HoSa,31,32,20,27.839811568458874,1.3919905784229436
train,windows_nonoverlap,HoSa,HoSa,32,33,20,27.839811568458874,1.3919905784229436
