split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,YeMi,YeMi,0,1,15,31.4884238243103,2.0992282549540198
train,windows_nonoverlap,YeMi,YeMi,1,2,15,31.488423824310303,2.09922825495402
train,windows_nonoverlap,YeMi,YeMi,2,3,15,31.4884238243103,2.0992282549540198
train,windows_nonoverlap,YeMi,YeMi,3,4,15,28.66653029123942,1.9111020194159614
train,windows_nonoverlap,YeMi,YeMi,4,5,15,28.666530291239418,1.9111020194159611
train,windows_nonoverlap,YeMi,YeMi,5,6,15,28.66653029123942,1.9111020194159614
train,windows_nonoverlap,YeMi,YeMi,6,7,15,30.407538096110024,2.027169206407335
train,windows_nonoverlap,YeMi,YeMi,7,8,15,30.407538096110024,2.027169206407335
train,windows_nonoverlap,YeMi,YeMi,8,9,15,30.407538096110024,2.027169206407335
train,windows_nonoverlap,YeMi,YeMi,9,10,15,30.902403672536213,2.0601602448357474
train,windows_nonoverlap,YeMi,YeMi,10,11,15,30.902403672536213,2.0601602448357474
train,windows_nonoverlap,YeMi,YeMi,11,12,15,30.902403672536217,2.060160244835748
train,windows_nonoverlap,YeMi,YeMi,12,13,15,29.26994522412618,1.951329681608412
train,windows_nonoverlap,YeMi,YeMi,13,14,15,29.26994522412618,1.951329681608412
train,windows_nonoverlap,YeMi,YeMi,14,15,15,29.269945224126182,1.9513296816084122
train,windows_nonoverlap,YeMi,YeMi,15,16,15,28.69389009475708,1.9129260063171387
train,windows_nonoverlap,YeMi,YeMi,16,17,15,28.69389009475708,1.9129260063171387
train,windows_nonoverlap,YeMi,YeMi,17,18,15,28.69389009475708,1.9129260063171387
train,windows_nonoverlap,YeMi,YeMi,18,19,15,29.37774070103963,1.9585160467359755
train,windows_nonoverlap,YeMi,YeMi,19,20,15,29.377740701039635,1.9585160467359757
train,windows_nonoverlap,YeMi,YeMi,20,21,15,29.37774070103963,1.9585160467359755
train,windows_nonoverlap,YeMi,YeMi,21,22,15,28.50229589144389,1.9001530594295926
train,windows_nonoverlap,YeMi,YeMi,22,23,15,28.50229589144389,1.9001530594295926
train,windows_nonoverlap,YeMi,YeMi,23,24,15,28.50229589144389,1.9001530594295926
train,windows_nonoverlap,YeMi,YeMi,24,25,15,30.36282189687093,2.024188126458062
train,windows_nonoverlap,YeMi,YeMi,25,26,15,30.36282189687093,2.024188126458062
train,windows_nonoverlap,YeMi,YeMi,26,27,15,30.362821896870933,2.0241881264580623
train,windows_nonoverlap,YeMi,YeMi,27,28,15,28.59671465555827,1.9064476437038846
train,windows_nonoverlap,YeMi,YeMi,28,29,15,28.59671465555827,1.9064476437038846
train,windows_nonoverlap,YeMi,YeMi,29,30,15,28.596714655558266,1.9064476437038844
train,windows_nonoverlap,YeMi,YeMi,30,31,15,27.542271455128986,1.8361514303419324
train,windows_nonoverlap,YeMi,YeMi,31,32,15,27.542271455128986,1.8361514303419324
train,windows_nonoverlap,YeMi,YeMi,32,33,15,27.542271455128986,1.8361514303419324
train,windows_nonoverlap,YeMi,YeMi,33,34,15,29.07873090108236,1.9385820600721573
train,windows_nonoverlap,YeMi,YeMi,34,35,15,29.07873090108236,1.9385820600721573
train,windows_nonoverlap,YeMi,YeMi,35,36,15,29.07873090108236,1.9385820600721573
train,windows_nonoverlap,YeMi,YeMi,36,37,15,32.86200984319051,2.190800656212701
train,windows_nonoverlap,YeMi,YeMi,37,38,15,32.86200984319051,2.190800656212701
train,windows_nonoverlap,YeMi,YeMi,38,39,15,32.86200984319051,2.190800656212701
train,windows_nonoverlap,YeMi,YeMi,39,40,15,29.81661876042684,1.9877745840284562
train,windows_nonoverlap,YeMi,YeMi,40,41,15,29.81661876042684,1.9877745840284562
train,windows_nonoverlap,YeMi,YeMi,41,42,15,29.81661876042684,1.9877745840284562
train,windows_nonoverlap,YeMi,YeMi,42,43,15,31.373774210611977,2.0915849473741317
train,windows_nonoverlap,YeMi,YeMi,43,44,15,31.373774210611977,2.0915849473741317
train,windows_nonoverlap,YeMi,YeMi,44,45,15,31.37377421061198,2.091584947374132
train,windows_nonoverlap,YeMi,YeMi,45,46,15,26.029040972391766,1.7352693981594511
train,windows_nonoverlap,YeMi,YeMi,46,47,15,26.029040972391766,1.7352693981594511
train,windows_nonoverlap,YeMi,YeMi,47,48,15,26.029040972391766,1.7352693981594511
train,windows_nonoverlap,YeMi,YeMi,48,49,15,28.139659245808918,1.8759772830539279
train,windows_nonoverlap,YeMi,YeMi,49,50,15,28.13965924580892,1.875977283053928
train,windows_nonoverlap,YeMi,YeMi,50,51,15,28.13965924580892,1.875977283053928
train,windows_nonoverlap,YeMi,YeMi,51,52,15,30.05728610356649,2.0038190735710995
train,windows_nonoverlap,YeMi,YeMi,52,53,15,30.05728610356649,2.0038190735710995
train,windows_nonoverlap,YeMi,YeMi,53,54,15,30.057286103566486,2.003819073571099
train,windows_nonoverlap,YeMi,YeMi,54,55,15,25.513479312260948,1.7008986208173966
train,windows_nonoverlap,YeMi,YeMi,55,56,15,25.513479312260944,1.7008986208173964
train,windows_nonoverlap,YeMi,YeMi,56,57,15,25.513479312260948,1.7008986208173966
train,windows_nonoverlap,YeMi,YeMi,57,58,15,27.90624761581421,1.8604165077209474
train,windows_nonoverlap,YeMi,YeMi,58,59,15,27.90624761581421,1.8604165077209474
train,windows_nonoverlap,YeMi,YeMi,59,60,15,27.90624761581421,1.8604165077209474
train,windows_nonoverlap,YeMi,YeMi,60,61,15,28.86843689282735,1.9245624595218234
train,windows_nonoverlap,YeMi,YeMi,61,62,15,28.86843689282735,1.9245624595218234
train,windows_nonoverlap,YeMi,YeMi,62,63,15,28.86843689282735,1.9245624595218234
train,windows_nonoverlap,YeMi,YeMi,63,64,15,28.43448177973429,1.8956321186489526
train,windows_nonoverlap,YeMi,YeMi,64,65,15,28.43448177973429,1.8956321186489526
train,windows_nonoverlap,YeMi,YeMi,65,66,15,28.4344817797343,1.8956321186489533
train,windows_nonoverlap,YeMi,YeMi,66,67,15,26.52558477719625,1.76837231847975
train,windows_nonoverlap,YeMi,YeMi,67,68,15,26.52558477719625,1.76837231847975
train,windows_nonoverlap,YeMi,YeMi,68,69,15,26.525584777196247,1.7683723184797497
train,windows_nonoverlap,YeMi,YeMi,69,70,15,26.758570353190105,1.7839046902126736
train,windows_nonoverlap,YeMi,YeMi,70,71,15,26.758570353190105,1.7839046902126736
train,windows_nonoverlap,YeMi,YeMi,71,72,15,26.758570353190102,1.7839046902126734
train,windows_nonoverlap,YeMi,YeMi,72,73,15,27.379358291625977,1.8252905527750651
train,windows_nonoverlap,YeMi,YeMi,73,74,15,27.379358291625977,1.8252905527750651
train,windows_nonoverlap,YeMi,YeMi,74,75,15,27.379358291625977,1.8252905527750651
train,windows_nonoverlap,YeMi,YeMi,75,76,15,27.873091300328575,1.8582060866885717
train,windows_nonoverlap,YeMi,YeMi,76,77,15,27.873091300328575,1.8582060866885717
train,windows_nonoverlap,YeMi,YeMi,77,78,15,27.873091300328575,1.8582060866885717
train,windows_nonoverlap,YeMi,YeMi,78,79,15,26.523096481959026,1.7682064321306017
train,windows_nonoverlap,YeMi,YeMi,79,80,15,26.523096481959026,1.7682064321306017
train,windows_nonoverlap,YeMi,YeMi,80,81,15,26.523096481959023,1.7682064321306015
train,windows_nonoverlap,YeMi,YeMi,81,82,15,27.281124671300255,1.8187416447533502
train,windows_nonoverlap,YeMi,YeMi,82,83,15,27.28112467130025,1.81874164475335
train,windows_nonoverlap,YeMi,YeMi,83,84,15,27.281124671300255,1.8187416447533502
train,windows_nonoverlap,YeMi,YeMi,84,85,15,27.33252358436585,1.8221682389577232
train,windows_nonoverlap,YeMi,YeMi,85,86,15,27.332523584365845,1.822168238957723
train,windows_nonoverlap,YeMi,YeMi,86,87,15,27.332523584365845,1.822168238957723
train,windows_nonoverlap,YeMi,YeMi,87,88,15,30.758045355478924,2.050536357031928
train,windows_nonoverlap,YeMi,YeMi,88,89,15,30.75804535547892,2.050536357031928
train,windows_nonoverlap,YeMi,YeMi,89,90,15,30.758045355478924,2.050536357031928
train,windows_nonoverlap,YeMi,YeMi,90,91,15,28.173324584960938,1.8782216389973958
train,windows_nonoverlap,YeMi,YeMi,91,92,15,28.173324584960938,1.8782216389973958
train,windows_nonoverlap,YeMi,YeMi,92,93,15,28.17332458496094,1.878221638997396
train,windows_nonoverlap,YeMi,YeMi,93,94,15,29.04593070348104,1.9363953802320695
train,windows_nonoverlap,YeMi,YeMi,94,95,15,29.045930703481037,1.9363953802320693
train,windows_nonoverlap,YeMi,YeMi,95,96,15,29.045930703481037,1.9363953802320693
train,windows_nonoverlap,YeMi,YeMi,96,97,15,28.208434899648033,1.880562326643202
train,windows_nonoverlap,YeMi,YeMi,97,98,15,28.20843489964803,1.8805623266432019
train,windows_nonoverlap,YeMi,YeMi,98,99,15,28.20843489964803,1.8805623266432019
train,windows_nonoverlap,YeMi,YeMi,99,100,15,27.30826465288798,1.8205509768591988
train,windows_nonoverlap,YeMi,YeMi,100,101,15,27.308264652887978,1.8205509768591985
train,windows_nonoverlap,YeMi,YeMi,101,102,15,27.30826465288798,1.8205509768591988
train,windows_nonoverlap,YeMi,YeMi,102,103,15,26.717361370722454,1.7811574247148303
train,windows_nonoverlap,YeMi,YeMi,103,104,15,26.717361370722454,1.7811574247148303
train,windows_nonoverlap,YeMi,YeMi,104,105,15,26.71736137072245,1.78115742471483
train,windows_nonoverlap,YeMi,YeMi,105,106,15,27.110697031021118,1.8073798020680745
train,windows_nonoverlap,YeMi,YeMi,106,107,15,27.110697031021118,1.8073798020680745
train,windows_nonoverlap,YeMi,YeMi,107,108,15,27.110697031021118,1.8073798020680745
train,windows_nonoverlap,YeMi,YeMi,108,109,15,27.77306381861369,1.8515375879075793
train,windows_nonoverlap,YeMi,YeMi,109,110,15,27.773063818613686,1.851537587907579
train,windows_nonoverlap,YeMi,YeMi,110,111,15,27.773063818613686,1.851537587907579
train,windows_nonoverlap,YeMi,YeMi,111,112,15,27.66818404197693,1.844545602798462
train,windows_nonoverlap,YeMi,YeMi,112,113,15,27.668184041976925,1.8445456027984617
train,windows_nonoverlap,YeMi,YeMi,113,114,15,27.66818404197693,1.844545602798462
