split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,AeCa,AeCa,0,1,20,43.12836869557699,2.1564184347788493
train,windows_nonoverlap,AeCa,AeCa,1,2,20,43.12836869557698,2.156418434778849
train,windows_nonoverlap,AeCa,AeCa,2,3,20,43.12836869557698,2.156418434778849
train,windows_nonoverlap,AeCa,AeCa,3,4,20,40.776626110076904,2.0388313055038454
train,windows_nonoverlap,AeCa,AeCa,4,5,20,40.776626110076904,2.0388313055038454
train,windows_nonoverlap,AeCa,AeCa,5,6,20,40.776626110076904,2.0388313055038454
train,windows_nonoverlap,AeCa,AeCa,6,7,20,41.42723766962688,2.0713618834813436
train,windows_nonoverlap,AeCa,AeCa,7,8,20,41.42723766962687,2.0713618834813436
train,windows_nonoverlap,AeCa,AeCa,8,9,20,41.42723766962688,2.0713618834813436
train,windows_nonoverlap,AeCa,AeCa,9,10,20,39.506429990132645,1.9753214995066322
train,windows_nonoverlap,AeCa,AeCa,10,11,20,39.506429990132645,1.9753214995066322
train,windows_nonoverlap,AeCa,AeCa,11,12,20,39.50642999013265,1.9753214995066326
train,windows_nonoverlap,AeCa,AeCa,12,13,20,41.80448611577352,2.0902243057886762
train,windows_nonoverlap,AeCa,AeCa,13,14,20,41.80448611577352,2.0902243057886762
train,windows_nonoverlap,AeCa,AeCa,14,15,20,41.80448611577352,2.0902243057886762
train,windows_nonoverlap,AeCa,AeCa,15,16,20,41.63975429534912,2.081987714767456
train,windows_nonoverlap,AeCa,AeCa,16,17,20,41.63975429534912,2.081987714767456
train,windows_nonoverlap,AeCa,AeCa,17,18,20,41.63975429534912,2.081987714767456
train,windows_nonoverlap,AeCa,AeCa,18,19,20,42.70278549194336,2.135139274597168
train,windows_nonoverlap,AeCa,AeCa,19,20,20,42.70278549194336,2.135139274597168
train,windows_nonoverlap,AeCa,AeCa,20,21,20,42.70278549194336,2.135139274597168
train,windows_nonoverlap,AeCa,AeCa,21,22,20,42.19412930806478,2.109706465403239
train,windows_nonoverlap,AeCa,AeCa,22,23,20,42.19412930806478,2.109706465403239
train,windows_nonoverlap,AeCa,AeCa,23,24,20,42.194129308064774,2.1097064654032387
train,windows_nonoverlap,AeCa,AeCa,24,25,20,41.718318462371826,2.0859159231185913
train,windows_nonoverlap,AeCa,AeCa,25,26,20,41.718318462371826,2.0859159231185913
train,windows_nonoverlap,AeCa,AeCa,26,27,20,41.718318462371826,2.0859159231185913
train,windows_nonoverlap,AeCa,AeCa,27,28,20,42.807072480519615,2.140353624025981
train,windows_nonoverlap,AeCa,AeCa,28,29,20,42.80707248051961,2.1403536240259804
train,windows_nonoverlap,AeCa,AeCa,29,30,20,42.807072480519615,2.140353624025981
train,windows_nonoverlap,AeCa,AeCa,30,31,20,37.90837256113688,1.895418628056844
train,windows_nonoverlap,AeCa,AeCa,31,32,20,37.908372561136886,1.8954186280568444
train,windows_nonoverlap,AeCa,AeCa,32,33,20,37.90837256113688,1.895418628056844
train,windows_nonoverlap,AeCa,AeCa,33,34,20,39.629086653391525,1.9814543326695762
train,windows_nonoverlap,AeCa,AeCa,34,35,20,39.629086653391525,1.9814543326695762
train,windows_nonoverlap,AeCa,AeCa,35,36,20,39.62908665339152,1.981454332669576
train,windows_nonoverlap,AeCa,AeCa,36,37,20,40.59315490722656,2.029657745361328
train,windows_nonoverlap,AeCa,AeCa,37,38,20,40.59315490722656,2.029657745361328
train,windows_nonoverlap,AeCa,AeCa,38,39,20,40.59315490722656,2.029657745361328
train,windows_nonoverlap,AeCa,AeCa,39,40,20,39.38396120071411,1.9691980600357055
train,windows_nonoverlap,AeCa,AeCa,40,41,20,39.38396120071411,1.9691980600357055
train,windows_nonoverlap,AeCa,AeCa,41,42,20,39.38396120071411,1.9691980600357055
train,windows_nonoverlap,AeCa,AeCa,42,43,20,38.54734150568644,1.927367075284322
train,windows_nonoverlap,AeCa,AeCa,43,44,20,38.54734150568645,1.9273670752843224
train,windows_nonoverlap,AeCa,AeCa,44,45,20,38.54734150568644,1.927367075284322
train,windows_nonoverlap,AeCa,AeCa,45,46,20,40.75495211283366,2.037747605641683
train,windows_nonoverlap,AeCa,AeCa,46,47,20,40.754952112833664,2.037747605641683
train,windows_nonoverlap,AeCa,AeCa,47,48,20,40.75495211283366,2.037747605641683
train,windows_nonoverlap,AeCa,AeCa,48,49,20,43.332947095235184,2.1666473547617593
train,windows_nonoverlap,AeCa,AeCa,49,50,20,43.33294709523519,2.1666473547617597
train,windows_nonoverlap,AeCa,AeCa,50,51,20,43.332947095235184,2.1666473547617593
train,windows_nonoverlap,AeCa,AeCa,51,52,20,39.46173079808553,1.9730865399042767
train,windows_nonoverlap,AeCa,AeCa,52,53,20,39.46173079808553,1.9730865399042767
train,windows_nonoverlap,AeCa,AeCa,53,54,20,39.46173079808553,1.9730865399042767
train,windows_nonoverlap,AeCa,AeCa,54,55,20,40.77494525909424,2.038747262954712
train,windows_nonoverlap,AeCa,AeCa,55,56,20,40.77494525909424,2.038747262954712
train,windows_nonoverlap,AeCa,AeCa,56,57,20,40.77494525909424,2.038747262954712
train,windows_nonoverlap,AeCa,AeCa,57,58,20,39.5431604385376,1.9771580219268798
train,windows_nonoverlap,AeCa,AeCa,58,59,20,39.5431604385376,1.9771580219268798
train,windows_nonoverlap,AeCa,AeCa,59,60,20,39.5431604385376,1.9771580219268798
train,windows_nonoverlap,AeCa,AeCa,60,61,20,39.83950503667196,1.991975251833598
train,windows_nonoverlap,AeCa,AeCa,61,62,20,39.83950503667196,1.991975251833598
train,windows_nonoverlap,AeCa,AeCa,62,63,20,39.83950503667195,1.9919752518335976
train,windows_nonoverlap,AeCa,AeCa,63,64,20,39.003485997517906,1.9501742998758953
train,windows_nonoverlap,AeCa,AeCa,64,65,20,39.003485997517906,1.9501742998758953
train,windows_nonoverlap,AeCa,AeCa,65,66,20,39.003485997517906,1.9501742998758953
train,windows_nonoverlap,AeCa,AeCa,66,67,20,41.8620924949646,2.09310462474823
train,windows_nonoverlap,AeCa,AeCa,67,68,20,41.8620924949646,2.09310462474823
train,windows_nonoverlap,AeCa,AeCa,68,69,20,41.8620924949646,2.09310462474823
train,windows_nonoverlap,AeCa,AeCa,69,70,20,37.94241841634115,1.8971209208170574
train,windows_nonoverlap,AeCa,AeCa,70,71,20,37.94241841634115,1.8971209208170574
train,windows_nonoverlap,AeCa,AeCa,71,72,20,37.94241841634115,1.8971209208170574
train,windows_nonoverlap,AeCa,AeCa,72,73,20,41.11622460683187,2.0558112303415936
train,windows_nonoverlap,AeCa,AeCa,73,74,20,41.11622460683187,2.0558112303415936
train,windows_nonoverlap,AeCa,AeCa,74,75,20,41.116224606831864,2.055811230341593
train,windows_nonoverlap,AeCa,AeCa,75,76,20,39.8115185101827,1.990575925509135
train,windows_nonoverlap,AeCa,AeCa,76,77,20,39.8115185101827,1.990575925509135
train,windows_nonoverlap,AeCa,AeCa,77,78,20,39.8115185101827,1.990575925509135
train,windows_nonoverlap,AeCa,AeCa,78,79,20,39.322046756744385,1.9661023378372193
train,windows_nonoverlap,AeCa,AeCa,79,80,20,39.322046756744385,1.9661023378372193
train,windows_nonoverlap,AeCa,AeCa,80,81,20,39.322046756744385,1.9661023378372193
train,windows_nonoverlap,AeCa,AeCa,81,82,20,40.47514009475708,2.023757004737854
train,windows_nonoverlap,AeCa,AeCa,82,83,20,40.47514009475708,2.023757004737854
train,windows_nonoverlap,AeCa,AeCa,83,84,20,40.47514009475708,2.023757004737854
train,windows_nonoverlap,AeCa,AeCa,84,85,20,40.63664642969768,2.0318323214848837
train,windows_nonoverlap,AeCa,AeCa,85,86,20,40.63664642969768,2.0318323214848837
train,windows_nonoverlap,AeCa,AeCa,86,87,20,40.63664642969767,2.0318323214848837
train,windows_nonoverlap,AeCa,AeCa,87,88,20,38.63779592514038,1.931889796257019
train,windows_nonoverlap,AeCa,AeCa,88,89,20,38.63779592514038,1.931889796257019
train,windows_nonoverlap,AeCa,AeCa,89,90,20,38.63779592514038,1.931889796257019
train,windows_nonoverlap,AeCa,AeCa,90,91,20,40.338411808013916,2.0169205904006957
train,windows_nonoverlap,AeCa,AeCa,91,92,20,40.338411808013916,2.0169205904006957
train,windows_nonoverlap,AeCa,AeCa,92,93,20,40.338411808013916,2.0169205904006957
train,windows_nonoverlap,AeCa,AeCa,93,94,20,40.28013515472412,2.014006757736206
train,windows_nonoverlap,AeCa,AeCa,94,95,20,40.28013515472412,2.014006757736206
train,windows_nonoverlap,AeCa,AeCa,95,96,20,40.28013515472412,2.014006757736206
train,windows_nonoverlap,AeCa,AeCa,96,97,20,43.6697514851888,2.18348757425944
train,windows_nonoverlap,AeCa,AeCa,97,98,20,43.6697514851888,2.18348757425944
train,windows_nonoverlap,AeCa,AeCa,98,99,20,43.669751485188804,2.1834875742594404
train,windows_nonoverlap,AeCa,AeCa,99,100,20,39.558863162994385,1.9779431581497193
train,windows_nonoverlap,AeCa,AeCa,100,101,20,39.558863162994385,1.9779431581497193
train,windows_nonoverlap,AeCa,AeCa,101,102,20,39.558863162994385,1.9779431581497193
train,windows_nonoverlap,AeCa,AeCa,102,103,20,41.926068147023514,2.0963034073511757
train,windows_nonoverlap,AeCa,AeCa,103,104,20,41.92606814702352,2.096303407351176
train,windows_nonoverlap,AeCa,AeCa,104,105,20,41.92606814702352,2.096303407351176
train,windows_nonoverlap,AeCa,AeCa,105,106,20,40.34908938407898,2.017454469203949
train,windows_nonoverlap,AeCa,AeCa,106,107,20,40.34908938407898,2.017454469203949
train,windows_nonoverlap,AeCa,AeCa,107,108,20,40.34908938407898,2.017454469203949
train,windows_nonoverlap,AeCa,AeCa,108,109,20,40.211299419403076,2.0105649709701536
train,windows_nonoverlap,AeCa,AeCa,109,110,20,40.211299419403076,2.0105649709701536
train,windows_nonoverlap,AeCa,AeCa,110,111,20,40.211299419403076,2.0105649709701536
train,windows_nonoverlap,AeCa,AeCa,111,112,20,38.99906905492147,1.9499534527460736
train,windows_nonoverlap,AeCa,AeCa,112,113,20,38.99906905492147,1.9499534527460736
train,windows_nonoverlap,AeCa,AeCa,113,114,20,38.99906905492147,1.9499534527460736
train,windows_nonoverlap,AeCa,AeCa,114,115,20,42.07524069150289,2.1037620345751447
train,windows_nonoverlap,AeCa,AeCa,115,116,20,42.07524069150289,2.1037620345751447
train,windows_nonoverlap,AeCa,AeCa,116,117,20,42.07524069150289,2.1037620345751447
train,windows_nonoverlap,AeCa,AeCa,117,118,20,38.897312005360924,1.9448656002680462
train,windows_nonoverlap,AeCa,AeCa,118,119,20,38.897312005360924,1.9448656002680462
train,windows_nonoverlap,AeCa,AeCa,119,120,20,38.89731200536092,1.9448656002680458
train,windows_nonoverlap,AeCa,AeCa,120,121,20,39.66169532140096,1.9830847660700481
train,windows_nonoverlap,AeCa,AeCa,121,122,20,39.66169532140096,1.9830847660700481
train,windows_nonoverlap,AeCa,AeCa,122,123,20,39.66169532140096,1.9830847660700481
train,windows_nonoverlap,AeCa,AeCa,123,124,20,38.10767428080241,1.9053837140401204
train,windows_nonoverlap,AeCa,AeCa,124,125,20,38.10767428080241,1.9053837140401204
train,windows_nonoverlap,AeCa,AeCa,125,126,20,38.10767428080241,1.9053837140401204
train,windows_nonoverlap,AeCa,AeCa,126,127,20,39.414048194885254,1.9707024097442627
train,windows_nonoverlap,AeCa,AeCa,127,128,20,39.414048194885254,1.9707024097442627
train,windows_nonoverlap,AeCa,AeCa,128,129,20,39.414048194885254,1.9707024097442627
train,windows_nonoverlap,AeCa,AeCa,129,130,20,39.28025690714519,1.9640128453572594
train,windows_nonoverlap,AeCa,AeCa,130,131,20,39.28025690714519,1.9640128453572594
train,windows_nonoverlap,AeCa,AeCa,131,132,20,39.28025690714519,1.9640128453572594
train,windows_nonoverlap,AeCa,AeCa,132,133,20,39.35254526138306,1.967627263069153
train,windows_nonoverlap,AeCa,AeCa,133,134,20,39.35254526138306,1.967627263069153
train,windows_nonoverlap,AeCa,AeCa,134,135,20,39.35254526138306,1.967627263069153
train,windows_nonoverlap,AeCa,AeCa,135,136,20,37.86173907915751,1.8930869539578754
train,windows_nonoverlap,AeCa,AeCa,136,137,20,37.86173907915751,1.8930869539578754
train,windows_nonoverlap,AeCa,AeCa,137,138,20,37.86173907915751,1.8930869539578754
train,windows_nonoverlap,AeCa,AeCa,138,139,20,39.67470979690552,1.983735489845276
train,windows_nonoverlap,AeCa,AeCa,139,140,20,39.67470979690552,1.983735489845276
train,windows_nonoverlap,AeCa,AeCa,140,141,20,39.67470979690552,1.983735489845276
train,windows_nonoverlap,AeCa,AeCa,141,142,20,41.608358542124435,2.0804179271062218
train,windows_nonoverlap,AeCa,AeCa,142,143,20,41.608358542124435,2.0804179271062218
train,windows_nonoverlap,AeCa,AeCa,143,144,20,41.60835854212443,2.0804179271062213
train,windows_nonoverlap,AeCa,AeCa,144,145,20,40.031762043635055,2.0015881021817528
train,windows_nonoverlap,AeCa,AeCa,145,146,20,40.031762043635055,2.0015881021817528
train,windows_nonoverlap,AeCa,AeCa,146,147,20,40.031762043635055,2.0015881021817528
train,windows_nonoverlap,AeCa,AeCa,147,148,20,37.66419204076131,1.8832096020380653
train,windows_nonoverlap,AeCa,AeCa,148,149,20,37.66419204076131,1.8832096020380653
train,windows_nonoverlap,AeCa,AeCa,149,150,20,37.664192040761314,1.8832096020380658
train,windows_nonoverlap,AeCa,AeCa,150,151,20,40.0519692103068,2.00259846051534
train,windows_nonoverlap,AeCa,AeCa,151,152,20,40.0519692103068,2.00259846051534
train,windows_nonoverlap,AeCa,AeCa,152,153,20,40.0519692103068,2.00259846051534
train,windows_nonoverlap,AeCa,AeCa,153,154,20,40.86908531188965,2.0434542655944825
train,windows_nonoverlap,AeCa,AeCa,154,155,20,40.86908531188965,2.0434542655944825
train,windows_nonoverlap,AeCa,AeCa,155,156,20,40.86908531188965,2.0434542655944825
train,windows_nonoverlap,AeCa,AeCa,156,157,20,40.07029406229655,2.0035147031148273
train,windows_nonoverlap,AeCa,AeCa,157,158,20,40.07029406229655,2.0035147031148273
