split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,0,1,33,62.718647956848145,1.900565089601459
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,1,2,33,62.718647956848145,1.900565089601459
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,2,3,33,62.718647956848145,1.900565089601459
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,3,4,33,25.404091538730427,0.7698209557191038
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,4,5,33,25.404091538730427,0.7698209557191038
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,5,6,33,25.404091538730427,0.7698209557191038
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,6,7,33,24.570660297060385,0.7445654635472844
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,7,8,33,24.570660297060385,0.7445654635472844
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,8,9,33,24.570660297060385,0.7445654635472844
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,9,10,33,22.850304321652704,0.6924334642925062
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,10,11,33,22.850304321652704,0.6924334642925062
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,11,12,33,22.850304321652704,0.6924334642925062
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,12,13,33,24.263877644533444,0.7352690195313165
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,13,14,33,24.263877644533448,0.7352690195313166
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,14,15,33,24.263877644533448,0.7352690195313166
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,15,16,33,25.4297034003151,0.7705970727368212
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,16,17,33,25.429703400315095,0.7705970727368211
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,17,18,33,25.429703400315095,0.7705970727368211
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,18,19,33,24.77294128937259,0.7506951905870481
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,19,20,33,24.77294128937259,0.7506951905870481
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,20,21,33,24.772941289372586,0.750695190587048
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,21,22,33,24.235851882316638,0.7344197540095951
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,22,23,33,24.235851882316638,0.7344197540095951
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,23,24,33,24.235851882316638,0.7344197540095951
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,24,25,33,23.481385494378628,0.7115571361932918
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,25,26,33,23.481385494378628,0.7115571361932918
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,26,27,33,23.481385494378628,0.7115571361932918
train,windows_nonoverlap,homo_sapiens,homo_sapiens:X,27,28,33,21.05804453145538,0.638122561559254
