split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,DrMe,DrMe,0,1,20,38.91208569208781,1.9456042846043904
train,windows_nonoverlap,DrMe,DrMe,1,2,20,38.91208569208781,1.9456042846043904
train,windows_nonoverlap,DrMe,DrMe,2,3,20,38.91208569208781,1.9456042846043904
train,windows_nonoverlap,DrMe,DrMe,3,4,20,41.44953648249308,2.072476824124654
train,windows_nonoverlap,DrMe,DrMe,4,5,20,41.44953648249309,2.0724768241246543
train,windows_nonoverlap,DrMe,DrMe,5,6,20,41.44953648249308,2.072476824124654
train,windows_nonoverlap,DrMe,DrMe,6,7,20,38.63630485534668,1.931815242767334
train,windows_nonoverlap,DrMe,DrMe,7,8,20,38.63630485534668,1.931815242767334
train,windows_nonoverlap,DrMe,DrMe,8,9,20,38.63630485534668,1.931815242767334
train,windows_nonoverlap,DrMe,DrMe,9,10,20,38.15037965774536,1.907518982887268
train,windows_nonoverlap,DrMe,DrMe,10,11,20,38.15037965774536,1.907518982887268
train,windows_nonoverlap,DrMe,DrMe,11,12,20,38.15037965774536,1.907518982887268
train,windows_nonoverlap,DrMe,DrMe,12,13,20,39.72602287928264,1.9863011439641318
train,windows_nonoverlap,DrMe,DrMe,13,14,20,39.72602287928264,1.9863011439641318
train,windows_nonoverlap,DrMe,DrMe,14,15,20,39.72602287928263,1.9863011439641316
train,windows_nonoverlap,DrMe,DrMe,15,16,20,39.00408701101939,1.9502043505509694
train,windows_nonoverlap,DrMe,DrMe,16,17,20,39.004087011019394,1.9502043505509696
train,windows_nonoverlap,DrMe,DrMe,17,18,20,39.004087011019394,1.9502043505509696
train,windows_nonoverlap,DrMe,DrMe,18,19,20,38.320135513941445,1.9160067756970722
train,windows_nonoverlap,DrMe,DrMe,19,20,20,38.32013551394145,1.9160067756970727
train,windows_nonoverlap,DrMe,DrMe,20,21,20,38.320135513941445,1.9160067756970722
train,windows_nonoverlap,DrMe,DrMe,21,22,20,36.93410148223241,1.8467050741116204
train,windows_nonoverlap,DrMe,DrMe,22,23,20,36.934101482232414,1.8467050741116207
train,windows_nonoverlap,DrMe,DrMe,23,24,20,36.934101482232414,1.8467050741116207
train,windows_nonoverlap,DrMe,DrMe,24,25,20,38.539864579836525,1.9269932289918263
train,windows_nonoverlap,DrMe,DrMe,25,26,20,38.53986457983653,1.9269932289918266
train,windows_nonoverlap,DrMe,DrMe,26,27,20,38.53986457983653,1.9269932289918266
train,windows_nonoverlap,DrMe,DrMe,27,28,20,42.59626579284668,2.129813289642334
train,windows_nonoverlap,DrMe,DrMe,28,29,20,42.59626579284668,2.129813289642334
train,windows_nonoverlap,DrMe,DrMe,29,30,20,42.59626579284668,2.129813289642334
train,windows_nonoverlap,DrMe,DrMe,30,31,20,37.711203734079994,1.8855601867039997
train,windows_nonoverlap,DrMe,DrMe,31,32,20,37.71120373408,1.8855601867040002
train,windows_nonoverlap,DrMe,DrMe,32,33,20,37.711203734079994,1.8855601867039997
train,windows_nonoverlap,DrMe,DrMe,33,34,20,41.66151682535807,2.0830758412679033
train,windows_nonoverlap,DrMe,DrMe,34,35,20,41.66151682535807,2.0830758412679033
train,windows_nonoverlap,DrMe,DrMe,35,36,20,41.66151682535807,2.0830758412679033
train,windows_nonoverlap,DrMe,DrMe,36,37,20,38.54626973470052,1.9273134867350261
train,windows_nonoverlap,DrMe,DrMe,37,38,20,38.54626973470052,1.9273134867350261
train,windows_nonoverlap,DrMe,DrMe,38,39,20,38.54626973470052,1.9273134867350261
train,windows_nonoverlap,DrMe,DrMe,39,40,20,38.993159532547,1.9496579766273499
train,windows_nonoverlap,DrMe,DrMe,40,41,20,38.993159532547,1.9496579766273499
train,windows_nonoverlap,DrMe,DrMe,41,42,20,38.993159532547,1.9496579766273499
train,windows_nonoverlap,DrMe,DrMe,42,43,20,37.72536714871725,1.8862683574358623
train,windows_nonoverlap,DrMe,DrMe,43,44,20,37.72536714871724,1.886268357435862
train,windows_nonoverlap,DrMe,DrMe,44,45,20,37.72536714871724,1.886268357435862
train,windows_nonoverlap,DrMe,DrMe,45,46,20,41.028371810913086,2.051418590545654
train,windows_nonoverlap,DrMe,DrMe,46,47,20,41.028371810913086,2.051418590545654
train,windows_nonoverlap,DrMe,DrMe,47,48,20,41.028371810913086,2.051418590545654
train,windows_nonoverlap,DrMe,DrMe,48,49,20,38.319016774495445,1.9159508387247723
train,windows_nonoverlap,DrMe,DrMe,49,50,20,38.31901677449544,1.915950838724772
train,windows_nonoverlap,DrMe,DrMe,50,51,20,38.31901677449544,1.915950838724772
train,windows_nonoverlap,DrMe,DrMe,51,52,20,38.27281928062439,1.9136409640312195
train,windows_nonoverlap,DrMe,DrMe,52,53,20,38.27281928062439,1.9136409640312195
train,windows_nonoverlap,DrMe,DrMe,53,54,20,38.27281928062439,1.9136409640312195
train,windows_nonoverlap,DrMe,DrMe,54,55,20,37.8081298271815,1.8904064913590752
train,windows_nonoverlap,DrMe,DrMe,55,56,20,37.808129827181496,1.8904064913590748
train,windows_nonoverlap,DrMe,DrMe,56,57,20,37.808129827181496,1.8904064913590748
train,windows_nonoverlap,DrMe,DrMe,57,58,20,37.29369807243347,1.8646849036216735
train,windows_nonoverlap,DrMe,DrMe,58,59,20,37.29369807243347,1.8646849036216735
train,windows_nonoverlap,DrMe,DrMe,59,60,20,37.29369807243347,1.8646849036216735
train,windows_nonoverlap,DrMe,DrMe,60,61,20,39.76585491498311,1.9882927457491555
train,windows_nonoverlap,DrMe,DrMe,61,62,20,39.765854914983116,1.9882927457491557
train,windows_nonoverlap,DrMe,DrMe,62,63,20,39.765854914983116,1.9882927457491557
train,windows_nonoverlap,DrMe,DrMe,63,64,20,39.76657923062643,1.9883289615313213
train,windows_nonoverlap,DrMe,DrMe,64,65,20,39.76657923062642,1.9883289615313209
train,windows_nonoverlap,DrMe,DrMe,65,66,20,39.76657923062643,1.9883289615313213
train,windows_nonoverlap,DrMe,DrMe,66,67,20,40.1004711786906,2.0050235589345298
train,windows_nonoverlap,DrMe,DrMe,67,68,20,40.1004711786906,2.0050235589345298
train,windows_nonoverlap,DrMe,DrMe,68,69,20,40.1004711786906,2.0050235589345298
train,windows_nonoverlap,DrMe,DrMe,69,70,20,37.22542611757914,1.861271305878957
train,windows_nonoverlap,DrMe,DrMe,70,71,20,37.22542611757914,1.861271305878957
train,windows_nonoverlap,DrMe,DrMe,71,72,20,37.22542611757915,1.8612713058789574
train,windows_nonoverlap,DrMe,DrMe,72,73,20,36.033341566721596,1.8016670783360798
train,windows_nonoverlap,DrMe,DrMe,73,74,20,36.033341566721596,1.8016670783360798
train,windows_nonoverlap,DrMe,DrMe,74,75,20,36.033341566721596,1.8016670783360798
train,windows_nonoverlap,DrMe,DrMe,75,76,20,39.29449637730916,1.964724818865458
train,windows_nonoverlap,DrMe,DrMe,76,77,20,39.29449637730916,1.964724818865458
train,windows_nonoverlap,DrMe,DrMe,77,78,20,39.294496377309166,1.9647248188654582
train,windows_nonoverlap,DrMe,DrMe,78,79,20,36.94548424084981,1.8472742120424903
train,windows_nonoverlap,DrMe,DrMe,79,80,20,36.94548424084981,1.8472742120424903
train,windows_nonoverlap,DrMe,DrMe,80,81,20,36.945484240849815,1.8472742120424908
train,windows_nonoverlap,DrMe,DrMe,81,82,20,39.59215418497721,1.9796077092488606
train,windows_nonoverlap,DrMe,DrMe,82,83,20,39.59215418497721,1.9796077092488606
train,windows_nonoverlap,DrMe,DrMe,83,84,20,39.59215418497722,1.9796077092488609
train,windows_nonoverlap,DrMe,DrMe,84,85,20,38.363308906555176,1.9181654453277588
train,windows_nonoverlap,DrMe,DrMe,85,86,20,38.363308906555176,1.9181654453277588
train,windows_nonoverlap,DrMe,DrMe,86,87,20,38.363308906555176,1.9181654453277588
train,windows_nonoverlap,DrMe,DrMe,87,88,20,41.89879361788432,2.0949396808942162
train,windows_nonoverlap,DrMe,DrMe,88,89,20,41.898793617884316,2.094939680894216
train,windows_nonoverlap,DrMe,DrMe,89,90,20,41.898793617884316,2.094939680894216
train,windows_nonoverlap,DrMe,DrMe,90,91,20,38.591027577718094,1.9295513788859047
train,windows_nonoverlap,DrMe,DrMe,91,92,20,38.591027577718094,1.9295513788859047
train,windows_nonoverlap,DrMe,DrMe,92,93,20,38.591027577718094,1.9295513788859047
train,windows_nonoverlap,DrMe,DrMe,93,94,20,36.89479700724284,1.8447398503621422
train,windows_nonoverlap,DrMe,DrMe,94,95,20,36.894797007242836,1.8447398503621417
train,windows_nonoverlap,DrMe,DrMe,95,96,20,36.894797007242836,1.8447398503621417
train,windows_nonoverlap,DrMe,DrMe,96,97,20,39.4476896127065,1.9723844806353248
train,windows_nonoverlap,DrMe,DrMe,97,98,20,39.4476896127065,1.9723844806353248
train,windows_nonoverlap,DrMe,DrMe,98,99,20,39.447689612706505,1.9723844806353252
train,windows_nonoverlap,DrMe,DrMe,99,100,20,38.83506407340368,1.941753203670184
train,windows_nonoverlap,DrMe,DrMe,100,101,20,38.83506407340368,1.941753203670184
train,windows_nonoverlap,DrMe,DrMe,101,102,20,38.83506407340368,1.941753203670184
train,windows_nonoverlap,DrMe,DrMe,102,103,20,38.09612862269084,1.904806431134542
train,windows_nonoverlap,DrMe,DrMe,103,104,20,38.096128622690834,1.9048064311345416
