split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,BuEb,BuEb,0,1,4,8.58055289586385,2.1451382239659624
train,windows_nonoverlap,BuEb,BuEb,1,2,4,8.580552895863852,2.145138223965963
train,windows_nonoverlap,BuEb,BuEb,2,3,4,8.58055289586385,2.1451382239659624
train,windows_nonoverlap,BuEb,BuEb,3,4,4,7.354413668314615,1.8386034170786538
train,windows_nonoverlap,BuEb,BuEb,4,5,4,7.354413668314615,1.8386034170786538
train,windows_nonoverlap,BuEb,BuEb,5,6,4,7.354413668314615,1.8386034170786538
train,windows_nonoverlap,BuEb,BuEb,6,7,4,7.802550951639811,1.9506377379099527
train,windows_nonoverlap,BuEb,BuEb,7,8,4,7.802550951639811,1.9506377379099527
train,windows_nonoverlap,BuEb,BuEb,8,9,4,7.802550951639811,1.9506377379099527
train,windows_nonoverlap,BuEb,BuEb,9,10,4,6.816355228424072,1.704088807106018
train,windows_nonoverlap,BuEb,BuEb,10,11,4,6.816355228424072,1.704088807106018
train,windows_nonoverlap,BuEb,BuEb,11,12,4,6.816355228424072,1.704088807106018
train,windows_nonoverlap,BuEb,BuEb,12,13,4,7.588469346364339,1.8971173365910847
train,windows_nonoverlap,BuEb,BuEb,13,14,4,7.588469346364339,1.8971173365910847
train,windows_nonoverlap,BuEb,BuEb,14,15,4,7.58846934636434,1.897117336591085
train,windows_nonoverlap,BuEb,BuEb,15,16,4,6.694468339284261,1.6736170848210652
train,windows_nonoverlap,BuEb,BuEb,16,17,4,6.694468339284261,1.6736170848210652
train,windows_nonoverlap,BuEb,BuEb,17,18,4,6.694468339284261,1.6736170848210652
train,windows_nonoverlap,BuEb,BuEb,18,19,4,7.896416664123536,1.974104166030884
train,windows_nonoverlap,BuEb,BuEb,19,20,4,7.896416664123535,1.9741041660308838
train,windows_nonoverlap,BuEb,BuEb,20,21,4,7.896416664123535,1.9741041660308838
train,windows_nonoverlap,BuEb,BuEb,21,22,4,6.760352293650309,1.6900880734125772
train,windows_nonoverlap,BuEb,BuEb,22,23,4,6.760352293650309,1.6900880734125772
train,windows_nonoverlap,BuEb,BuEb,23,24,4,6.760352293650309,1.6900880734125772
train,windows_nonoverlap,BuEb,BuEb,24,25,4,8.408236980438232,2.102059245109558
train,windows_nonoverlap,BuEb,BuEb,25,26,4,8.408236980438232,2.102059245109558
train,windows_nonoverlap,BuEb,BuEb,26,27,4,8.408236980438232,2.102059245109558
train,windows_nonoverlap,BuEb,BuEb,27,28,4,8.486138661702473,2.121534665425618
train,windows_nonoverlap,BuEb,BuEb,28,29,4,8.486138661702473,2.121534665425618
train,windows_nonoverlap,BuEb,BuEb,29,30,4,8.486138661702475,2.1215346654256186
train,windows_nonoverlap,BuEb,BuEb,30,31,4,8.230632623036703,2.0576581557591758
train,windows_nonoverlap,BuEb,BuEb,31,32,4,8.230632623036701,2.0576581557591753
train,windows_nonoverlap,BuEb,BuEb,32,33,4,8.230632623036703,2.0576581557591758
train,windows_nonoverlap,BuEb,BuEb,33,34,4,6.980834881464641,1.7452087203661601
train,windows_nonoverlap,BuEb,BuEb,34,35,4,6.980834881464641,1.7452087203661601
train,windows_nonoverlap,BuEb,BuEb,35,36,4,6.980834881464641,1.7452087203661601
train,windows_nonoverlap,BuEb,BuEb,36,37,4,8.909119764963785,2.2272799412409463
train,windows_nonoverlap,BuEb,BuEb,37,38,4,8.909119764963787,2.2272799412409467
train,windows_nonoverlap,BuEb,BuEb,38,39,4,8.909119764963787,2.2272799412409467
train,windows_nonoverlap,BuEb,BuEb,39,40,4,8.226412137349447,2.056603034337362
train,windows_nonoverlap,BuEb,BuEb,40,41,4,8.226412137349447,2.056603034337362
train,windows_nonoverlap,BuEb,BuEb,41,42,4,8.226412137349447,2.056603034337362
train,windows_nonoverlap,BuEb,BuEb,42,43,4,7.865248362223307,1.9663120905558267
train,windows_nonoverlap,BuEb,BuEb,43,44,4,7.865248362223307,1.9663120905558267
train,windows_nonoverlap,BuEb,BuEb,44,45,4,7.865248362223307,1.9663120905558267
train,windows_nonoverlap,BuEb,BuEb,45,46,4,7.865940252939859,1.9664850632349649
train,windows_nonoverlap,BuEb,BuEb,46,47,4,7.865940252939859,1.9664850632349649
train,windows_nonoverlap,BuEb,BuEb,47,48,4,7.86594025293986,1.966485063234965
train,windows_nonoverlap,BuEb,BuEb,48,49,4,7.8125499089558925,1.9531374772389731
train,windows_nonoverlap,BuEb,BuEb,49,50,4,7.812549908955892,1.953137477238973
train,windows_nonoverlap,BuEb,BuEb,50,51,4,7.8125499089558925,1.9531374772389731
train,windows_nonoverlap,BuEb,BuEb,51,52,4,7.401278018951416,1.850319504737854
train,windows_nonoverlap,BuEb,BuEb,52,53,4,7.401278018951416,1.850319504737854
train,windows_nonoverlap,BuEb,BuEb,53,54,4,7.401278018951416,1.850319504737854
train,windows_nonoverlap,BuEb,BuEb,54,55,4,8.24000104268392,2.06000026067098
train,windows_nonoverlap,BuEb,BuEb,55,56,4,8.24000104268392,2.06000026067098
train,windows_nonoverlap,BuEb,BuEb,56,57,4,8.24000104268392,2.06000026067098
train,windows_nonoverlap,BuEb,BuEb,57,58,4,8.387498537699381,2.0968746344248452
train,windows_nonoverlap,BuEb,BuEb,58,59,4,8.387498537699381,2.0968746344248452
train,windows_nonoverlap,BuEb,BuEb,59,60,4,8.387498537699381,2.0968746344248452
train,windows_nonoverlap,BuEb,BuEb,60,61,4,7.183981418609619,1.7959953546524048
train,windows_nonoverlap,BuEb,BuEb,61,62,4,7.183981418609619,1.7959953546524048
train,windows_nonoverlap,BuEb,BuEb,62,63,4,7.183981418609619,1.7959953546524048
train,windows_nonoverlap,BuEb,BuEb,63,64,4,8.36767323811849,2.0919183095296225
train,windows_nonoverlap,BuEb,BuEb,64,65,4,8.36767323811849,2.0919183095296225
train,windows_nonoverlap,BuEb,BuEb,65,66,4,8.36767323811849,2.0919183095296225
train,windows_nonoverlap,BuEb,BuEb,66,67,4,7.6944044431050616,1.9236011107762654
train,windows_nonoverlap,BuEb,BuEb,67,68,4,7.6944044431050616,1.9236011107762654
train,windows_nonoverlap,BuEb,BuEb,68,69,4,7.6944044431050616,1.9236011107762654
train,windows_nonoverlap,BuEb,BuEb,69,70,4,9.045043468475342,2.2612608671188354
train,windows_nonoverlap,BuEb,BuEb,70,71,4,9.045043468475342,2.2612608671188354
train,windows_nonoverlap,BuEb,BuEb,71,72,4,9.045043468475342,2.2612608671188354
train,windows_nonoverlap,BuEb,BuEb,72,73,4,8.283163865407309,2.070790966351827
train,windows_nonoverlap,BuEb,BuEb,73,74,4,8.283163865407309,2.070790966351827
train,windows_nonoverlap,BuEb,BuEb,74,75,4,8.283163865407307,2.0707909663518267
train,windows_nonoverlap,BuEb,BuEb,75,76,4,8.090260982513428,2.022565245628357
train,windows_nonoverlap,BuEb,BuEb,76,77,4,8.090260982513428,2.022565245628357
train,windows_nonoverlap,BuEb,BuEb,77,78,4,8.090260982513428,2.022565245628357
train,windows_nonoverlap,BuEb,BuEb,78,79,4,6.970208168029785,1.7425520420074463
train,windows_nonoverlap,BuEb,BuEb,79,80,4,6.970208168029785,1.7425520420074463
train,windows_nonoverlap,BuEb,BuEb,80,81,4,6.970208168029785,1.7425520420074463
train,windows_nonoverlap,BuEb,BuEb,81,82,4,7.607004960378012,1.901751240094503
train,windows_nonoverlap,BuEb,BuEb,82,83,4,7.607004960378012,1.901751240094503
train,windows_nonoverlap,BuEb,BuEb,83,84,4,7.607004960378011,1.9017512400945027
train,windows_nonoverlap,BuEb,BuEb,84,85,4,7.682163715362549,1.9205409288406372
train,windows_nonoverlap,BuEb,BuEb,85,86,4,7.682163715362549,1.9205409288406372
train,windows_nonoverlap,BuEb,BuEb,86,87,4,7.682163715362549,1.9205409288406372
train,windows_nonoverlap,BuEb,BuEb,87,88,4,7.629787604014079,1.9074469010035198
train,windows_nonoverlap,BuEb,BuEb,88,89,4,7.629787604014079,1.9074469010035198
train,windows_nonoverlap,BuEb,BuEb,89,90,4,7.629787604014079,1.9074469010035198
train,windows_nonoverlap,BuEb,BuEb,90,91,4,8.046172777811686,2.0115431944529214
train,windows_nonoverlap,BuEb,BuEb,91,92,4,8.046172777811686,2.0115431944529214
train,windows_nonoverlap,BuEb,BuEb,92,93,4,8.046172777811686,2.0115431944529214
train,windows_nonoverlap,BuEb,BuEb,93,94,4,8.11184056599935,2.0279601414998374
train,windows_nonoverlap,BuEb,BuEb,94,95,4,8.11184056599935,2.0279601414998374
train,windows_nonoverlap,BuEb,BuEb,95,96,4,8.11184056599935,2.0279601414998374
train,windows_nonoverlap,BuEb,BuEb,96,97,4,8.559090932210287,2.1397727330525718
train,windows_nonoverlap,BuEb,BuEb,97,98,4,8.559090932210287,2.1397727330525718
train,windows_nonoverlap,BuEb,BuEb,98,99,4,8.559090932210287,2.1397727330525718
train,windows_nonoverlap,BuEb,BuEb,99,100,4,7.489007631937663,1.8722519079844158
train,windows_nonoverlap,BuEb,BuEb,100,101,4,7.489007631937663,1.8722519079844158
train,windows_nonoverlap,BuEb,BuEb,101,102,4,7.489007631937663,1.8722519079844158
train,windows_nonoverlap,BuEb,BuEb,102,103,4,8.137787342071533,2.0344468355178833
train,windows_nonoverlap,BuEb,BuEb,103,104,4,8.137787342071533,2.0344468355178833
train,windows_nonoverlap,BuEb,BuEb,104,105,4,8.137787342071533,2.0344468355178833
train,windows_nonoverlap,BuEb,BuEb,105,106,4,8.401299158732098,2.1003247896830244
train,windows_nonoverlap,BuEb,BuEb,106,107,4,8.401299158732096,2.100324789683024
train,windows_nonoverlap,BuEb,BuEb,107,108,4,8.401299158732098,2.1003247896830244
train,windows_nonoverlap,BuEb,BuEb,108,109,4,9.371411482493082,2.3428528706232705
train,windows_nonoverlap,BuEb,BuEb,109,110,4,9.371411482493082,2.3428528706232705
train,windows_nonoverlap,BuEb,BuEb,110,111,4,9.371411482493082,2.3428528706232705
train,windows_nonoverlap,BuEb,BuEb,111,112,4,8.612398306528727,2.1530995766321817
train,windows_nonoverlap,BuEb,BuEb,112,113,4,8.612398306528727,2.1530995766321817
train,windows_nonoverlap,BuEb,BuEb,113,114,4,8.612398306528727,2.1530995766321817
train,windows_nonoverlap,BuEb,BuEb,114,115,4,8.094330469767252,2.023582617441813
train,windows_nonoverlap,BuEb,BuEb,115,116,4,8.094330469767252,2.023582617441813
train,windows_nonoverlap,BuEb,BuEb,116,117,4,8.094330469767254,2.0235826174418134
train,windows_nonoverlap,BuEb,BuEb,117,118,4,8.082022349039715,2.0205055872599287
train,windows_nonoverlap,BuEb,BuEb,118,119,4,8.082022349039713,2.0205055872599282
train,windows_nonoverlap,BuEb,BuEb,119,120,4,8.082022349039715,2.0205055872599287
train,windows_nonoverlap,BuEb,BuEb,120,121,4,8.22706906000773,2.0567672650019326
train,windows_nonoverlap,BuEb,BuEb,121,122,4,8.227069060007732,2.056767265001933
train,windows_nonoverlap,BuEb,BuEb,122,123,4,8.22706906000773,2.0567672650019326
train,windows_nonoverlap,BuEb,BuEb,123,124,4,8.359328746795654,2.0898321866989136
train,windows_nonoverlap,BuEb,BuEb,124,125,4,8.359328746795654,2.0898321866989136
train,windows_nonoverlap,BuEb,BuEb,125,126,4,8.359328746795654,2.0898321866989136
train,windows_nonoverlap,BuEb,BuEb,126,127,4,7.998089790344238,1.9995224475860596
train,windows_nonoverlap,BuEb,BuEb,127,128,4,7.998089790344238,1.9995224475860596
train,windows_nonoverlap,BuEb,BuEb,128,129,4,7.998089790344238,1.9995224475860596
train,windows_nonoverlap,BuEb,BuEb,129,130,4,7.7885355949401855,1.9471338987350464
train,windows_nonoverlap,BuEb,BuEb,130,131,4,7.7885355949401855,1.9471338987350464
train,windows_nonoverlap,BuEb,BuEb,131,132,4,7.7885355949401855,1.9471338987350464
train,windows_nonoverlap,BuEb,BuEb,132,133,4,7.239019552866618,1.8097548882166545
train,windows_nonoverlap,BuEb,BuEb,133,134,4,7.239019552866618,1.8097548882166545
train,windows_nonoverlap,BuEb,BuEb,134,135,4,7.239019552866618,1.8097548882166545
train,windows_nonoverlap,BuEb,BuEb,135,136,4,8.65432866414388,2.16358216603597
train,windows_nonoverlap,BuEb,BuEb,136,137,4,8.65432866414388,2.16358216603597
train,windows_nonoverlap,BuEb,BuEb,137,138,4,8.65432866414388,2.16358216603597
train,windows_nonoverlap,BuEb,BuEb,138,139,4,8.404633839925129,2.1011584599812823
train,windows_nonoverlap,BuEb,BuEb,139,140,4,8.404633839925129,2.1011584599812823
train,windows_nonoverlap,BuEb,BuEb,140,141,4,8.404633839925129,2.1011584599812823
train,windows_nonoverlap,BuEb,BuEb,141,142,4,8.462143739064535,2.1155359347661338
train,windows_nonoverlap,BuEb,BuEb,142,143,4,8.462143739064535,2.1155359347661338
train,windows_nonoverlap,BuEb,BuEb,143,144,4,8.462143739064535,2.1155359347661338
train,windows_nonoverlap,BuEb,BuEb,144,145,4,8.485467274983723,2.1213668187459307
train,windows_nonoverlap,BuEb,BuEb,145,146,4,8.485467274983723,2.1213668187459307
train,windows_nonoverlap,BuEb,BuEb,146,147,4,8.485467274983723,2.1213668187459307
train,windows_nonoverlap,BuEb,BuEb,147,148,4,7.955748399098714,1.9889370997746785
train,windows_nonoverlap,BuEb,BuEb,148,149,4,7.955748399098715,1.9889370997746787
train,windows_nonoverlap,BuEb,BuEb,149,150,4,7.955748399098715,1.9889370997746787
train,windows_nonoverlap,BuEb,BuEb,150,151,4,7.366189956665039,1.8415474891662598
train,windows_nonoverlap,BuEb,BuEb,151,152,4,7.366189956665039,1.8415474891662598
train,windows_nonoverlap,BuEb,BuEb,152,153,4,7.366189956665039,1.8415474891662598
train,windows_nonoverlap,BuEb,BuEb,153,154,4,7.970170180002849,1.9925425450007122
train,windows_nonoverlap,BuEb,BuEb,154,155,4,7.970170180002849,1.9925425450007122
train,windows_nonoverlap,BuEb,BuEb,155,156,4,7.970170180002849,1.9925425450007122
train,windows_nonoverlap,BuEb,BuEb,156,157,4,7.5649542808532715,1.8912385702133179
train,windows_nonoverlap,BuEb,BuEb,157,158,4,7.5649542808532715,1.8912385702133179
train,windows_nonoverlap,BuEb,BuEb,158,159,4,7.5649542808532715,1.8912385702133179
train,windows_nonoverlap,BuEb,BuEb,159,160,4,8.35614045461019,2.0890351136525473
train,windows_nonoverlap,BuEb,BuEb,160,161,4,8.35614045461019,2.0890351136525473
train,windows_nonoverlap,BuEb,BuEb,161,162,4,8.35614045461019,2.0890351136525473
train,windows_nonoverlap,BuEb,BuEb,162,163,4,8.564303874969482,2.1410759687423706
train,windows_nonoverlap,BuEb,BuEb,163,164,4,8.564303874969482,2.1410759687423706
train,windows_nonoverlap,BuEb,BuEb,164,165,4,8.564303874969482,2.1410759687423706
train,windows_nonoverlap,BuEb,BuEb,165,166,4,7.7767923672993975,1.9441980918248494
train,windows_nonoverlap,BuEb,BuEb,166,167,4,7.776792367299398,1.9441980918248496
train,windows_nonoverlap,BuEb,BuEb,167,168,4,7.776792367299398,1.9441980918248496
train,windows_nonoverlap,BuEb,BuEb,168,169,4,7.752123673756918,1.9380309184392295
train,windows_nonoverlap,BuEb,BuEb,169,170,4,7.752123673756918,1.9380309184392295
train,windows_nonoverlap,BuEb,BuEb,170,171,4,7.752123673756918,1.9380309184392295
train,windows_nonoverlap,BuEb,BuEb,171,172,4,8.14827823638916,2.03706955909729
train,windows_nonoverlap,BuEb,BuEb,172,173,4,8.14827823638916,2.03706955909729
train,windows_nonoverlap,BuEb,BuEb,173,174,4,8.14827823638916,2.03706955909729
train,windows_nonoverlap,BuEb,BuEb,174,175,4,7.462257544199626,1.8655643860499065
train,windows_nonoverlap,BuEb,BuEb,175,176,4,7.462257544199625,1.8655643860499063
train,windows_nonoverlap,BuEb,BuEb,176,177,4,7.462257544199626,1.8655643860499065
train,windows_nonoverlap,BuEb,BuEb,177,178,4,7.06548531850179,1.7663713296254475
train,windows_nonoverlap,BuEb,BuEb,178,179,4,7.06548531850179,1.7663713296254475
train,windows_nonoverlap,BuEb,BuEb,179,180,4,7.06548531850179,1.7663713296254475
train,windows_nonoverlap,BuEb,BuEb,180,181,4,7.9636424382527675,1.9909106095631919
train,windows_nonoverlap,BuEb,BuEb,181,182,4,7.9636424382527675,1.9909106095631919
train,windows_nonoverlap,BuEb,BuEb,182,183,4,7.9636424382527675,1.9909106095631919
train,windows_nonoverlap,BuEb,BuEb,183,184,4,8.159682909647623,2.0399207274119058
train,windows_nonoverlap,BuEb,BuEb,184,185,4,8.159682909647623,2.0399207274119058
train,windows_nonoverlap,BuEb,BuEb,185,186,4,8.159682909647625,2.039920727411906
train,windows_nonoverlap,BuEb,BuEb,186,187,4,8.722519079844158,2.1806297699610395
train,windows_nonoverlap,BuEb,BuEb,187,188,4,8.722519079844158,2.1806297699610395
train,windows_nonoverlap,BuEb,BuEb,188,189,4,8.722519079844158,2.1806297699610395
train,windows_nonoverlap,BuEb,BuEb,189,190,4,7.7567380269368496,1.9391845067342124
train,windows_nonoverlap,BuEb,BuEb,190,191,4,7.7567380269368496,1.9391845067342124
train,windows_nonoverlap,BuEb,BuEb,191,192,4,7.756738026936849,1.9391845067342122
train,windows_nonoverlap,BuEb,BuEb,192,193,4,7.73282766342163,1.9332069158554075
train,windows_nonoverlap,BuEb,BuEb,193,194,4,7.732827663421631,1.9332069158554077
train,windows_nonoverlap,BuEb,BuEb,194,195,4,7.732827663421631,1.9332069158554077
train,windows_nonoverlap,BuEb,BuEb,195,196,4,7.9247350692749015,1.9811837673187254
train,windows_nonoverlap,BuEb,BuEb,196,197,4,7.9247350692749015,1.9811837673187254
train,windows_nonoverlap,BuEb,BuEb,197,198,4,7.924735069274902,1.9811837673187256
train,windows_nonoverlap,BuEb,BuEb,198,199,4,8.133321126302084,2.033330281575521
train,windows_nonoverlap,BuEb,BuEb,199,200,4,8.133321126302082,2.0333302815755205
train,windows_nonoverlap,BuEb,BuEb,200,201,4,8.133321126302082,2.0333302815755205
train,windows_nonoverlap,BuEb,BuEb,201,202,4,7.938793818155924,1.984698454538981
train,windows_nonoverlap,BuEb,BuEb,202,203,4,7.938793818155924,1.984698454538981
train,windows_nonoverlap,BuEb,BuEb,203,204,4,7.938793818155925,1.9846984545389812
train,windows_nonoverlap,BuEb,BuEb,204,205,4,8.324076175689697,2.0810190439224243
train,windows_nonoverlap,BuEb,BuEb,205,206,4,8.324076175689697,2.0810190439224243
train,windows_nonoverlap,BuEb,BuEb,206,207,4,8.324076175689697,2.0810190439224243
train,windows_nonoverlap,BuEb,BuEb,207,208,4,8.05076821645101,2.0126920541127524
train,windows_nonoverlap,BuEb,BuEb,208,209,4,8.05076821645101,2.0126920541127524
train,windows_nonoverlap,BuEb,BuEb,209,210,4,8.050768216451008,2.012692054112752
train,windows_nonoverlap,BuEb,BuEb,210,211,4,7.186084270477294,1.7965210676193235
train,windows_nonoverlap,BuEb,BuEb,211,212,4,7.186084270477295,1.7965210676193237
train,windows_nonoverlap,BuEb,BuEb,212,213,4,7.186084270477295,1.7965210676193237
train,windows_nonoverlap,BuEb,BuEb,213,214,4,7.808850765228272,1.952212691307068
train,windows_nonoverlap,BuEb,BuEb,214,215,4,7.8088507652282715,1.9522126913070679
train,windows_nonoverlap,BuEb,BuEb,215,216,4,7.8088507652282715,1.9522126913070679
train,windows_nonoverlap,BuEb,BuEb,216,217,4,7.18049955368042,1.795124888420105
train,windows_nonoverlap,BuEb,BuEb,217,218,4,7.18049955368042,1.795124888420105
train,windows_nonoverlap,BuEb,BuEb,218,219,4,7.18049955368042,1.795124888420105
train,windows_nonoverlap,BuEb,BuEb,219,220,4,7.617426077524821,1.9043565193812053
train,windows_nonoverlap,BuEb,BuEb,220,221,4,7.61742607752482,1.904356519381205
train,windows_nonoverlap,BuEb,BuEb,221,222,4,7.61742607752482,1.904356519381205
train,windows_nonoverlap,BuEb,BuEb,222,223,4,6.520244280497233,1.6300610701243083
train,windows_nonoverlap,BuEb,BuEb,223,224,4,6.520244280497233,1.6300610701243083
train,windows_nonoverlap,BuEb,BuEb,224,225,4,6.520244280497233,1.6300610701243083
train,windows_nonoverlap,BuEb,BuEb,225,226,4,7.440054257710775,1.8600135644276938
train,windows_nonoverlap,BuEb,BuEb,226,227,4,7.440054257710775,1.8600135644276938
train,windows_nonoverlap,BuEb,BuEb,227,228,4,7.440054257710775,1.8600135644276938
train,windows_nonoverlap,BuEb,BuEb,228,229,4,7.97934357325236,1.99483589331309
train,windows_nonoverlap,BuEb,BuEb,229,230,4,7.979343573252359,1.9948358933130899
train,windows_nonoverlap,BuEb,BuEb,230,231,4,7.979343573252359,1.9948358933130899
train,windows_nonoverlap,BuEb,BuEb,231,232,4,7.738013585408529,1.9345033963521323
train,windows_nonoverlap,BuEb,BuEb,232,233,4,7.738013585408529,1.9345033963521323
train,windows_nonoverlap,BuEb,BuEb,233,234,4,7.738013585408528,1.934503396352132
train,windows_nonoverlap,BuEb,BuEb,234,235,4,7.479456583658854,1.8698641459147134
train,windows_nonoverlap,BuEb,BuEb,235,236,4,7.479456583658854,1.8698641459147134
train,windows_nonoverlap,BuEb,BuEb,236,237,4,7.479456583658854,1.8698641459147134
train,windows_nonoverlap,BuEb,BuEb,237,238,4,7.656697909037272,1.914174477259318
train,windows_nonoverlap,BuEb,BuEb,238,239,4,7.6566979090372715,1.9141744772593179
train,windows_nonoverlap,BuEb,BuEb,239,240,4,7.656697909037272,1.914174477259318
train,windows_nonoverlap,BuEb,BuEb,240,241,4,8.079121748606365,2.0197804371515913
train,windows_nonoverlap,BuEb,BuEb,241,242,4,8.079121748606365,2.0197804371515913
train,windows_nonoverlap,BuEb,BuEb,242,243,4,8.079121748606365,2.0197804371515913
train,windows_nonoverlap,BuEb,BuEb,243,244,4,7.649671872456869,1.9124179681142173
train,windows_nonoverlap,BuEb,BuEb,244,245,4,7.649671872456869,1.9124179681142173
train,windows_nonoverlap,BuEb,BuEb,245,246,4,7.649671872456868,1.912417968114217
train,windows_nonoverlap,BuEb,BuEb,246,247,4,7.937568346659343,1.9843920866648357
train,windows_nonoverlap,BuEb,BuEb,247,248,4,7.937568346659342,1.9843920866648355
train,windows_nonoverlap,BuEb,BuEb,248,249,4,7.937568346659342,1.9843920866648355
train,windows_nonoverlap,BuEb,BuEb,249,250,4,7.794141610463461,1.9485354026158652
train,windows_nonoverlap,BuEb,BuEb,250,251,4,7.79414161046346,1.948535402615865
train,windows_nonoverlap,BuEb,BuEb,251,252,4,7.79414161046346,1.948535402615865
train,windows_nonoverlap,BuEb,BuEb,252,253,4,7.697549661000569,1.9243874152501423
train,windows_nonoverlap,BuEb,BuEb,253,254,4,7.697549661000569,1.9243874152501423
train,windows_nonoverlap,BuEb,BuEb,254,255,4,7.697549661000569,1.9243874152501423
train,windows_nonoverlap,BuEb,BuEb,255,256,4,8.580869356791178,2.1452173391977944
train,windows_nonoverlap,BuEb,BuEb,256,257,4,8.580869356791178,2.1452173391977944
train,windows_nonoverlap,BuEb,BuEb,257,258,4,8.580869356791178,2.1452173391977944
train,windows_nonoverlap,BuEb,BuEb,258,259,4,7.350448449452718,1.8376121123631795
train,windows_nonoverlap,BuEb,BuEb,259,260,4,7.350448449452718,1.8376121123631795
train,windows_nonoverlap,BuEb,BuEb,260,261,4,7.350448449452718,1.8376121123631795
train,windows_nonoverlap,BuEb,BuEb,261,262,4,8.96491273244222,2.241228183110555
train,windows_nonoverlap,BuEb,BuEb,262,263,4,8.964912732442219,2.2412281831105547
train,windows_nonoverlap,BuEb,BuEb,263,264,4,8.964912732442219,2.2412281831105547
train,windows_nonoverlap,BuEb,BuEb,264,265,4,7.609091122945149,1.9022727807362874
train,windows_nonoverlap,BuEb,BuEb,265,266,4,7.609091122945149,1.9022727807362874
train,windows_nonoverlap,BuEb,BuEb,266,267,4,7.609091122945149,1.9022727807362874
train,windows_nonoverlap,BuEb,BuEb,267,268,4,7.84638532002767,1.9615963300069175
train,windows_nonoverlap,BuEb,BuEb,268,269,4,7.84638532002767,1.9615963300069175
train,windows_nonoverlap,BuEb,BuEb,269,270,4,7.846385320027669,1.9615963300069172
train,windows_nonoverlap,BuEb,BuEb,270,271,4,7.087535699208577,1.7718839248021443
train,windows_nonoverlap,BuEb,BuEb,271,272,4,7.087535699208577,1.7718839248021443
train,windows_nonoverlap,BuEb,BuEb,272,273,4,7.087535699208577,1.7718839248021443
train,windows_nonoverlap,BuEb,BuEb,273,274,4,7.870768388112387,1.9676920970280967
train,windows_nonoverlap,BuEb,BuEb,274,275,4,7.870768388112387,1.9676920970280967
train,windows_nonoverlap,BuEb,BuEb,275,276,4,7.870768388112387,1.9676920970280967
train,windows_nonoverlap,BuEb,BuEb,276,277,4,7.179997603098552,1.794999400774638
train,windows_nonoverlap,BuEb,BuEb,277,278,4,7.179997603098552,1.794999400774638
train,windows_nonoverlap,BuEb,BuEb,278,279,4,7.179997603098552,1.794999400774638
train,windows_nonoverlap,BuEb,BuEb,279,280,4,7.404824892679851,1.8512062231699626
train,windows_nonoverlap,BuEb,BuEb,280,281,4,7.404824892679851,1.8512062231699626
train,windows_nonoverlap,BuEb,BuEb,281,282,4,7.404824892679851,1.8512062231699626
train,windows_nonoverlap,BuEb,BuEb,282,283,4,8.215428670247396,2.053857167561849
train,windows_nonoverlap,BuEb,BuEb,283,284,4,8.215428670247396,2.053857167561849
train,windows_nonoverlap,BuEb,BuEb,284,285,4,8.215428670247396,2.053857167561849
train,windows_nonoverlap,BuEb,BuEb,285,286,4,7.601332028706868,1.900333007176717
train,windows_nonoverlap,BuEb,BuEb,286,287,4,7.601332028706868,1.900333007176717
train,windows_nonoverlap,BuEb,BuEb,287,288,4,7.601332028706868,1.900333007176717
train,windows_nonoverlap,BuEb,BuEb,288,289,4,8.499064286549887,2.1247660716374717
train,windows_nonoverlap,BuEb,BuEb,289,290,4,8.499064286549887,2.1247660716374717
train,windows_nonoverlap,BuEb,BuEb,290,291,4,8.499064286549887,2.1247660716374717
train,windows_nonoverlap,BuEb,BuEb,291,292,4,7.754706700642903,1.9386766751607258
train,windows_nonoverlap,BuEb,BuEb,292,293,4,7.754706700642904,1.938676675160726
train,windows_nonoverlap,BuEb,BuEb,293,294,4,7.754706700642904,1.938676675160726
train,windows_nonoverlap,BuEb,BuEb,294,295,4,7.928507328033447,1.9821268320083618
train,windows_nonoverlap,BuEb,BuEb,295,296,4,7.928507328033447,1.9821268320083618
train,windows_nonoverlap,BuEb,BuEb,296,297,4,7.928507328033446,1.9821268320083616
train,windows_nonoverlap,BuEb,BuEb,297,298,4,7.598165988922118,1.8995414972305296
train,windows_nonoverlap,BuEb,BuEb,298,299,4,7.598165988922119,1.8995414972305298
train,windows_nonoverlap,BuEb,BuEb,299,300,4,7.598165988922119,1.8995414972305298
train,windows_nonoverlap,BuEb,BuEb,300,301,4,8.055261135101318,2.0138152837753296
train,windows_nonoverlap,BuEb,BuEb,301,302,4,8.055261135101318,2.0138152837753296
train,windows_nonoverlap,BuEb,BuEb,302,303,4,8.055261135101318,2.0138152837753296
train,windows_nonoverlap,BuEb,BuEb,303,304,4,7.486682415008545,1.8716706037521362
train,windows_nonoverlap,BuEb,BuEb,304,305,4,7.486682415008545,1.8716706037521362
