split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,0,1,33,65.36358737945557,1.9807147690744111
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,1,2,33,65.36358737945557,1.9807147690744111
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,2,3,33,65.36358737945557,1.9807147690744111
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,3,4,33,64.1960433324178,1.945334646436903
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,4,5,33,64.1960433324178,1.945334646436903
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,5,6,33,64.1960433324178,1.945334646436903
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,6,7,33,65.6175815264384,1.9884115614072242
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,7,8,33,65.6175815264384,1.9884115614072242
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,8,9,33,65.6175815264384,1.9884115614072242
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,9,10,33,64.86025698979695,1.96546233302415
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,10,11,33,64.86025698979695,1.96546233302415
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,11,12,33,64.86025698979695,1.96546233302415
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,12,13,33,66.69870066642761,2.0211727474675034
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,13,14,33,66.69870066642761,2.0211727474675034
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,14,15,33,66.69870066642761,2.0211727474675034
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,15,16,33,65.96885186433792,1.9990561171011492
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,16,17,33,65.96885186433792,1.9990561171011492
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,17,18,33,65.96885186433792,1.9990561171011492
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,18,19,33,64.09454968571663,1.9422590813853524
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:nonchromosomal,19,20,33,64.09454968571663,1.9422590813853524
