split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,0,1,33,65.363587697347,1.9807147787074848
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,1,2,33,65.363587697347,1.9807147787074848
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,2,3,33,65.363587697347,1.9807147787074848
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,3,4,33,67.37141450246175,2.0415580152261135
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,4,5,33,67.37141450246176,2.041558015226114
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,5,6,33,67.37141450246175,2.0415580152261135
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,6,7,33,61.958305040995285,1.8775243951816754
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,7,8,33,61.95830504099528,1.8775243951816751
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,8,9,33,61.958305040995285,1.8775243951816754
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,9,10,33,70.00520292917888,2.121369785732693
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,10,11,33,70.00520292917888,2.121369785732693
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,11,12,33,70.00520292917888,2.121369785732693
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,12,13,33,61.71797569592793,1.870241687755392
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,13,14,33,61.71797569592794,1.8702416877553922
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,14,15,33,61.71797569592794,1.8702416877553922
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,15,16,33,61.114805698394775,1.8519638090422659
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,16,17,33,61.11480569839478,1.851963809042266
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,17,18,33,61.114805698394775,1.8519638090422659
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,18,19,33,65.02005358537038,1.9703046541021327
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,19,20,33,65.02005358537039,1.970304654102133
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,20,21,33,65.02005358537038,1.9703046541021327
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,21,22,33,62.37698992093404,1.8902118157858798
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,22,23,33,62.37698992093404,1.8902118157858798
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,23,24,33,62.37698992093404,1.8902118157858798
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,24,25,33,66.84029370546341,2.0254634456201033
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,25,26,33,66.84029370546341,2.0254634456201033
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,26,27,33,66.84029370546341,2.0254634456201033
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,27,28,33,63.11946937441826,1.9127111931641896
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,28,29,33,63.11946937441826,1.9127111931641896
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,29,30,33,63.11946937441826,1.9127111931641896
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,30,31,33,67.02114538351695,2.0309437995005135
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,31,32,33,67.02114538351695,2.0309437995005135
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,32,33,33,67.02114538351695,2.0309437995005135
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,33,34,33,63.854479591051735,1.9349842300318707
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,34,35,33,63.85447959105173,1.9349842300318705
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,35,36,33,63.85447959105174,1.934984230031871
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,36,37,33,58.98557284474373,1.7874416013558705
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,37,38,33,58.98557284474373,1.7874416013558705
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,38,39,33,58.98557284474373,1.7874416013558705
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,39,40,33,65.15922339757283,1.9745219211385707
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,40,41,33,65.15922339757283,1.9745219211385707
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,41,42,33,65.15922339757284,1.974521921138571
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,42,43,33,64.44094441334407,1.9527558913134566
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,43,44,33,64.44094441334407,1.9527558913134566
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,44,45,33,64.44094441334407,1.9527558913134566
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,45,46,33,59.06811667482059,1.7899429295400178
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,46,47,33,59.06811667482059,1.7899429295400178
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,47,48,33,59.06811667482058,1.7899429295400175
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,48,49,33,60.57817500829697,1.835702272978696
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,49,50,33,60.57817500829697,1.835702272978696
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,50,51,33,60.57817500829697,1.835702272978696
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,51,52,33,65.4510467549165,1.983365053179288
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,52,53,33,65.4510467549165,1.983365053179288
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,53,54,33,65.4510467549165,1.983365053179288
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,54,55,33,64.42202622691791,1.9521826129369062
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,55,56,33,64.42202622691791,1.9521826129369062
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,56,57,33,64.42202622691791,1.9521826129369062
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,57,58,33,62.73958254853884,1.9011994711678437
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,58,59,33,62.73958254853884,1.9011994711678437
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,59,60,33,62.73958254853885,1.901199471167844
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,60,61,33,59.09127196669579,1.7906446050513876
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,61,62,33,59.091271966695786,1.7906446050513873
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,62,63,33,59.091271966695786,1.7906446050513873
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,63,64,33,62.09597847859065,1.8816963175330501
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,64,65,33,62.09597847859065,1.8816963175330501
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,65,66,33,62.09597847859065,1.8816963175330501
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,66,67,33,60.575172642866775,1.835611292208084
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,67,68,33,60.575172642866775,1.835611292208084
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,68,69,33,60.57517264286677,1.8356112922080838
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,69,70,33,64.85905930399895,1.9654260395151195
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,70,71,33,64.85905930399895,1.9654260395151195
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,71,72,33,64.85905930399895,1.9654260395151195
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,72,73,33,62.03495759765307,1.8798471999288808
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,73,74,33,62.034957597653076,1.879847199928881
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,74,75,33,62.034957597653076,1.879847199928881
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,75,76,33,58.63336373368898,1.7767685979905752
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,76,77,33,58.633363733688995,1.7767685979905756
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,77,78,33,58.63336373368899,1.7767685979905754
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,78,79,33,59.392029176155724,1.7997584598835068
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,79,80,33,59.39202917615573,1.799758459883507
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,80,81,33,59.392029176155724,1.7997584598835068
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,81,82,33,58.90389275550842,1.784966447136619
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,82,83,33,58.90389275550842,1.784966447136619
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,83,84,33,58.90389275550842,1.784966447136619
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,84,85,33,63.65477080146472,1.928932448529234
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,85,86,33,63.654770801464714,1.9289324485292338
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,86,87,33,63.65477080146472,1.928932448529234
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,87,88,33,62.6642362177372,1.8989162490223392
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,88,89,33,62.6642362177372,1.8989162490223392
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,89,90,33,62.6642362177372,1.8989162490223392
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,90,91,33,61.99508359034856,1.878638896677229
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,91,92,33,61.99508359034856,1.878638896677229
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,92,93,33,61.99508359034856,1.878638896677229
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,93,94,33,60.90543892979622,1.8456193615089764
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,94,95,33,60.90543892979622,1.8456193615089764
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,95,96,33,60.90543892979622,1.8456193615089764
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,96,97,33,63.07934319972993,1.9114952484766645
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,97,98,33,63.07934319972992,1.9114952484766643
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,98,99,33,63.07934319972992,1.9114952484766643
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,99,100,33,63.21824567516644,1.9157044143989832
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,100,101,33,63.21824567516644,1.9157044143989832
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,101,102,33,63.21824567516644,1.9157044143989832
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,102,103,33,59.80900270740191,1.8123940214364216
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,103,104,33,59.80900270740191,1.8123940214364216
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,104,105,33,59.80900270740191,1.8123940214364216
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,105,106,33,60.74792277812957,1.8408461447918052
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,106,107,33,60.74792277812958,1.8408461447918054
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,107,108,33,60.74792277812958,1.8408461447918054
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,108,109,33,63.337428987026215,1.9193160299098853
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,109,110,33,63.337428987026215,1.9193160299098853
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,110,111,33,63.337428987026215,1.9193160299098853
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,111,112,33,66.1618495285511,2.004904531168215
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,112,113,33,66.1618495285511,2.004904531168215
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,113,114,33,66.1618495285511,2.004904531168215
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,114,115,33,63.814656307299934,1.9337774638575738
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,115,116,33,63.814656307299934,1.9337774638575738
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,116,117,33,63.814656307299934,1.9337774638575738
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,117,118,33,56.341844211022064,1.707328612455214
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,118,119,33,56.34184421102206,1.7073286124552138
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,119,120,33,56.341844211022064,1.707328612455214
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,120,121,33,58.10915900270144,1.7608836061424677
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,121,122,33,58.10915900270144,1.7608836061424677
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,122,123,33,58.109159002701446,1.760883606142468
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,123,124,33,61.209294229745865,1.8548270978710868
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,124,125,33,61.209294229745865,1.8548270978710868
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,125,126,33,61.209294229745865,1.8548270978710868
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,126,127,33,60.46419695019722,1.8322483924302189
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,127,128,33,60.46419695019722,1.8322483924302189
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,128,129,33,60.46419695019722,1.8322483924302189
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,129,130,33,61.84750703970592,1.8741668799910884
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,130,131,33,61.84750703970591,1.8741668799910882
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,131,132,33,61.84750703970592,1.8741668799910884
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,132,133,33,66.34457612037659,2.010441700617472
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,133,134,33,66.34457612037659,2.010441700617472
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,134,135,33,66.34457612037659,2.010441700617472
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,135,136,33,66.53350520133972,2.016166824283022
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,136,137,33,66.53350520133972,2.016166824283022
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,137,138,33,66.53350520133972,2.016166824283022
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,138,139,33,63.65907470385233,1.9290628698137071
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,139,140,33,63.65907470385234,1.9290628698137073
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,140,141,33,63.65907470385233,1.9290628698137071
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,141,142,33,62.38162342707316,1.890352225062823
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,142,143,33,62.381623427073166,1.8903522250628233
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,143,144,33,62.381623427073166,1.8903522250628233
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,144,145,33,67.32383926709493,2.040116341427119
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,145,146,33,67.32383926709494,2.0401163414271193
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,146,147,33,67.32383926709494,2.0401163414271193
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,147,148,33,58.066293319066375,1.7595846460323143
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,148,149,33,58.06629331906636,1.759584646032314
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,149,150,33,58.06629331906636,1.759584646032314
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,150,151,33,64.8152916431427,1.9640997467619
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,151,152,33,64.8152916431427,1.9640997467619
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,152,153,33,64.8152916431427,1.9640997467619
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,153,154,33,62.334822734196976,1.8889340222483932
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,154,155,33,62.334822734196976,1.8889340222483932
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,155,156,33,62.33482273419699,1.8889340222483937
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,156,157,33,63.89423545201619,1.9361889530913996
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,157,158,33,63.8942354520162,1.9361889530913998
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,158,159,33,63.89423545201619,1.9361889530913996
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,159,160,33,63.00745431582133,1.9093167974491312
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,160,161,33,63.00745431582133,1.9093167974491312
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,161,162,33,63.00745431582133,1.9093167974491312
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,162,163,33,62.11283667882283,1.8822071720855402
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,163,164,33,62.11283667882284,1.8822071720855404
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,164,165,33,62.11283667882284,1.8822071720855404
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,165,166,33,65.04595859845479,1.97108965449863
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,166,167,33,65.04595859845479,1.97108965449863
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,167,168,33,65.04595859845479,1.97108965449863
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,168,169,33,61.54360890388489,1.8649578455722693
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,169,170,33,61.54360890388489,1.8649578455722693
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,170,171,33,61.54360890388489,1.8649578455722693
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,171,172,33,57.205039978027344,1.7334860599402226
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,172,173,33,57.205039978027344,1.7334860599402226
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,173,174,33,57.205039978027344,1.7334860599402226
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,174,175,33,62.739203453063965,1.9011879834261807
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,175,176,33,62.739203453063965,1.9011879834261807
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,176,177,33,62.739203453063965,1.9011879834261807
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,177,178,33,58.24211851755778,1.7649126823502357
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,178,179,33,58.24211851755778,1.7649126823502357
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,179,180,33,58.24211851755778,1.7649126823502357
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,180,181,33,61.39838298161824,1.8605570600490375
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,181,182,33,61.39838298161824,1.8605570600490375
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,182,183,33,61.39838298161825,1.8605570600490378
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,183,184,33,61.226400216420494,1.8553454611036513
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,184,185,33,61.226400216420494,1.8553454611036513
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,185,186,33,61.226400216420494,1.8553454611036513
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,186,187,33,63.32880036036173,1.919054556374598
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,187,188,33,63.32880036036173,1.919054556374598
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,188,189,33,63.32880036036174,1.9190545563745982
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,189,190,33,66.53725274403891,2.016280386182997
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,190,191,33,66.53725274403891,2.016280386182997
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,191,192,33,66.5372527440389,2.0162803861829968
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,192,193,33,62.57123287518819,1.8960979659147936
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,193,194,33,62.57123287518819,1.8960979659147936
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,194,195,33,62.571232875188194,1.8960979659147938
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,195,196,33,61.73153257369995,1.8706525022333318
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,196,197,33,61.73153257369995,1.8706525022333318
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,197,198,33,61.731532573699944,1.8706525022333316
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,198,199,33,58.83588012059529,1.7829054581998574
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,199,200,33,58.8358801205953,1.7829054581998576
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,200,201,33,58.835880120595306,1.7829054581998578
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,201,202,33,62.58376248677572,1.8964776511144157
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,202,203,33,62.58376248677572,1.8964776511144157
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,203,204,33,62.58376248677572,1.8964776511144157
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,204,205,33,59.674206256866455,1.8083092805111047
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,205,206,33,59.67420625686646,1.808309280511105
train,windows_nonoverlap,caenorhabditis_elegans,caenorhabditis_elegans:III,206,207,33,59.674206256866455,1.8083092805111047
