split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,HoSa,HoSa,0,1,20,38.481793562571205,1.9240896781285604
train,windows_nonoverlap,HoSa,HoSa,1,2,20,38.481793562571205,1.9240896781285604
train,windows_nonoverlap,HoSa,HoSa,2,3,20,38.48179356257121,1.9240896781285606
train,windows_nonoverlap,HoSa,HoSa,3,4,20,40.26809581120809,2.0134047905604047
train,windows_nonoverlap,HoSa,HoSa,4,5,20,40.26809581120809,2.0134047905604047
train,windows_nonoverlap,HoSa,HoSa,5,6,20,40.26809581120809,2.0134047905604047
train,windows_nonoverlap,HoSa,HoSa,6,7,20,38.079125245412186,1.9039562622706092
train,windows_nonoverlap,HoSa,HoSa,7,8,20,38.07912524541219,1.9039562622706097
train,windows_nonoverlap,HoSa,HoSa,8,9,20,38.079125245412186,1.9039562622706092
train,windows_nonoverlap,HoSa,HoSa,9,10,20,35.698652505874634,1.7849326252937316
train,windows_nonoverlap,HoSa,HoSa,10,11,20,35.698652505874634,1.7849326252937316
train,windows_nonoverlap,HoSa,HoSa,11,12,20,35.698652505874634,1.7849326252937316
train,windows_nonoverlap,HoSa,HoSa,12,13,20,33.890581687291466,1.6945290843645733
train,windows_nonoverlap,HoSa,HoSa,13,14,20,33.89058168729146,1.6945290843645728
train,windows_nonoverlap,HoSa,HoSa,14,15,20,33.890581687291466,1.6945290843645733
train,windows_nonoverlap,HoSa,HoSa,15,16,20,32.43895452221235,1.6219477261106174
train,windows_nonoverlap,HoSa,HoSa,16,17,20,32.43895452221235,1.6219477261106174
train,windows_nonoverlap,HoSa,HoSa,17,18,20,32.43895452221234,1.621947726110617
train,windows_nonoverlap,HoSa,HoSa,18,19,20,30.515681833028793,1.5257840916514396
train,windows_nonoverlap,HoSa,HoSa,19,20,20,30.515681833028793,1.5257840916514396
train,windows_nonoverlap,HoSa,HoSa,20,21,20,30.515681833028793,1.5257840916514396
train,windows_nonoverlap,HoSa,HoSa,21,22,20,32.72634816169739,1.6363174080848695
train,windows_nonoverlap,HoSa,HoSa,22,23,20,32.72634816169739,1.6363174080848695
train,windows_nonoverlap,HoSa,HoSa,23,24,20,32.72634816169739,1.6363174080848695
train,windows_nonoverlap,HoSa,HoSa,24,25,20,26.25320490201314,1.312660245100657
train,windows_nonoverlap,HoSa,HoSa,25,26,20,26.253204902013145,1.3126602451006573
train,windows_nonoverlap,HoSa,HoSa,26,27,20,26.253204902013138,1.3126602451006568
train,windows_nonoverlap,HoSa,HoSa,27,28,20,24.867864506940048,1.2433932253470024
train,windows_nonoverlap,HoSa,HoSa,28,29,20,24.867864506940048,1.2433932253470024
train,windows_nonoverlap,HoSa,HoSa,29,30,20,24.867864506940045,1.2433932253470021
train,windows_nonoverlap,HoSa,HoSa,30,31,20,27.947037771344185,1.3973518885672092
train,windows_nonoverlap,HoSa,HoSa,31,32,20,27.947037771344185,1.3973518885672092
train,windows_nonoverlap,HoSa,HoSa,32,33,20,27.94703777134419,1.3973518885672094
train,windows_nonoverlap,HoSa,HoSa,33,34,20,28.43560066819191,1.4217800334095956
train,windows_nonoverlap,HoSa,HoSa,34,35,20,28.43560066819191,1.4217800334095956
train,windows_nonoverlap,HoSa,HoSa,35,36,20,28.43560066819191,1.4217800334095956
train,windows_nonoverlap,HoSa,HoSa,36,37,20,32.13607209920883,1.6068036049604415
train,windows_nonoverlap,HoSa,HoSa,37,38,20,32.13607209920883,1.6068036049604415
train,windows_nonoverlap,HoSa,HoSa,38,39,20,32.13607209920883,1.6068036049604415
train,windows_nonoverlap,HoSa,HoSa,39,40,20,33.869452364742756,1.6934726182371378
train,windows_nonoverlap,HoSa,HoSa,40,41,20,33.869452364742756,1.6934726182371378
train,windows_nonoverlap,HoSa,HoSa,41,42,20,33.869452364742756,1.6934726182371378
train,windows_nonoverlap,HoSa,HoSa,42,43,20,30.109959120551746,1.5054979560275874
train,windows_nonoverlap,HoSa,HoSa,43,44,20,30.109959120551743,1.5054979560275872
train,windows_nonoverlap,HoSa,HoSa,44,45,20,30.109959120551743,1.5054979560275872
train,windows_nonoverlap,HoSa,HoSa,45,46,20,28.9613053103288,1.44806526551644
train,windows_nonoverlap,HoSa,HoSa,46,47,20,28.9613053103288,1.44806526551644
train,windows_nonoverlap,HoSa,HoSa,47,48,20,28.961305310328804,1.44806526551644
train,windows_nonoverlap,HoSa,HoSa,48,49,20,29.124892147878807,1.4562446073939403
train,windows_nonoverlap,HoSa,HoSa,49,50,20,29.124892147878803,1.4562446073939401
train,windows_nonoverlap,HoSa,HoSa,50,51,20,29.124892147878807,1.4562446073939403
train,windows_nonoverlap,HoSa,HoSa,51,52,20,31.444674767553806,1.5722337383776903
train,windows_nonoverlap,HoSa,HoSa,52,53,20,31.444674767553806,1.5722337383776903
train,windows_nonoverlap,HoSa,HoSa,53,54,20,31.444674767553806,1.5722337383776903
train,windows_nonoverlap,HoSa,HoSa,54,55,20,29.2139143794775,1.460695718973875
