split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,0,1,6,11.27263291676839,1.8787721527947319
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,1,2,6,11.27263291676839,1.8787721527947319
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,2,3,6,11.27263291676839,1.8787721527947319
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,3,4,6,12.18678108851115,2.031130181418525
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,4,5,6,12.186781088511148,2.0311301814185247
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,5,6,6,12.186781088511148,2.0311301814185247
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,6,7,6,12.751439253489176,2.125239875581529
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,7,8,6,12.751439253489176,2.125239875581529
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,8,9,6,12.751439253489176,2.125239875581529
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,9,10,6,12.3769580523173,2.0628263420528836
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,10,11,6,12.3769580523173,2.0628263420528836
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,11,12,6,12.3769580523173,2.0628263420528836
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,12,13,6,13.05328893661499,2.1755481561024985
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,13,14,6,13.05328893661499,2.1755481561024985
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,14,15,6,13.05328893661499,2.1755481561024985
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,15,16,6,10.805867354075115,1.8009778923458526
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,16,17,6,10.805867354075113,1.8009778923458521
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,17,18,6,10.805867354075115,1.8009778923458526
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,18,19,6,12.971285661061605,2.1618809435102677
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,19,20,6,12.971285661061604,2.1618809435102673
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,20,21,6,12.971285661061604,2.1618809435102673
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,21,22,6,11.913477102915447,1.9855795171525745
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,22,23,6,11.913477102915445,1.9855795171525743
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,23,24,6,11.913477102915447,1.9855795171525745
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,24,25,6,10.987196922302246,1.8311994870503743
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,25,26,6,10.987196922302246,1.8311994870503743
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,26,27,6,10.987196922302246,1.8311994870503743
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,27,28,6,12.316163221995037,2.052693870332506
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,28,29,6,12.316163221995037,2.052693870332506
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,29,30,6,12.316163221995037,2.052693870332506
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,30,31,6,13.269160588582356,2.211526764763726
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,31,32,6,13.269160588582356,2.211526764763726
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,32,33,6,13.269160588582356,2.211526764763726
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,33,34,6,19.92522939046224,3.3208715650770397
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,34,35,6,19.92522939046224,3.3208715650770397
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,35,36,6,19.92522939046224,3.3208715650770397
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,36,37,6,12.248261133829752,2.041376855638292
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,37,38,6,12.248261133829752,2.041376855638292
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,38,39,6,12.248261133829754,2.0413768556382923
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,39,40,6,11.249220530192057,1.8748700883653429
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,40,41,6,11.249220530192058,1.874870088365343
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,41,42,6,11.249220530192058,1.874870088365343
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,42,43,6,10.531312465667725,1.755218744277954
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,43,44,6,10.531312465667725,1.755218744277954
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,44,45,6,10.531312465667725,1.755218744277954
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,45,46,6,11.940091609954834,1.9900152683258057
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,46,47,6,11.940091609954834,1.9900152683258057
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,47,48,6,11.940091609954834,1.9900152683258057
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,48,49,6,12.011493364969889,2.001915560828315
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,49,50,6,12.011493364969889,2.001915560828315
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,50,51,6,12.011493364969889,2.001915560828315
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,51,52,6,12.208963076273601,2.0348271793789334
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,52,53,6,12.208963076273601,2.0348271793789334
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,53,54,6,12.208963076273601,2.0348271793789334
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,54,55,6,12.267439365386963,2.0445732275644937
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,55,56,6,12.267439365386963,2.0445732275644937
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,56,57,6,12.267439365386963,2.0445732275644937
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,57,58,6,11.602879365285238,1.9338132275475397
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,58,59,6,11.602879365285238,1.9338132275475397
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,59,60,6,11.602879365285238,1.9338132275475397
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,60,61,6,12.448459307352701,2.074743217892117
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,61,62,6,12.448459307352701,2.074743217892117
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,62,63,6,12.448459307352703,2.074743217892117
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,63,64,6,11.160773436228434,1.8601289060380723
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,64,65,6,11.160773436228434,1.8601289060380723
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,65,66,6,11.160773436228434,1.8601289060380723
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,66,67,6,11.851508140563965,1.9752513567606609
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,67,68,6,11.851508140563965,1.9752513567606609
train,windows_nonoverlap,homo_sapiens,homo_sapiens:MT,68,69,6,11.851508140563965,1.9752513567606609
