split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,0,1,33,64.04111782709758,1.940639934154472
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,1,2,33,64.04111782709758,1.940639934154472
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,2,3,33,64.04111782709758,1.940639934154472
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,3,4,33,66.05110963185629,2.001548776722918
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,4,5,33,66.05110963185629,2.001548776722918
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,5,6,33,66.05110963185629,2.001548776722918
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,6,7,33,65.19094785054524,1.9754832681983407
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,7,8,33,65.19094785054524,1.9754832681983407
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,8,9,33,65.19094785054524,1.9754832681983407
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,9,10,33,66.47937552134195,2.014526530949756
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,10,11,33,66.47937552134196,2.0145265309497566
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,11,12,33,66.47937552134196,2.0145265309497566
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,12,13,33,68.8846542040507,2.087413763759112
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,13,14,33,68.8846542040507,2.087413763759112
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,14,15,33,68.8846542040507,2.087413763759112
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,15,16,33,65.44717343648276,1.9832476798934169
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,16,17,33,65.44717343648274,1.9832476798934164
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,17,18,33,65.44717343648276,1.9832476798934169
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,18,19,33,64.28372740745544,1.947991739619862
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,19,20,33,64.28372740745544,1.947991739619862
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,20,21,33,64.28372740745544,1.947991739619862
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,21,22,33,63.39232138792673,1.9209794359977796
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,22,23,33,63.392321387926735,1.9209794359977799
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,23,24,33,63.39232138792674,1.92097943599778
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,24,25,33,65.87098344167073,1.9960904073233554
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,25,26,33,65.87098344167075,1.9960904073233559
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,26,27,33,65.87098344167073,1.9960904073233554
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,27,28,33,62.61597696940103,1.897453847557607
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,28,29,33,62.615976969401046,1.8974538475576075
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,29,30,33,62.61597696940104,1.8974538475576073
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,30,31,33,64.15105668703715,1.9439714147587017
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,31,32,33,64.15105668703715,1.9439714147587017
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,32,33,33,64.15105668703715,1.9439714147587017
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,33,34,33,66.1077734629313,2.0032658625130697
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,34,35,33,66.10777346293132,2.00326586251307
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,35,36,33,66.10777346293132,2.00326586251307
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,36,37,33,60.859380165735885,1.8442236413859359
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,37,38,33,60.85938016573588,1.8442236413859356
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,38,39,33,60.85938016573588,1.8442236413859356
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,39,40,33,62.66066841284433,1.8988081337225555
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,40,41,33,62.66066841284434,1.8988081337225557
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,41,42,33,62.66066841284434,1.8988081337225557
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,42,43,33,63.40851054588953,1.9214700165421068
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,43,44,33,63.408510545889534,1.921470016542107
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,44,45,33,63.40851054588954,1.9214700165421073
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,45,46,33,62.132257858912155,1.8827956926943077
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,46,47,33,62.132257858912155,1.8827956926943077
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,47,48,33,62.132257858912155,1.8827956926943077
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,48,49,33,61.70616849263509,1.869883893716215
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,49,50,33,61.706168492635086,1.8698838937162148
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,50,51,33,61.70616849263509,1.869883893716215
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,51,52,33,67.7338399887085,2.0525406057184394
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,52,53,33,67.7338399887085,2.0525406057184394
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:VIII,53,54,33,67.7338399887085,2.0525406057184394
