split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,BuEb,BuEb,0,1,1,2.8339083989461265,2.8339083989461265
train,windows_overlap,BuEb,BuEb,1,2,1,2.8339083989461265,2.8339083989461265
train,windows_overlap,BuEb,BuEb,2,3,1,2.8339083989461265,2.8339083989461265
train,windows_overlap,BuEb,BuEb,3,4,1,1.9674917856852214,1.9674917856852214
train,windows_overlap,BuEb,BuEb,4,5,1,1.9674917856852214,1.9674917856852214
train,windows_overlap,BuEb,BuEb,5,6,1,1.9674917856852214,1.9674917856852214
train,windows_overlap,BuEb,BuEb,6,7,1,1.85867706934611,1.85867706934611
train,windows_overlap,BuEb,BuEb,7,8,1,1.85867706934611,1.85867706934611
train,windows_overlap,BuEb,BuEb,8,9,1,1.85867706934611,1.85867706934611
train,windows_overlap,BuEb,BuEb,9,10,1,1.872482458750407,1.872482458750407
train,windows_overlap,BuEb,BuEb,10,11,1,1.872482458750407,1.872482458750407
train,windows_overlap,BuEb,BuEb,11,12,1,1.872482458750407,1.872482458750407
train,windows_overlap,BuEb,BuEb,12,13,1,1.8300085067749023,1.8300085067749023
train,windows_overlap,BuEb,BuEb,13,14,1,1.8300085067749023,1.8300085067749023
train,windows_overlap,BuEb,BuEb,14,15,1,1.8300085067749023,1.8300085067749023
train,windows_overlap,BuEb,BuEb,15,16,1,1.9251079559326172,1.9251079559326172
train,windows_overlap,BuEb,BuEb,16,17,1,1.9251079559326172,1.9251079559326172
train,windows_overlap,BuEb,BuEb,17,18,1,1.9251079559326172,1.9251079559326172
train,windows_overlap,BuEb,BuEb,18,19,1,1.483190695444743,1.483190695444743
train,windows_overlap,BuEb,BuEb,19,20,1,1.483190695444743,1.483190695444743
train,windows_overlap,BuEb,BuEb,20,21,1,1.483190695444743,1.483190695444743
train,windows_overlap,BuEb,BuEb,21,22,1,2.107979933420817,2.107979933420817
train,windows_overlap,BuEb,BuEb,22,23,1,2.107979933420817,2.107979933420817
train,windows_overlap,BuEb,BuEb,23,24,1,2.107979933420817,2.107979933420817
train,windows_overlap,BuEb,BuEb,24,25,1,1.8877042134602864,1.8877042134602864
train,windows_overlap,BuEb,BuEb,25,26,1,1.8877042134602864,1.8877042134602864
train,windows_overlap,BuEb,BuEb,26,27,1,1.8877042134602864,1.8877042134602864
train,windows_overlap,BuEb,BuEb,27,28,1,1.804204781850179,1.804204781850179
train,windows_overlap,BuEb,BuEb,28,29,1,1.804204781850179,1.804204781850179
train,windows_overlap,BuEb,BuEb,29,30,1,1.804204781850179,1.804204781850179
train,windows_overlap,BuEb,BuEb,30,31,1,2.019715150197347,2.019715150197347
train,windows_overlap,BuEb,BuEb,31,32,1,2.019715150197347,2.019715150197347
train,windows_overlap,BuEb,BuEb,32,33,1,2.019715150197347,2.019715150197347
train,windows_overlap,BuEb,BuEb,33,34,1,1.7524175643920898,1.7524175643920898
train,windows_overlap,BuEb,BuEb,34,35,1,1.7524175643920898,1.7524175643920898
train,windows_overlap,BuEb,BuEb,35,36,1,1.7524175643920898,1.7524175643920898
train,windows_overlap,BuEb,BuEb,36,37,1,1.6735761960347493,1.6735761960347493
train,windows_overlap,BuEb,BuEb,37,38,1,1.6735761960347493,1.6735761960347493
train,windows_overlap,BuEb,BuEb,38,39,1,1.6735761960347493,1.6735761960347493
train,windows_overlap,BuEb,BuEb,39,40,1,2.166524887084961,2.166524887084961
train,windows_overlap,BuEb,BuEb,40,41,1,2.166524887084961,2.166524887084961
train,windows_overlap,BuEb,BuEb,41,42,1,2.166524887084961,2.166524887084961
train,windows_overlap,BuEb,BuEb,42,43,1,2.024017016092936,2.024017016092936
train,windows_overlap,BuEb,BuEb,43,44,1,2.024017016092936,2.024017016092936
train,windows_overlap,BuEb,BuEb,44,45,1,2.024017016092936,2.024017016092936
train,windows_overlap,BuEb,BuEb,45,46,1,2.719498634338379,2.719498634338379
