split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,0,1,33,65.00291442871094,1.9697852857185132
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,1,2,33,65.00291442871094,1.9697852857185132
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,2,3,33,65.00291442871094,1.9697852857185132
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,3,4,33,66.77738610903423,2.023557154819219
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,4,5,33,66.77738610903421,2.0235571548192186
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,5,6,33,66.77738610903423,2.023557154819219
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,6,7,33,62.422875603040055,1.8916022910012138
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,7,8,33,62.42287560304006,1.891602291001214
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,8,9,33,62.42287560304006,1.891602291001214
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,9,10,33,65.81362500786781,1.9943522729656913
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,10,11,33,65.81362500786781,1.9943522729656913
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,11,12,33,65.81362500786781,1.9943522729656913
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,12,13,33,69.16694561640422,2.095968048981946
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,13,14,33,69.1669456164042,2.0959680489819457
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,14,15,33,69.16694561640422,2.095968048981946
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,15,16,33,63.62161668141683,1.9279277782247526
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,16,17,33,63.62161668141683,1.9279277782247526
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,17,18,33,63.62161668141683,1.9279277782247526
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,18,19,33,64.92992130915324,1.9675733730046439
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,19,20,33,64.92992130915324,1.9675733730046439
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,20,21,33,64.92992130915324,1.9675733730046439
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,21,22,33,64.04283340771994,1.9406919214460587
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,22,23,33,64.04283340771993,1.9406919214460583
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,23,24,33,64.04283340771993,1.9406919214460583
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,24,25,33,65.51482629776001,1.985297766598788
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,25,26,33,65.51482629776001,1.985297766598788
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,26,27,33,65.51482629776001,1.985297766598788
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,27,28,33,63.84058793385823,1.9345632707229767
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,28,29,33,63.84058793385824,1.934563270722977
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,29,30,33,63.84058793385824,1.934563270722977
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,30,31,33,68.34406447410583,2.071032256791086
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,31,32,33,68.34406447410583,2.071032256791086
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,32,33,33,68.34406447410583,2.071032256791086
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,33,34,33,64.19099334875742,1.9451816166290126
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,34,35,33,64.19099334875742,1.9451816166290126
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,35,36,33,64.19099334875742,1.9451816166290126
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,36,37,33,67.3588662147522,2.0411777640834
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,37,38,33,67.3588662147522,2.0411777640834
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,38,39,33,67.3588662147522,2.0411777640834
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,39,40,33,62.24350102742513,1.8861666978007616
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,40,41,33,62.243501027425125,1.8861666978007614
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,41,42,33,62.24350102742513,1.8861666978007616
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,42,43,33,64.87974824508031,1.9660529771236457
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,43,44,33,64.87974824508031,1.9660529771236457
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,44,45,33,64.87974824508032,1.9660529771236461
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,45,46,33,63.24056772391001,1.9163808401184852
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,46,47,33,63.24056772391001,1.9163808401184852
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,47,48,33,63.24056772391001,1.9163808401184852
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,48,49,33,64.6760532061259,1.9598804001856334
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,49,50,33,64.67605320612589,1.959880400185633
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,50,51,33,64.6760532061259,1.9598804001856334
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,51,52,33,64.5551124215126,1.9562155279246243
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,52,53,33,64.5551124215126,1.9562155279246243
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,53,54,33,64.5551124215126,1.9562155279246243
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,54,55,33,65.74693748354912,1.9923314388954279
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,55,56,33,65.74693748354912,1.9923314388954279
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,56,57,33,65.74693748354912,1.9923314388954279
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,57,58,33,62.6324356396993,1.897952595142403
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,58,59,33,62.632435639699295,1.897952595142403
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,59,60,33,62.6324356396993,1.897952595142403
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,60,61,33,65.72968423366547,1.9918086131413777
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,61,62,33,65.72968423366547,1.9918086131413777
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,62,63,33,65.72968423366547,1.9918086131413777
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,63,64,33,62.97517069180807,1.9083385058123656
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,64,65,33,62.97517069180807,1.9083385058123656
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,65,66,33,62.97517069180807,1.9083385058123656
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,66,67,33,66.11401700973511,2.003455060901064
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,67,68,33,66.11401700973511,2.003455060901064
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,68,69,33,66.11401700973511,2.003455060901064
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,69,70,33,65.00167636076608,1.969747768508063
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,70,71,33,65.0016763607661,1.9697477685080635
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,71,72,33,65.00167636076608,1.969747768508063
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,72,73,33,64.88850633303323,1.96631837372828
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,73,74,33,64.88850633303323,1.96631837372828
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,74,75,33,64.88850633303323,1.96631837372828
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,75,76,33,63.788147131601974,1.9329741555030902
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,76,77,33,63.78814713160197,1.93297415550309
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,77,78,33,63.788147131601974,1.9329741555030902
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,78,79,33,60.97934675216675,1.8478589924899014
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,79,80,33,60.97934675216675,1.8478589924899014
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XII,80,81,33,60.97934675216675,1.8478589924899014
