split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,PlFa,PlFa,0,1,20,38.962691942850746,1.9481345971425372
train,windows_nonoverlap,PlFa,PlFa,1,2,20,38.96269194285075,1.9481345971425377
train,windows_nonoverlap,PlFa,PlFa,2,3,20,38.96269194285075,1.9481345971425377
train,windows_nonoverlap,PlFa,PlFa,3,4,20,39.07834641138713,1.9539173205693565
train,windows_nonoverlap,PlFa,PlFa,4,5,20,39.07834641138712,1.953917320569356
train,windows_nonoverlap,PlFa,PlFa,5,6,20,39.07834641138713,1.9539173205693565
train,windows_nonoverlap,PlFa,PlFa,6,7,20,38.03706900278728,1.9018534501393638
train,windows_nonoverlap,PlFa,PlFa,7,8,20,38.03706900278727,1.9018534501393636
train,windows_nonoverlap,PlFa,PlFa,8,9,20,38.03706900278727,1.9018534501393636
train,windows_nonoverlap,PlFa,PlFa,9,10,20,36.403012116750084,1.820150605837504
train,windows_nonoverlap,PlFa,PlFa,10,11,20,36.403012116750084,1.820150605837504
train,windows_nonoverlap,PlFa,PlFa,11,12,20,36.403012116750084,1.820150605837504
train,windows_nonoverlap,PlFa,PlFa,12,13,20,37.13209048906962,1.856604524453481
train,windows_nonoverlap,PlFa,PlFa,13,14,20,37.132090489069626,1.8566045244534812
train,windows_nonoverlap,PlFa,PlFa,14,15,20,37.13209048906962,1.856604524453481
train,windows_nonoverlap,PlFa,PlFa,15,16,20,36.24669313430786,1.812334656715393
train,windows_nonoverlap,PlFa,PlFa,16,17,20,36.24669313430786,1.812334656715393
train,windows_nonoverlap,PlFa,PlFa,17,18,20,36.24669313430786,1.812334656715393
train,windows_nonoverlap,PlFa,PlFa,18,19,20,40.037305196126304,2.001865259806315
train,windows_nonoverlap,PlFa,PlFa,19,20,20,40.037305196126304,2.001865259806315
train,windows_nonoverlap,PlFa,PlFa,20,21,20,40.037305196126304,2.001865259806315
train,windows_nonoverlap,PlFa,PlFa,21,22,20,37.968485037485756,1.8984242518742878
train,windows_nonoverlap,PlFa,PlFa,22,23,20,37.96848503748576,1.8984242518742882
train,windows_nonoverlap,PlFa,PlFa,23,24,20,37.96848503748576,1.8984242518742882
train,windows_nonoverlap,PlFa,PlFa,24,25,20,36.7653473218282,1.8382673660914102
train,windows_nonoverlap,PlFa,PlFa,25,26,20,36.76534732182821,1.8382673660914104
