split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,HePy,HePy,0,1,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,HePy,HePy,1,2,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,HePy,HePy,2,3,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,HePy,HePy,3,4,1,1.9937526384989421,1.9937526384989421
train,windows_overlap,HePy,HePy,4,5,1,1.9937526384989421,1.9937526384989421
train,windows_overlap,HePy,HePy,5,6,1,1.9937526384989421,1.9937526384989421
train,windows_overlap,HePy,HePy,6,7,1,2.181478182474772,2.181478182474772
train,windows_overlap,HePy,HePy,7,8,1,2.181478182474772,2.181478182474772
train,windows_overlap,HePy,HePy,8,9,1,2.181478182474772,2.181478182474772
train,windows_overlap,HePy,HePy,9,10,1,1.6330515543619792,1.6330515543619792
train,windows_overlap,HePy,HePy,10,11,1,1.6330515543619792,1.6330515543619792
train,windows_overlap,HePy,HePy,11,12,1,1.6330515543619792,1.6330515543619792
train,windows_overlap,HePy,HePy,12,13,1,2.1335910161336265,2.1335910161336265
train,windows_overlap,HePy,HePy,13,14,1,2.1335910161336265,2.1335910161336265
train,windows_overlap,HePy,HePy,14,15,1,2.1335910161336265,2.1335910161336265
train,windows_overlap,HePy,HePy,15,16,1,1.0322498480478923,1.0322498480478923
train,windows_overlap,HePy,HePy,16,17,1,1.0322498480478923,1.0322498480478923
train,windows_overlap,HePy,HePy,17,18,1,1.0322498480478923,1.0322498480478923
train,windows_overlap,HePy,HePy,18,19,1,2.145778179168701,2.145778179168701
train,windows_overlap,HePy,HePy,19,20,1,2.145778179168701,2.145778179168701
train,windows_overlap,HePy,HePy,20,21,1,2.145778179168701,2.145778179168701
train,windows_overlap,HePy,HePy,21,22,1,1.152134656906128,1.152134656906128
train,windows_overlap,HePy,HePy,22,23,1,1.152134656906128,1.152134656906128
train,windows_overlap,HePy,HePy,23,24,1,1.152134656906128,1.152134656906128
train,windows_overlap,HePy,HePy,24,25,1,1.3565173149108887,1.3565173149108887
train,windows_overlap,HePy,HePy,25,26,1,1.3565173149108887,1.3565173149108887
train,windows_overlap,HePy,HePy,26,27,1,1.3565173149108887,1.3565173149108887
train,windows_overlap,HePy,HePy,27,28,1,1.481305758158366,1.481305758158366
train,windows_overlap,HePy,HePy,28,29,1,1.481305758158366,1.481305758158366
train,windows_overlap,HePy,HePy,29,30,1,1.481305758158366,1.481305758158366
train,windows_overlap,HePy,HePy,30,31,1,1.167982816696167,1.167982816696167
train,windows_overlap,HePy,HePy,31,32,1,1.167982816696167,1.167982816696167
train,windows_overlap,HePy,HePy,32,33,1,1.167982816696167,1.167982816696167
train,windows_overlap,HePy,HePy,33,34,1,1.364815394083659,1.364815394083659
train,windows_overlap,HePy,HePy,34,35,1,1.364815394083659,1.364815394083659
train,windows_overlap,HePy,HePy,35,36,1,1.364815394083659,1.364815394083659
train,windows_overlap,HePy,HePy,36,37,1,0.2152324120203654,0.2152324120203654
train,windows_overlap,HePy,HePy,37,38,1,0.2152324120203654,0.2152324120203654
train,windows_overlap,HePy,HePy,38,39,1,0.2152324120203654,0.2152324120203654
train,windows_overlap,HePy,HePy,39,40,1,1.0793362458546956,1.0793362458546956
train,windows_overlap,HePy,HePy,40,41,1,1.0793362458546956,1.0793362458546956
train,windows_overlap,HePy,HePy,41,42,1,1.0793362458546956,1.0793362458546956
train,windows_overlap,HePy,HePy,42,43,1,0.23292859395345053,0.23292859395345053
train,windows_overlap,HePy,HePy,43,44,1,0.23292859395345053,0.23292859395345053
train,windows_overlap,HePy,HePy,44,45,1,0.23292859395345053,0.23292859395345053
train,windows_overlap,HePy,HePy,45,46,1,1.2854491074879963,1.2854491074879963
train,windows_overlap,HePy,HePy,46,47,1,1.2854491074879963,1.2854491074879963
train,windows_overlap,HePy,HePy,47,48,1,1.2854491074879963,1.2854491074879963
train,windows_overlap,HePy,HePy,48,49,1,0.6780985991160074,0.6780985991160074
train,windows_overlap,HePy,HePy,49,50,1,0.6780985991160074,0.6780985991160074
train,windows_overlap,HePy,HePy,50,51,1,0.6780985991160074,0.6780985991160074
train,windows_overlap,HePy,HePy,51,52,1,0.4721903403600057,0.4721903403600057
train,windows_overlap,HePy,HePy,52,53,1,0.4721903403600057,0.4721903403600057
